CITY,Total Population 65–74 %,Total Population 65–74 %,Total Population 65–74 %,16+ Years Not in Labor Force %,Unemployed (19–64) With Public Health Insurance %,Employed (19–64) With Public Health Insurance %,Owner-Occupied Housing Units %,Homes Using Oil/Kerosene %,Homes Heating With Coal or Coke,Homes With No Heat %,Homes Heating With Wood,Homes Using Solar Energy,Workers Carpooling %,Homes Using Solar Energy,Foreign-Born Not a U.S. Citizen %,Foreign-Born Not a U.S. Citizen %,Homes Heating With Wood %,Workers Carpooling %,Workers Carpooling %

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0069E,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0020PE,DP03_0020PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Clearlake, CA Micro Area",12.6,12.6,12.6,39.9,44.6,20.3,59.6,0.2,0,0.3,6516,62,8.8,62,8617,8617,4,8.8,8.8
"Cleveland, TN Metro Area",12.4,12.4,12.4,42.6,59.6,34.3,54.6,1,213,0.7,9293,469,11.9,469,8320,8320,16.6,11.9,11.9
"Cleveland-Elyria, OH Metro Area",11.5,11.5,11.5,37.2,50.3,13.5,69.2,0.3,0,0.4,645,25,8.5,25,3686,3686,0.6,8.5,8.5
"Coeur d'Alene, ID Metro Area",8,8,8,29.5,41,13.1,63.8,72.2,329,0.2,1613,0,13.7,0,15428,15428,4.3,13.7,13.7
"College Station-Bryan, TX Metro Area",8.1,8.1,8.1,25.9,36.6,7.6,55.1,0.9,23,2.1,318,0,5.8,0,6639,6639,0.3,5.8,5.8
"Colorado Springs, CO Metro Area",10,10,10,35.8,43.1,11.7,75.6,0.3,0,0.5,309,24,12.8,24,634,634,1.3,12.8,12.8
"Columbia, MO Metro Area",10.4,10.4,10.4,44.7,50.6,16,71,0,0,1.2,483,237,7.8,237,4500,4500,1.9,7.8,7.8
"Columbia, SC Metro Area",10.8,10.8,10.8,43.6,56.8,25.1,72.6,0,65,0.2,5430,19,5.8,19,28750,28750,12.7,5.8,5.8
"Columbus, GA-AL Metro Area",8.1,8.1,8.1,34.3,51,22.3,58.6,0.5,117,1.6,255,374,9.4,374,71483,71483,0.2,9.4,9.4
"Columbus, IN Metro Area",8,8,8,32.8,31.4,7.7,60.8,0.1,0,0.5,5405,1256,9,1256,4797,4797,2.4,9,9
"Columbus, OH Metro Area",11.4,11.4,11.4,35.1,10.9,9.8,71.6,,,,,,13.6,,5451,5451,,13.6,13.6
"Concord, NH Micro Area",10.1,10.1,10.1,37.2,40.7,13.8,60,0.1,0,0.2,8662,444,10.5,444,10315,10315,15.2,10.5,10.5
"Cookeville, TN Micro Area",11.7,11.7,11.7,40.2,70.9,20.8,72,0.4,0,0.4,1047,37,8.7,37,4355,4355,0.6,8.7,8.7
"Coos Bay, OR Micro Area",11.6,11.6,11.6,42.4,39.5,12.4,66.7,,,,,,6.6,,3520,3520,,6.6,6.6
"Corning, NY Micro Area",12,12,12,43.3,14,5.8,67.6,0.1,0,0.8,773,0,10,0,3495,3495,1.1,10,10
"Corpus Christi, TX Metro Area",12.6,12.6,12.6,35.7,46.3,11.2,70.7,2.3,0,1.1,793,20,10.4,20,2351,2351,1.8,10.4,10.4
"Corvallis, OR Metro Area",13.1,13.1,13.1,40.9,25.9,8.3,73.5,4.1,0,1.6,685,0,5.9,0,18228,18228,2.6,5.9,5.9
"Crestview-Fort Walton Beach-Destin, FL Metro Area",10.9,10.9,10.9,33.5,35.4,13.6,63.3,0.1,0,0.5,1520,795,5.1,795,5236,5236,1,5.1,5.1
"Cullman, AL Micro Area",10.7,10.7,10.7,46.2,1.5,6.2,82.1,,,,,,13.1,,14798,14798,,13.1,13.1
"Cumberland, MD-WV Metro Area",10.9,10.9,10.9,41.9,34.9,16,66,0.1,0,0.4,1917,148,11.1,148,30219,30219,2.1,11.1,11.1
"Dallas-Fort Worth-Arlington, TX Metro Area",9.9,9.9,9.9,33.2,38.5,12.1,69.4,0.5,46,0.8,1091,234,10.2,234,1706,1706,0.6,10.2,10.2
"Dalton, GA Metro Area",11.6,11.6,11.6,38.6,53.2,9,71.5,,,,,,8.8,,231672,231672,,8.8,8.8
"Danville, IL Metro Area",8,8,8,39.4,61,27,59.2,0.1,0,1.1,5972,13758,12.2,13758,2827,2827,1.6,12.2,12.2
"Danville, VA Micro Area",12,12,12,47.2,3.5,10.7,74.6,,,,,,5.6,,37665,37665,,5.6,5.6
"Daphne-Fairhope-Foley, AL Metro Area",10.1,10.1,10.1,40.5,27.8,7.7,60.1,0.2,96,1.1,844,542,7.6,542,35740,35740,0.6,7.6,7.6
"Davenport-Moline-Rock Island, IA-IL Metro Area",9.6,9.6,9.6,37.5,27.4,9.3,67.3,0,144,1,446,0,10.4,0,2144,2144,0.6,10.4,10.4
"Dayton, OH Metro Area",9.5,9.5,9.5,52,68.4,39.4,65,0.2,12,0.6,8160,13,5.3,13,3598,3598,38.3,5.3,5.3
"Decatur, AL Metro Area",13.7,13.7,13.7,35.9,47.3,10.6,78.1,12.8,385,0.5,1754,116,6.4,116,4692,4692,4.2,6.4,6.4
"Decatur, IL Metro Area",9.2,9.2,9.2,28.8,27,12.7,60.4,1.7,0,1.7,357,4,9.2,4,4805,4805,0.8,9.2,9.2
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",14.3,14.3,14.3,40.3,56,18.7,73.2,24,117,1.1,4056,125,6.7,125,9859,9859,7.3,6.7,6.7
"Detroit-Warren-Dearborn, MI Metro Area",10.9,10.9,10.9,39.7,40.2,14.2,59.8,0.8,0,0.8,533,138,12,138,2170,2170,1.1,12,12
"Denver-Aurora-Lakewood, CO Metro Area",15.4,15.4,15.4,42.9,12.4,5,80.5,,,,,,6.2,,11086,11086,,6.2,6.2
"Des Moines-West Des Moines, IA Metro Area",9.1,9.1,9.1,30.7,62.2,9.1,67.6,0,57,0.4,382,0,10.1,0,8492,8492,1.2,10.1,10.1
"Dothan, AL Metro Area",13.1,13.1,13.1,40.8,44.1,16.2,69.4,0,0,0.1,1898,100,8.5,100,80074,80074,2.8,8.5,8.5
"Dover, DE Metro Area",10,10,10,32.6,44.3,10.6,74.8,0.7,297,0.6,10423,0,7.5,0,3021,3021,2.3,7.5,7.5
"DuBois, PA Micro Area",15.4,15.4,15.4,51.9,52.9,24.9,73.9,3.5,0,0.3,5403,291,9.6,291,3168,3168,14.5,9.6,9.6
"Dubuque, IA Metro Area",11.6,11.6,11.6,37.6,45.7,14.4,68.1,0.3,0,0,702,0,12.8,0,28707,28707,1.9,12.8,12.8
"Duluth, MN-WI Metro Area",8.2,8.2,8.2,29.9,42.9,12.8,74.8,0,0,0.3,965,607,9.5,607,17540,17540,0.7,9.5,9.5
"Dunn, NC Micro Area",11.3,11.3,11.3,33.1,48.1,12.6,68.3,0.9,63,1.2,2337,0,8,0,1988,1988,1.7,8,8
"Durham-Chapel Hill, NC Metro Area",13,13,13,47.4,36,14.1,77.1,,,,,,6.7,,3613,3613,,6.7,6.7
"East Stroudsburg, PA Metro Area",16.2,16.2,16.2,37.3,58.6,18.9,68.2,40.1,79,0.4,3766,163,8,163,75917,75917,11.6,8,8
"Eau Claire, WI Metro Area",10.4,10.4,10.4,37,31.1,11.4,63.8,1.3,50,0.7,3049,829,9,829,10517,10517,0.9,9,9
"El Centro, CA Metro Area",9.2,9.2,9.2,36.6,51.7,8.5,53,,,,,,10.7,,63019,63019,,10.7,10.7
"Elmira, NY Metro Area",10.3,10.3,10.3,36.1,26.2,7.8,70.6,0.4,0,1.2,1484,945,8.4,945,3031,3031,0.4,8.4,8.4
"El Paso, TX Metro Area",12.1,12.1,12.1,42.2,8.6,7,69.9,,,,,,5.8,,null,null,,5.8,5.8
"Enid, OK Metro Area",13.5,13.5,13.5,61.3,66.5,47.7,74.7,,,,,,9.5,,18547,18547,,9.5,9.5
"Erie, PA Metro Area",11.1,11.1,11.1,39.1,28.9,11.5,67.8,0.2,0,1.2,258,0,10.2,0,18468,18468,0.1,10.2,10.2
"Eugene, OR Metro Area",10.6,10.6,10.6,37.4,52.9,14.9,71.4,9.9,38,0.6,3494,47,10.4,47,4010,4010,3,10.4,10.4
"Eureka-Arcata-Fortuna, CA Micro Area",10.6,10.6,10.6,39.7,47.4,23.3,69.7,,,,,,10,,32209,32209,,10,10
"Evansville, IN-KY Metro Area",6.9,6.9,6.9,45.3,56.3,24.7,54.9,0.1,0,1.3,90,738,12.7,738,51856,51856,0.2,12.7,12.7
"Fairbanks, AK Metro Area",11.2,11.2,11.2,34.7,37.4,11.5,68.6,15.1,2653,0.4,6023,1032,9.1,1032,12853,12853,2.4,9.1,9.1
"Elizabeth City, NC Micro Area",9.8,9.8,9.8,38.6,50.5,12.1,63.8,6.4,0,0.8,3202,86,11.4,86,170992,170992,6.4,11.4,11.4
"Elizabethtown-Fort Knox, KY Metro Area",10.9,10.9,10.9,33.7,50.2,14,66.6,31.9,234,0.4,6153,1265,8.2,1265,5685,5685,1.3,8.2,8.2
"Elkhart-Goshen, IN Metro Area",8.4,8.4,8.4,39.3,23.1,8.2,65.2,0,0,1.1,1045,0,8.8,0,7415,7415,1.7,8.8,8.8
"Fargo, ND-MN Metro Area",9.9,9.9,9.9,32,20.4,2.8,81.3,,,,,,10.6,,1625,1625,,10.6,10.6
"Faribault-Northfield, MN Micro Area",13.3,13.3,13.3,38.9,0,17.8,72.1,0.3,0,0.4,2828,30,5.5,30,11814,11814,7.4,5.5,5.5
"Farmington, MO Micro Area",9.9,9.9,9.9,42.5,38.6,19.5,65,1.2,0,1.2,1158,120,13.4,120,1388,1388,3.2,13.4,13.4
"Farmington, NM Metro Area",13.4,13.4,13.4,43.4,54.4,17.3,73.2,8.8,242,0.6,2381,43,7.4,43,17524,17524,5,7.4,7.4
"Fayetteville, NC Metro Area",12,12,12,39.8,21.5,8.2,73,4.3,0,1.1,3281,127,9.1,127,22328,22328,2.1,9.1,9.1
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",14.9,14.9,14.9,45.8,56,18.7,74.5,0,0,63.8,750,2775,17.7,2775,21601,21601,1,17.7,17.7
"Findlay, OH Micro Area",16.8,16.8,16.8,44.1,51.7,9.6,75.2,,,,,,11.5,,4607,4607,,11.5,11.5
"Flagstaff, AZ Metro Area",6.1,6.1,6.1,33.8,52.1,24.8,58.5,,,,,,14.3,,12310,12310,,14.3,14.3
"Flint, MI Metro Area",7.8,7.8,7.8,35.8,33.8,20.1,68.8,,,,,,18.1,,4653,4653,,18.1,18.1
"Florence, SC Metro Area",11.6,11.6,11.6,36.9,38,12.3,84.6,2,0,0.4,1281,111,9.9,111,10130,10130,2.8,9.9,9.9
"Florence-Muscle Shoals, AL Metro Area",19,19,19,59.2,35.7,12.8,82.5,0,0,2.3,60,549,8.7,549,3317,3317,0.1,8.7,8.7
"Fond du Lac, WI Metro Area",14.2,14.2,14.2,47,54.1,13,67,0.2,0,0.7,196,47,11.8,47,7680,7680,0.4,11.8,11.8
"Forest City, NC Micro Area",10,10,10,43.1,43.1,19.9,76.6,,,,,,8,,1862626,1862626,,8,8
"Fort Collins, CO Metro Area",8,8,8,32.8,17.3,6.6,61.4,0.1,117,0.7,1259,4260,10.8,4260,4266,4266,0,10.8,10.8
"Fort Payne, AL Micro Area",12,12,12,44.5,59.8,15.5,72.4,0.4,49,0.4,3965,113,9.2,113,25393,25393,2.5,9.2,9.2
"Fort Smith, AR-OK Metro Area",9.6,9.6,9.6,35.6,27.8,7.4,70.5,0,115,0.7,648,0,7.1,0,5492,5492,0.3,7.1,7.1
"Frankfort, KY Micro Area",8.5,8.5,8.5,50.2,13.9,11.5,58.5,,,,,,15.4,,6371,6371,,15.4,15.4
"Fresno, CA Metro Area",8.6,8.6,8.6,35.3,35.4,13,73,0.5,0,0.3,1299,11,11.7,11,2107,2107,2.3,11.7,11.7
"Gadsden, AL Metro Area",12.2,12.2,12.2,44.7,33.9,17.3,73.2,19.2,487,0.4,1352,0,9.4,0,202571,202571,4.2,9.4,9.4
"Gainesville, FL Metro Area",9.1,9.1,9.1,31.3,42.6,12.6,67.2,0.3,99,0.3,4874,162,8.1,162,16578,16578,0.6,8.1,8.1
"Gainesville, GA Metro Area",8.4,8.4,8.4,31.2,27.4,8.2,60.8,0.1,0,1.7,696,10,6.5,10,13375,13375,0.9,6.5,6.5
"Gallup, NM Micro Area",9.7,9.7,9.7,40.3,21.7,11.1,55.1,6.1,382,1.6,2082,54,5.7,54,5147,5147,4.8,5.7,5.7
"Gettysburg, PA Metro Area",11.5,11.5,11.5,43.8,45.1,16.4,76.8,1,0,0.2,2410,0,9.3,0,15035,15035,3.9,9.3,9.3
"Fort Wayne, IN Metro Area",10.1,10.1,10.1,39.2,24.3,6.9,67.9,0.1,0,0.4,1937,230,11.6,230,6836,6836,0.8,11.6,11.6
"Glens Falls, NY Metro Area",10.7,10.7,10.7,40,51.4,12.8,64.2,,,,,,9.1,,172086,172086,,9.1,9.1
"Glenwood Springs, CO Micro Area",10.5,10.5,10.5,36.6,30.4,9.8,66.7,0.2,0,1,1456,2676,9,2676,9264,9264,0.2,9,9
"Goldsboro, NC Metro Area",6.5,6.5,6.5,29.9,26.4,22.5,61.9,0.2,0,1.2,0,0,11.8,0,3276,3276,0,11.8,11.8
"Grand Forks, ND-MN Metro Area",13.3,13.3,13.3,42.5,69.5,25,70.1,2.4,254,0.5,1562,0,10,0,7396,7396,2.9,10,10
"Grand Island, NE Metro Area",11.4,11.4,11.4,33.7,50.1,12.9,70.5,1.2,0,0.4,1156,0,7.4,0,7239,7239,1.7,7.4,7.4
"Grand Junction, CO Metro Area",8.6,8.6,8.6,32.2,0,3.4,75.4,,,,,,11.2,,5063,5063,,11.2,11.2
"Grand Rapids-Wyoming, MI Metro Area",10.5,10.5,10.5,39.2,36,10.4,71.1,0.2,0,0.3,2528,265,9.1,265,5961,5961,4.2,9.1,9.1
"Grants Pass, OR Metro Area",12.2,12.2,12.2,44.4,36.8,11.2,69.9,1.4,0,0.8,1578,41,6.8,41,1335,1335,1.7,6.8,6.8
"Great Falls, MT Metro Area",14.7,14.7,14.7,43.7,43.9,18.2,76.5,27.9,1914,0.3,1542,0,5.8,0,5166,5166,2.7,5.8,5.8
"Greeley, CO Metro Area",8.8,8.8,8.8,37.6,54.9,12.8,58.6,0.1,0,0.7,578,0,10.5,0,9294,9294,1,10.5,10.5
"Green Bay, WI Metro Area",10.4,10.4,10.4,37,28,11.6,67.2,0.2,0,0.3,3482,196,9.9,196,30780,30780,4.2,9.9,9.9
"Greeneville, TN Micro Area",12.8,12.8,12.8,37.1,59.1,13.1,63.1,0.2,0,47.3,44,3405,13.8,3405,14944,14944,0.1,13.8,13.8
"Greenfield Town, MA Micro Area",9.7,9.7,9.7,33.5,46.5,13.9,61.7,0.7,0,0.7,1086,0,7.8,0,2571,2571,1,7.8,7.8
"Greensboro-High Point, NC Metro Area",13.2,13.2,13.2,35.9,20.2,15.1,74.7,0.5,0,1.1,4105,0,6.6,0,7346,7346,9,6.6,6.6
"Greenville, NC Metro Area",10.9,10.9,10.9,38.4,58,15.7,70.8,0.1,0,0.4,110,0,7.7,0,162505,162505,0.3,7.7,7.7
"Greenville-Anderson-Mauldin, SC Metro Area",9.8,9.8,9.8,31.9,27.5,6.9,66.1,0.1,341,0.3,4548,1449,7.4,1449,13406,13406,0.5,7.4,7.4
"Greenwood, SC Micro Area",12.8,12.8,12.8,35.1,23.4,11.9,70.4,,,,,,15.7,,2240,2240,,15.7,15.7
"Gulfport-Biloxi-Pascagoula, MS Metro Area",13.9,13.9,13.9,33.4,37.2,6.3,71.2,54.8,0,0.4,3657,147,6.6,147,39188,39188,11.5,6.6,6.6
"Hagerstown-Martinsburg, MD-WV Metro Area",9,9,9,37.3,44.1,16.8,69,0.2,0,0.5,968,256,11.4,256,12840,12840,0.9,11.4,11.4
"Hammond, LA Metro Area",10.7,10.7,10.7,32.3,38.8,9.8,66.5,0.8,80,0.4,130,65,6.8,65,16959,16959,0.2,6.8,6.8
"Hanford-Corcoran, CA Metro Area",14.8,14.8,14.8,39.3,15.2,12.2,70,,,,,,9.3,,42561,42561,,9.3,9.3
"Harrisburg-Carlisle, PA Metro Area",7.6,7.6,7.6,35.7,33.2,15.7,60,0,0,1.5,944,821,12,821,4438,4438,0.5,12,12
"Harrisonburg, VA Metro Area",12.9,12.9,12.9,45.9,20.5,13,76.6,1.2,158,0.7,2634,320,6.9,320,15928,15928,2,6.9,6.9
"Hartford-West Hartford-East Hartford, CT Metro Area",12.5,12.5,12.5,40.9,51.8,16.4,72.4,40.4,44,0.3,3434,345,10.4,345,105482,105482,4.6,10.4,10.4
"Hattiesburg, MS Metro Area",10.1,10.1,10.1,36.2,39,17.2,69.2,35.1,222,0.8,4086,445,9.5,445,3793,3793,1.6,9.5,9.5
"Helena, MT Micro Area",13.7,13.7,13.7,49.4,74.4,27.9,67.4,6,0,0.7,3412,0,12,0,44776,44776,11.2,12,12
"Hermiston-Pendleton, OR Micro Area",11.4,11.4,11.4,38.6,30.4,8.1,71.2,0.2,86,0.3,5258,117,7.4,117,1550,1550,1.4,7.4,7.4
"Hickory-Lenoir-Morganton, NC Metro Area",11.7,11.7,11.7,39.9,56.5,14.9,67.3,,,,,,13.6,,1315,1315,,13.6,13.6
"Hilo, HI Micro Area",15.5,15.5,15.5,38.9,75,9.8,83.9,51,0,2.2,2483,98,7.2,98,4747,4747,9.1,7.2,7.2
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",12,12,12,33.7,25.3,9.9,68,2,44,0.9,3260,53,7.1,53,15851,15851,4.5,7.1,7.1
"Hinesville, GA Metro Area",10,10,10,37.1,50.1,21.3,67.9,,,,,,7.9,,22609,22609,,7.9,7.9
"Guayama, PR Metro Area",7.9,7.9,7.9,34.6,41,9.4,59.1,0.5,47,0.8,1586,0,8.1,0,6181,6181,1.7,8.1,8.1
"Iowa City, IA Metro Area",11.2,11.2,11.2,39.7,28.5,9.5,60.9,,,,,,,,6350,6350,,,
"Hobbs, NM Micro Area",10.5,10.5,10.5,39.7,53,17.7,73.1,,,,,,8.9,,3693,3693,,8.9,8.9
"Holland, MI Micro Area",12.3,12.3,12.3,44.8,26.3,10.2,75.9,,,,,,,,12762,12762,,,
"Homosassa Springs, FL Metro Area",18.7,18.7,18.7,57.7,42,17.1,75,0.1,0,1,1179,964,8.9,964,101351,101351,1.2,8.9,8.9
"Hot Springs, AR Metro Area",10.7,10.7,10.7,40.7,31,10.3,71.4,0,104,2,1094,3167,9.3,3167,34609,34609,0.4,9.3,9.3
"Houma-Thibodaux, LA Metro Area",11,11,11,34,38.7,11.6,68.9,16.4,4534,0.7,4319,1016,10.8,1016,29542,29542,2,10.8,10.8
"Meadville, PA Micro Area",10.4,10.4,10.4,35.6,29,14.2,67.4,1.5,24,0.7,3088,222,8.4,222,67078,67078,1.6,8.4,8.4
"Merced, CA Metro Area",6.5,6.5,6.5,37.7,27.7,9.2,65.3,0.1,0,0.7,0,1470,14.1,1470,34989,34989,0,14.1,14.1
"Medford, OR Metro Area",10.3,10.3,10.3,40.7,56.9,26.8,66.3,0.1,0,0.5,953,864,11.1,864,517014,517014,1.1,11.1,11.1
"Memphis, TN-MS-AR Metro Area",9.7,9.7,9.7,35.7,42,13.9,57.8,0.1,64,0.7,978,9886,11.4,9886,1034,1034,0.1,11.4,11.4
"Meridian, MS Micro Area",11.4,11.4,11.4,45.6,28.8,7.3,77.1,,,,,,10.9,,6844,6844,,10.9,10.9
"Marion, OH Micro Area",8.3,8.3,8.3,32.7,10.4,6.9,48.9,0,0,0,283,0,4.8,0,6104,6104,0.6,4.8,4.8
"Marquette, MI Micro Area",8.8,8.8,8.8,39.9,52.4,24,58.3,0.3,0,0.2,333,0,9.7,0,7354,7354,0.7,9.7,9.7
"Marshall, TX Micro Area",11.9,11.9,11.9,35,53.5,14.4,71.1,26.5,24,2.5,1995,128,10.8,128,10404,10404,3.4,10.8,10.8
"Martinsville, VA Micro Area",14.5,14.5,14.5,38.5,27.2,13.3,71.3,43.9,30,0.7,14380,617,9.6,617,1074,1074,14.7,9.6,9.6
"Mayag\u00FCez, PR Metro Area",12.9,12.9,12.9,42.8,49.5,11.9,69.3,1.5,0,0.8,1154,0,9.3,0,5677,5677,4.3,9.3,9.3
"McAllen-Edinburg-Mission, TX Metro Area",10.9,10.9,10.9,36.9,53.6,16.6,66,56.4,0,0.8,2944,0,9.3,0,47335,47335,6.1,9.3,9.3
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",9.6,9.6,9.6,33.4,40.3,15.5,60.9,0.2,74,0.5,1183,113,9.9,113,7534,7534,0.5,9.9,9.9
"Michigan City-La Porte, IN Metro Area",9.5,9.5,9.5,30,24,12.1,78.9,9.3,0,1.5,1746,894,6.1,894,1806,1806,2.3,6.1,6.1
"Midland, MI Metro Area",11.4,11.4,11.4,36.8,68.3,16.8,68,1.2,0,0.2,627,0,9.3,0,25099,25099,1.5,9.3,9.3
"Midland, TX Metro Area",9.7,9.7,9.7,31.3,28.7,8.2,58.1,0,0,0.3,246,0,7.2,0,36868,36868,0.2,7.2,7.2
"Milwaukee-Waukesha-West Allis, WI Metro Area",9.9,9.9,9.9,38.1,46,11.2,65.2,0,0,0.5,2272,598,8.7,598,11131,11131,0.7,8.7,8.7
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",6.3,6.3,6.3,30.2,6.7,6.2,61.9,0.2,71,0.2,315,14,8.7,14,19226,19226,0.6,8.7,8.7
"Minot, ND Micro Area",10.3,10.3,10.3,39.4,39.6,7.7,69.3,0,0,0.9,925,77,10.8,77,5660,5660,0.9,10.8,10.8
"Missoula, MT Metro Area",11.5,11.5,11.5,42.7,27.8,14.8,68.5,1.1,0,1.2,1804,343,8.8,343,4207484,4207484,4,8.8,8.8
"Mobile, AL Metro Area",9.3,9.3,9.3,34.6,43.5,18.5,48.2,0.1,818,4.7,8709,29821,9.7,29821,92423,92423,0.2,9.7,9.7
"Modesto, CA Metro Area",10.7,10.7,10.7,36.2,52.1,14,69.7,0.3,29,0.5,4874,322,8.9,322,21552,21552,0.9,8.9,8.9
"Monroe, LA Metro Area",8.4,8.4,8.4,33.9,22,8,54.4,0.1,0,0.1,339,83,11.1,83,7684,7684,0.2,11.1,11.1
"Monroe, MI Metro Area",9.7,9.7,9.7,41.5,61.7,9.4,65.3,,,,,,8.9,,6827,6827,,8.9,8.9
"Montgomery, AL Metro Area",9.9,9.9,9.9,50,40.2,14,65.3,0.4,0,0.9,310,0,5,0,8039,8039,0.7,5,5
"Morehead City, NC Micro Area",11.4,11.4,11.4,40.5,38.7,14.6,71.9,4,0,1.2,2227,135,8.2,135,8731,8731,2.1,8.2,8.2
"Morgantown, WV Metro Area",11.3,11.3,11.3,42.5,28.6,11.4,59.6,0.1,0,0.7,292,0,11.8,0,55293,55293,0.3,11.8,11.8
"Morristown, TN Metro Area",9.8,9.8,9.8,30.5,24,6.9,58.7,0.6,38,0.7,3726,719,6.2,719,46229,46229,1.2,6.2,6.2
"Moses Lake, WA Micro Area",10.7,10.7,10.7,29,26.8,7.4,68.2,28.5,155,0.7,6729,79,8,79,8294,8294,3.9,8,8
"Mount Airy, NC Micro Area",7.7,7.7,7.7,28.7,28.2,9.1,50.9,0.1,0,0.2,590,484,5.5,484,2766,2766,1.1,5.5,5.5
"Mount Pleasant, MI Micro Area",13.7,13.7,13.7,38.1,45.4,9.3,76.8,1.4,0,0.4,1005,0,5.4,0,5074,5074,2.8,5.4,5.4
"Mount Vernon-Anacortes, WA Metro Area",9.6,9.6,9.6,33.5,0.8,12.5,63.2,0.7,0,0.3,414,41,9.6,41,2288,2288,1,9.6,9.6
"Muncie, IN Metro Area",12.4,12.4,12.4,43.8,47.9,17.9,70.2,2.6,0,0.5,1461,0,8.8,0,1351,1351,2.9,8.8,8.8
"Muskegon, MI Metro Area",16,16,16,44.6,38.6,14.6,81,1.5,10,0.1,2521,0,6.7,0,1434,1434,8.2,6.7,6.7
"Muskogee, OK Micro Area",11.1,11.1,11.1,45,56.6,17.7,70.5,,,,,,11.9,,null,null,,11.9,11.9
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",12.5,12.5,12.5,57.3,73,39.5,64.4,,,,,,6.4,,492,492,,6.4,6.4
"Nacogdoches, TX Micro Area",11.2,11.2,11.2,42.3,69.8,19.1,64.8,,,,,,5.5,,1006,1006,,5.5,5.5
"Napa, CA Metro Area",12.5,12.5,12.5,42.2,59.9,17.9,66.5,1.2,0,0.3,1338,0,12.2,0,4336,4336,4.7,12.2,12.2
"Naples-Immokalee-Marco Island, FL Metro Area",11.9,11.9,11.9,47.7,63.9,19.9,66.7,23.6,410,0.5,4147,0,11.7,0,232219,232219,9.7,11.7,11.7
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",6.6,6.6,6.6,40.1,16.9,8.1,66.5,0.1,0,0.7,60,1410,12.3,1410,525,525,0,12.3,12.3
"New Bern, NC Metro Area",13.5,13.5,13.5,43.1,38.2,15.8,75.1,9.2,529,1,2668,0,15,0,12955,12955,7.7,15,15
"New Castle, PA Micro Area",13.5,13.5,13.5,42.7,81.5,22.1,66.7,0.7,0,0.3,5395,754,8.2,754,85613,85613,5.8,8.2,8.2
"New Haven-Milford, CT Metro Area",9.8,9.8,9.8,35.4,31.8,10.1,60.7,0.1,39,0.6,1839,247,9.6,247,75342,75342,0.4,9.6,9.6
"New Orleans-Metairie, LA Metro Area",7.3,7.3,7.3,39.7,63.7,28.5,52.6,0.2,32,0.7,658,1368,11.2,1368,1715,1715,0.7,11.2,11.2
"New Philadelphia-Dover, OH Micro Area",10.9,10.9,10.9,41.9,73.2,10.4,70.1,0,0,0.6,370,0,10.8,0,2639783,2639783,1,10.8,10.8
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",10.4,10.4,10.4,35.8,26.4,7.7,61.8,0.2,305,4.9,436,5371,9.7,5371,4768,4768,0,9.7,9.7
"Niles-Benton Harbor, MI Metro Area",11.7,11.7,11.7,44.5,35.6,13,74.3,,,,,,7.1,,2622,2622,,7.1,7.1
"North Port-Sarasota-Bradenton, FL Metro Area",11.6,11.6,11.6,40.1,48.6,18.3,77.4,0.7,0,0.9,1370,0,9.4,0,21929,21929,3.8,9.4,9.4
"Norwich-New London, CT Metro Area",6.5,6.5,6.5,30.1,2.2,5,66.3,0,0,0.8,79,544,13.9,544,125199,125199,0.1,13.9,13.9
"Orangeburg, SC Micro Area",10.6,10.6,10.6,33.7,50.4,11.1,61.2,0.9,96,0.6,2662,360,7.5,360,395223,395223,0.4,7.5,7.5
"North Wilkesboro, NC Micro Area",9.7,9.7,9.7,29.2,35.8,11.8,70.2,0.4,163,0.7,7984,1046,7.6,1046,2156,2156,0.5,7.6,7.6
"Orlando-Kissimmee-Sanford, FL Metro Area",8.7,8.7,8.7,30.2,84.1,10.1,62.7,1.6,0,0,44,0,15,0,2409,2409,0.1,15,15
"Oshkosh-Neenah, WI Metro Area",11,11,11,31.6,34.9,14.2,60.6,0.5,0,0.1,2922,237,9,237,14817,14817,5.1,9,9
"Ottawa-Peru, IL Micro Area",10.7,10.7,10.7,41,28.3,8,66.8,0,0,0.3,514,0,8,0,119524,119524,0.3,8,8
"Owensboro, KY Metro Area",8.3,8.3,8.3,37,56.8,22,61.1,0,0,0.8,1074,1548,11.8,1548,4204,4204,0.6,11.8,11.8
