CITY,Total Population 65–74 %,Total Population 65–74 %,Total Population 65–74 %,16+ Years Not in Labor Force %,Unemployed (19–64) With Public Health Insurance %,Employed (19–64) With Public Health Insurance %,Owner-Occupied Housing Units %,Homes Using Oil/Kerosene %,Homes Heating With Coal or Coke,Homes With No Heat %,Homes Heating With Wood,Homes Using Solar Energy,Workers Carpooling %,Homes Using Solar Energy,Foreign-Born Not a U.S. Citizen %,Foreign-Born Not a U.S. Citizen %,Homes Heating With Wood %,Workers Carpooling %,Workers Carpooling %

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0069E,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0020PE,DP03_0020PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Alexandria, LA Metro Area",7.6,7.6,7.6,28.1,13.3,5.4,58.1,0.1,299,0.6,1427,4102,7.5,4102,178023,178023,0.1,7.5,7.5
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",7.6,7.6,7.6,39.4,55.7,27.6,59.8,0.2,104,1.7,4132,9103,13.2,9103,345485,345485,1.4,13.2,13.2
"Altoona, PA Metro Area",10.2,10.2,10.2,33,49.8,12,67,6.5,909,0.7,6725,3727,7.3,3727,6046,6046,0.6,7.3,7.3
"Amarillo, TX Metro Area",12.3,12.3,12.3,41.7,46.8,20.6,71.5,55.8,71,0.9,4926,236,9.6,236,1978,1978,7.4,9.6,9.6
"Ames, IA Metro Area",12.2,12.2,12.2,32,51.6,10.5,70.8,0.5,0,0.8,1707,32,9.2,32,23178,23178,6,9.2,9.2
"Anchorage, AK Metro Area",19.2,19.2,19.2,42.1,53.4,16.4,78.5,17.3,116,0.4,909,814,8.3,814,50954,50954,0.8,8.3,8.3
"Ann Arbor, MI Metro Area",9.6,9.6,9.6,38.5,51.6,15.4,69.3,0.2,44,0.7,599,194,8.9,194,5222,5222,0.2,8.9,8.9
"Anniston-Oxford-Jacksonville, AL Metro Area",11.5,11.5,11.5,39.4,56,15.6,72.4,0.8,0,0.4,1590,0,10,0,1615,1615,2.9,10,10
"Appleton, WI Metro Area",13.9,13.9,13.9,42.6,52.1,17.9,77.7,0.7,0,0.7,930,0,7.6,0,37728,37728,2.1,7.6,7.6
"Arecibo, PR Metro Area",10,10,10,41.2,30.8,7.4,68.3,0,0,0.6,510,228,7.4,228,1700,1700,0.3,7.4,7.4
"Asheville, NC Metro Area",11.9,11.9,11.9,36.6,26.7,10.1,71.7,2.5,0,0.3,1224,12,8.3,12,1031,1031,3.4,8.3,8.3
"Ashtabula, OH Micro Area",13.3,13.3,13.3,51.1,45.2,21.3,74.4,0.9,139,0.8,1807,50,11.6,50,21561,21561,4,11.6,11.6
"Athens, OH Micro Area",11.4,11.4,11.4,36.7,27.4,15.9,63,1.1,0,0.1,2917,252,8.9,252,12574,12574,3.1,8.9,8.9
"Athens, TX Micro Area",12.8,12.8,12.8,36.7,46.9,15.4,71.8,1.2,192,0.4,6637,1348,8.3,1348,2924,2924,6.2,8.3,8.3
"Athens-Clarke County, GA Metro Area",11.7,11.7,11.7,34,45.2,15.7,68,0.3,0,0.8,2035,47,9,47,12936,12936,2.5,9,9
"Atlanta-Sandy Springs-Roswell, GA Metro Area",11.6,11.6,11.6,43.5,45.8,20.3,68.4,13.3,1488,0.4,3170,237,10.2,237,55693,55693,3.2,10.2,10.2
"Auburn, NY Micro Area",10.4,10.4,10.4,39.1,19.7,8.3,71,0.1,193,0.8,2085,0,8,0,2757,2757,0.4,8,8
"Atlantic City-Hammonton, NJ Metro Area",10.8,10.8,10.8,31.5,8,7.8,73.6,0.2,15,1.8,83,17,8.6,17,9565,9565,0.1,8.6,8.6
"Auburn-Opelika, AL Metro Area",9.7,9.7,9.7,43.5,24.3,11.3,63.9,3.4,0,0.5,2682,111,7.2,111,13169,13169,3.8,7.2,7.2
"Augusta-Richmond County, GA-SC Metro Area",8.6,8.6,8.6,34.3,27.7,9.6,65.5,0,60,0.4,95,246,7.1,246,11632,11632,0.1,7.1,7.1
"Augusta-Waterville, ME Micro Area",9.6,9.6,9.6,39.2,47.9,11.8,55.5,0.3,112,0.2,1277,219,8.5,219,2683,2683,1.8,8.5,8.5
