CITY,Total Population Under 18, Total Population Under 18, Total Population of 18+, Total Population of 18+, Total Population of 18+, Per Capita Income, Median Household Income, Total Civilian Labor Force, Employed Health Insurance Coverage Ages 19-64, Renter-Occupied Housing Units, Median Rent for Occupied Housing Units, Estimate of Owner-Occupied Housing Units Without a Mortgage, Median Housing Cost, Total Population Estimate, Total Male Population Estimate, Total Male Population Estimate, Estimate of Foreign-Born Population, Estimate of Foreign-Born Population, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, % Workers Taking Taxi to Work, Estimate of Population >25 With a Graduate Degree, Estimate of Population >25 With a Graduate Degree, Estimate of Voting Age Population, Estimate of Voting Age Population, Estimate of Homes Using Electric Heat, Estimate of Homes Using Gas, Estimate of Male Citizen Voting Population, Estimate of Total Households With Computers and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Waco, TX Metro Area",173922,173922,571869,571869,571869,35683,72633,374758,55797,96744,2.46,1251,132975,46059,324100,745791,745791,377812,377812,36220,36220,14755,14755,14755,120899,120899,554751,554751,61523,196704,282427,0.5
"Walla Walla, WA Metro Area",43388,43388,165160,165160,165160,30582,57359,115166,5052,31920,2.28,910,31213,16994,192700,208548,208548,102622,102622,6498,6498,5819,5819,5819,31281,31281,156463,156463,32472,39429,74526,0.5
"Warner Robins, GA Metro Area",184950,184950,654089,654089,654089,31065,55725,412359,32906,102199,2.41,920,141506,74293,164700,839039,839039,404993,404993,32255,32255,41730,41730,41730,117476,117476,630318,630318,230827,72664,299741,0.5
"Warsaw, IN Micro Area",76831,76831,245272,245272,245272,27286,49013,136144,11690,52319,2.46,862,39021,28388,145900,322103,322103,160966,160966,11544,11544,16645,16645,16645,26990,26990,237486,237486,79001,33641,116963,0.5
"Wichita Falls, TX Metro Area",18813,18813,64955,64955,64955,23968,50906,38222,2516,7776,2.61,798,11915,12399,137600,83768,83768,40579,40579,1476,1476,8365,8365,8365,5935,5935,63818,63818,,,30623,0
"Williamsport, PA Metro Area",19988,19988,63791,63791,63791,33731,72555,42733,2778,8389,2.3,935,13148,8846,174000,83779,83779,41894,41894,4623,4623,2619,2619,2619,12387,12387,57664,57664,,,27657,0.1
"Wilmington, NC Metro Area",495264,495264,1627007,1627007,1627007,36285,67207,1149678,104389,319126,2.32,965,345793,152167,212600,2122271,2122271,1044396,1044396,111292,111292,83427,83427,83427,342684,342684,1546532,1546532,220329,533820,751426,0.3
"Wilson, NC Micro Area",29039,29039,122352,122352,122352,37342,76218,82972,5055,17123,1.9,1038,27898,14996,252300,151391,151391,74441,74441,4510,4510,6564,6564,6564,23064,23064,119699,119699,6475,14904,58610,0.3
"Watertown-Fort Atkinson, WI Micro Area",23277,23277,91997,91997,91997,24741,47879,52284,3833,13662,2.35,742,14818,16332,165400,115274,115274,57134,57134,3293,3293,6180,6180,6180,12075,12075,89744,89744,,,44088,0
"Watertown-Fort Drum, NY Metro Area",11199,11199,53288,53288,53288,28829,50527,26334,4046,8298,2.28,900,10527,8818,252900,64487,64487,31600,31600,,,4103,4103,4103,5932,5932,52693,52693,18778,843,25768,0
"Wausau, WI Metro Area",20323,20323,75056,75056,75056,29849,52951,46087,8514,10773,2.17,709,14531,13979,106600,95379,95379,47085,47085,1667,1667,3973,3973,3973,8066,8066,73185,73185,5408,19830,36082,0
"Weirton-Steubenville, WV-OH Metro Area",105628,105628,323396,323396,323396,27286,56991,205049,10448,59399,2.53,1045,47863,45804,150100,429024,429024,213267,213267,30414,30414,24532,24532,24532,40063,40063,302339,302339,,,146760,0.1
"Wenatchee, WA Metro Area",14882,14882,78171,78171,78171,35237,70835,48732,4571,15953,2.06,1158,12996,8429,389000,93053,93053,46081,46081,3462,3462,1010,1010,1010,17504,17504,73371,73371,19005,15506,35811,0.1
"Wheeling, WV-OH Metro Area",62367,62367,222442,222442,222442,32299,62627,131197,10732,31730,2.65,1160,43849,26993,241600,284809,284809,144853,144853,14155,14155,11702,11702,11702,41228,41228,211990,211990,79621,19359,108126,0.6
"Whitewater-Elkhorn, WI Micro Area",115797,115797,552568,552568,552568,30352,54533,303107,21414,72173,2.57,1123,104791,86951,217000,668365,668365,323881,323881,49363,49363,29986,29986,29986,78466,78466,534743,534743,248258,9846,260634,0.9
"Wichita, KS Metro Area",655615,655615,2311624,2311624,2311624,44806,85641,1702405,137656,411852,2.28,1468,553590,187015,437800,2967239,2967239,1487756,1487756,266952,266952,93279,93279,93279,596198,596198,2151425,2151425,302494,798610,1070217,0.2
"Winchester, VA-WV Metro Area",173392,173392,525900,525900,525900,37042,71164,388537,36976,86571,2.19,940,133918,59567,201000,699292,699292,345567,345567,42789,42789,17518,17518,17518,123579,123579,500878,500878,88396,170651,244998,0
"Winston-Salem, NC Metro Area",943743,943743,3375886,3375886,3375886,35315,63474,2200099,233603,522750,2.2,962,727295,470565,191800,4319629,4319629,2103829,2103829,306401,306401,185139,185139,185139,579485,579485,3217214,3217214,168436,1483997,1539778,0.3
"Wisconsin Rapids-Marshfield, WI Micro Area",17108,17108,80176,80176,80176,24220,49729,39717,5367,10713,1.85,628,14263,11454,131400,97284,97284,51235,51235,1527,1527,4790,4790,4790,8519,8519,79572,79572,11532,15459,41067,0.4
"Wooster, OH Micro Area",1945726,1945726,5627410,5627410,5627410,36274,72265,4021879,143046,1066239,2.55,1202,990695,578083,253900,7573136,7573136,3727663,3727663,1026814,1026814,336293,336293,336293,1155466,1155466,4807610,4807610,1627121,940412,2311297,0.3
"Worcester, MA-CT Metro Area",36820,36820,107904,107904,107904,25208,51967,71259,3660,14639,2.69,704,18343,17285,138600,144724,144724,71173,71173,19158,19158,10774,10774,10774,8217,8217,93674,93674,,,46296,
"Yakima, WA Metro Area",17759,17759,57999,57999,57999,25592,43111,33236,5859,10097,2.47,649,9931,11126,80100,75758,75758,37290,37290,,,4128,4128,4128,4095,4095,57171,57171,10959,17390,27870,0
"York-Hanover, PA Metro Area",19440,19440,80958,80958,80958,26152,45971,46754,5874,16391,2.17,696,13783,13875,118800,100398,100398,48816,48816,1466,1466,8801,8801,8801,6424,6424,79533,79533,26084,8723,37346,0.1
"Youngstown-Warren-Boardman, OH-PA Metro Area",46903,46903,176331,176331,176331,32443,56439,101561,5921,17028,2.43,1072,36074,29223,223100,223234,223234,109192,109192,6283,6283,12068,12068,12068,32781,32781,171344,171344,,,80874,0.1
"Yuba City, CA Metro Area",86608,86608,292315,292315,292315,33388,62001,191288,19347,49105,2.12,743,64389,41895,141400,378923,378923,186073,186073,15119,15119,16025,16025,16025,44094,44094,283511,283511,22590,122983,137793,0
"Yuma, AZ Metro Area",175847,175847,631764,631764,631764,32270,58169,403533,47362,119846,2.19,812,131891,80521,141900,807611,807611,392260,392260,20595,20595,34527,34527,34527,100031,100031,616547,616547,97498,212875,293984,0.2
"Zanesville, OH Micro Area",33962,33962,118641,118641,118641,28346,53447,69903,3999,14184,2.5,694,25611,19520,142900,152603,152603,74845,74845,5441,5441,9316,9316,9316,14534,14534,114607,114607,44760,10078,55106,0.1
"Charleston-North Charleston, SC Metro Area",22963,22963,81046,81046,81046,29772,50839,47272,4525,13554,2.04,668,15173,14014,105500,104009,104009,49704,49704,1353,1353,3577,3577,3577,10386,10386,79937,79937,11222,29171,37274,0
"Champaign-Urbana, IL Metro Area",33523,33523,115835,115835,115835,27121,50010,65429,3819,17828,2.59,727,22028,16939,142200,149358,149358,71868,71868,2876,2876,11205,11205,11205,13563,13563,114147,114147,51654,3444,53395,0.3
"Charleston, WV Metro Area",41303,41303,139483,139483,139483,28004,58001,84274,9837,22705,2.56,1125,29435,15883,225200,180786,180786,86829,86829,8830,8830,9153,9153,9153,19111,19111,134411,134411,21761,28003,63666,2.2
"Charlotte-Concord-Gastonia, NC-SC Metro Area",16110,16110,50233,50233,50233,21825,39625,26407,2334,8979,2.77,546,4844,9811,96300,66343,66343,34939,34939,,,6010,6010,6010,4170,4170,49844,49844,,,24824,
"Charlottesville, VA Metro Area",14355,14355,64900,64900,64900,24155,45643,36172,4360,7688,2.12,718,11991,12311,98900,79255,79255,42179,42179,963,963,5176,5176,5176,6167,6167,64054,64054,2743,10189,33851,0.1
"Chattanooga, TN-GA Metro Area",22066,22066,75245,75245,75245,33294,62178,53848,6448,9769,2.14,825,17155,11421,171400,97311,97311,48855,48855,1784,1784,2434,2434,2434,14179,14179,73687,73687,6045,26909,36103,0.1
"Cheyenne, WY Metro Area",56267,56267,233116,233116,233116,32589,60316,150037,18650,33669,1.94,768,54085,37159,167200,289383,289383,146150,146150,5670,5670,8113,8113,8113,38836,38836,230641,230641,20080,62747,115355,0
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",130315,130315,514052,514052,514052,36778,65303,331750,17166,98450,2.14,1065,105371,51450,251900,644367,644367,308909,308909,58179,58179,26301,26301,26301,101740,101740,471013,471013,152023,81230,219712,0.5
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",33116,33116,137155,137155,137155,31155,62413,86794,9968,14133,2.89,1199,28035,14106,177600,170271,170271,84330,84330,12517,12517,8024,8024,8024,20295,20295,133897,133897,26256,5925,65407,3.1
"Burlington, NC Metro Area",35000,35000,134304,134304,134304,32991,63460,92268,7897,20068,2.07,817,29143,17885,188700,169304,169304,85367,85367,3122,3122,3730,3730,3730,21934,21934,132615,132615,14152,33565,66914,0
"Burlington-South Burlington, VT Metro Area",51598,51598,129617,129617,129617,18800,48472,68297,18271,21460,3.48,810,17272,9450,229600,181215,181215,92926,92926,42194,42194,18312,18312,18312,15536,15536,104890,104890,,,54511,
"California-Lexington Park, MD Metro Area",36298,36298,118415,118415,118415,28963,55246,67089,10381,20751,2.42,832,23733,14106,155700,154713,154713,76997,76997,4368,4368,7681,7681,7681,13663,13663,116649,116649,39348,12435,57122,0
"Canton-Massillon, OH Metro Area",56669,56669,149672,149672,149672,26745,54531,103119,5565,18602,2.7,841,32215,17736,160400,206341,206341,101937,101937,14537,14537,11058,11058,11058,18298,18298,141092,141092,7966,56898,67224,0.4
"Cape Coral-Fort Myers, FL Metro Area",17285,17285,66171,66171,66171,29639,60782,40067,6176,9418,2.41,757,11584,12488,110900,83456,83456,41145,41145,1719,1719,3760,3760,3760,8165,8165,65307,65307,3823,23926,32172,0.3
"Chico, CA Metro Area",225223,225223,618502,618502,618502,21915,48823,381161,28750,106704,2.88,849,87706,75727,125100,843725,843725,416804,416804,158931,158931,46078,46078,46078,85891,85891,530405,530405,72054,188890,264935,0.2
"Chillicothe, OH Micro Area",15681,15681,45375,45375,45375,32346,64929,28531,1255,7733,2.28,832,7900,8050,119400,61056,61056,30715,30715,,,3424,3424,3424,6013,6013,43112,43112,,,21650,0
"Cincinnati, OH-KY-IN Metro Area",56861,56861,212867,212867,212867,28502,51818,132097,17843,36973,2.19,756,41011,32144,143600,269728,269728,131825,131825,6091,6091,12730,12730,12730,34869,34869,209562,209562,11093,86687,101945,0.2
"Claremont-Lebanon, NH-VT Micro Area",69571,69571,312496,312496,312496,32333,57325,195585,29910,65398,2.23,1034,58215,32083,293300,382067,382067,187103,187103,14108,14108,13743,13743,13743,50858,50858,301460,301460,115043,25722,145770,0
"Clarksburg, WV Micro Area",25615,25615,109943,109943,109943,32537,51662,68171,13883,25069,2.26,1006,17174,13449,348000,135558,135558,66417,66417,6012,6012,6546,6546,6546,19112,19112,106177,106177,9698,28634,51269,0.3
"Clarksville, TN-KY Metro Area",68208,68208,246878,246878,246878,31953,55584,164726,15030,42316,2.24,807,52368,35287,147300,315086,315086,153416,153416,6643,6643,14340,14340,14340,38628,38628,241581,241581,,,116894,0.1
"Clearlake, CA Micro Area",23004,23004,73845,73845,73845,39252,72065,45363,4518,13556,2.39,1284,,,259800,96849,96849,53163,53163,2685,2685,1273,1273,1273,10212,10212,72121,72121,2878,2240,39898,0.8
"Cleveland, TN Metro Area",17434,17434,54079,54079,54079,21939,44208,34150,1262,7087,2.72,589,8698,9095,115200,71513,71513,35688,35688,,,5375,5375,5375,3693,3693,49295,49295,,,24299,
"Cleveland-Elyria, OH Metro Area",60208,60208,188944,188944,188944,24134,45157,111710,11809,37185,2.32,707,31423,29699,126200,249152,249152,120946,120946,10703,10703,15228,15228,15228,23917,23917,180929,180929,49552,40401,88192,0.4
"Coeur d'Alene, ID Metro Area",55842,55842,190303,190303,190303,36283,62820,146578,10117,49491,1.89,815,34842,19764,236100,246145,246145,122651,122651,8133,8133,4268,4268,4268,43531,43531,182228,182228,49686,44326,90669,0.1
"College Station-Bryan, TX Metro Area",14538,14538,52434,52434,52434,34481,72469,35912,3181,5582,1.79,811,11774,5505,245900,66972,66972,34505,34505,2367,2367,2116,2116,2116,7994,7994,50633,50633,4117,14667,25817,0
"Colorado Springs, CO Metro Area",13698,13698,53517,53517,53517,21793,42390,28830,1589,7398,2.82,721,,,113200,67215,67215,36153,36153,,,4210,4210,4210,3154,3154,53332,53332,,,28839,
"Columbia, MO Metro Area",32366,32366,91592,91592,91592,21626,44321,50260,11027,14193,2.82,749,13384,14984,154200,123958,123958,61512,61512,,,8880,8880,8880,6661,6661,90506,90506,4313,24041,44078,0
"Columbia, SC Metro Area",132898,132898,393821,393821,393821,24457,47597,219238,27380,86811,2.6,940,71342,35783,144800,526719,526719,260270,260270,24973,24973,22227,22227,22227,51442,51442,378553,378553,151781,28054,186547,1
"Columbus, GA-AL Metro Area",135157,135157,400963,400963,400963,31663,61674,268602,22779,76019,2.47,840,78338,42326,196300,536120,536120,266920,266920,43888,43888,23450,23450,23450,70154,70154,366231,366231,79384,97004,177383,0.1
"Columbus, IN Metro Area",16588,16588,59195,59195,59195,36635,60944,39781,2559,10639,1.94,747,13403,8448,162700,75783,75783,37880,37880,,,3277,3277,3277,7524,7524,57636,57636,7049,20413,28251,0
"Columbus, OH Metro Area",28005,28005,115471,115471,115471,29379,58085,74860,7672,18862,2.35,1231,14889,15242,317700,143476,143476,71036,71036,3455,3455,3606,3606,3606,18637,18637,112926,112926,12040,24325,55075,0.5
"Concord, NH Micro Area",90568,90568,315245,315245,315245,28503,50389,189893,30383,50801,2.25,769,65212,53234,128900,405813,405813,194886,194886,7580,7580,20902,20902,20902,37975,37975,311677,311677,21372,137434,147827,0.1
"Cookeville, TN Micro Area",46925,46925,157986,157986,157986,25901,48547,92442,6325,26095,2.55,777,26424,25329,128500,204911,204911,97076,97076,3997,3997,12862,12862,12862,19780,19780,155442,155442,66243,7766,71253,0
"Coos Bay, OR Micro Area",30003,30003,117967,117967,117967,26044,45824,65884,2309,20768,2.13,654,19008,21061,145500,147970,147970,70838,70838,1249,1249,10718,10718,10718,12923,12923,116719,116719,,,54900,0
"Corning, NY Micro Area",21205,21205,82198,82198,82198,33847,65329,57844,3320,13807,1.89,751,17988,10809,172700,103403,103403,49220,49220,2068,2068,3842,3842,3842,11196,11196,80219,80219,6779,27148,38717,0.1
"Corpus Christi, TX Metro Area",13494,13494,53535,53535,53535,25940,44361,27530,2981,6874,2.43,647,,,127700,67029,67029,31916,31916,2110,2110,4596,4596,4596,7102,7102,52502,52502,19997,2019,24725,
"Corvallis, OR Metro Area",69047,69047,287852,287852,287852,40582,75186,198407,15600,50240,2.14,1399,66724,29674,420100,356899,356899,179484,179484,11321,11321,6471,6471,6471,71744,71744,280263,280263,33122,102911,138868,0.1
"Crestview-Fort Walton Beach-Destin, FL Metro Area",104528,104528,308735,308735,308735,30800,57287,216652,18796,46873,2.16,780,75416,38173,143800,413263,413263,202126,202126,21503,21503,16854,16854,16854,51950,51950,293799,293799,40002,108474,141457,0.2
"Cullman, AL Micro Area",16061,16061,57677,57677,57677,33316,59495,35000,3593,10050,2.16,766,12672,7810,153700,73738,73738,36406,36406,,,2716,2716,2716,8918,8918,55818,55818,,,27252,
"Cumberland, MD-WV Metro Area",281383,281383,717718,717718,717718,25260,57518,447442,88509,146538,3.06,1034,120811,48625,288300,999101,999101,499209,499209,175915,175915,66072,66072,66072,91545,91545,609208,609208,106983,177611,296134,0.1
"Dallas-Fort Worth-Arlington, TX Metro Area",21989,21989,80279,80279,80279,25065,41447,46379,2942,10877,2.4,677,14082,15094,127500,102268,102268,49278,49278,2555,2555,8623,8623,8623,7524,7524,79514,79514,,,37677,
"Dalton, GA Metro Area",60507,60507,268010,268010,268010,28111,47762,158318,11193,52719,2.19,972,40594,33423,191700,328517,328517,158033,158033,20482,20482,11879,11879,11879,41176,41176,251089,251089,103186,18618,120592,1.8
"Danville, IL Metro Area",50596,50596,153845,153845,153845,32667,67467,97901,3911,17326,3.26,974,32871,15428,227800,204441,204441,101421,101421,25772,25772,11678,11678,11678,20969,20969,134202,134202,44800,17366,64225,0
"Danville, VA Micro Area",20085,20085,51282,51282,51282,15589,37153,24817,6590,5633,3.22,607,,,57400,71367,71367,33125,33125,,,6413,6413,6413,2494,2494,50774,50774,1755,7679,24038,
"Daphne-Fairhope-Foley, AL Metro Area",20047,20047,82962,82962,82962,32927,67715,53311,3586,8368,2.41,911,18058,12277,206200,103009,103009,50914,50914,3685,3685,5294,5294,5294,8696,8696,81064,81064,9393,13657,39291,0.4
"Davenport-Moline-Rock Island, IA-IL Metro Area",22339,22339,102809,102809,102809,33610,61255,62767,7642,14428,2.09,923,22296,16962,178200,125148,125148,63111,63111,4016,4016,4975,4975,4975,14254,14254,101101,101101,5947,19387,50224,0.2
"Dayton, OH Metro Area",15867,15867,63135,63135,63135,44303,78010,46294,4152,11190,2.28,1256,12969,8110,436700,79002,79002,40117,40117,7981,7981,2977,2977,2977,15271,15271,55482,55482,,,28272,0
"Decatur, AL Metro Area",29018,29018,94113,94113,94113,24480,44596,50728,5942,18967,2.38,798,15840,13675,118400,123131,123131,59187,59187,5695,5695,5206,5206,5206,9504,9504,88565,88565,,,42023,0.4
"Decatur, IL Metro Area",22131,22131,78684,78684,78684,32869,57301,55664,5053,19916,1.77,809,14431,10377,202800,100815,100815,51947,51947,2762,2762,1756,1756,1756,13544,13544,75727,75727,19151,17246,38859,0.4
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",20220,20220,55333,55333,55333,29504,55907,40487,2036,10693,2.13,738,10930,8906,154300,75553,75553,37891,37891,7124,7124,4051,4051,4051,7094,7094,50775,50775,8847,18624,24970,0
"Detroit-Warren-Dearborn, MI Metro Area",32735,32735,121475,121475,121475,32324,60500,78732,10612,18311,2.19,981,30250,15083,262300,154210,154210,75242,75242,5488,5488,6839,6839,6839,21132,21132,117220,117220,7896,51677,57024,0
"Denver-Aurora-Lakewood, CO Metro Area",254741,254741,822629,822629,822629,32539,65739,577537,50802,109842,2.31,937,179576,107345,199400,1077370,1077370,535241,535241,49569,49569,36007,36007,36007,157561,157561,787105,787105,33155,320034,385927,0.1
"Des Moines-West Des Moines, IA Metro Area",16790,16790,70697,70697,70697,25958,47573,36844,9134,11867,2.61,1041,13654,9685,293100,87487,87487,42341,42341,2653,2653,6539,6539,6539,7007,7007,69395,69395,18182,8758,33399,0
"Dothan, AL Metro Area",18237,18237,63129,63129,63129,27116,51227,37486,6117,11172,2.38,763,12817,8827,190100,81366,81366,41114,41114,1067,1067,2649,2649,2649,9616,9616,62825,62825,3953,26151,31473,0.1
"Dover, DE Metro Area",84282,84282,240210,240210,240210,33863,78615,172328,13508,29410,2.74,1211,59827,22061,366800,324492,324492,164209,164209,21767,21767,12032,12032,12032,38415,38415,223529,223529,16117,85726,111513,0.1
"DuBois, PA Micro Area",74149,74149,248757,248757,248757,33291,65026,176097,12330,45996,2.12,788,54380,31723,190300,322906,322906,160476,160476,13372,13372,9153,9153,9153,43789,43789,240058,240058,20483,93831,118167,0.1
"Dubuque, IA Metro Area",13308,13308,55761,55761,55761,25574,44722,29990,2396,8531,2.39,630,,,134400,69069,69069,34191,34191,,,4856,4856,4856,5631,5631,54947,54947,,,26338,
"Duluth, MN-WI Metro Area",169051,169051,602800,602800,602800,28712,51770,378920,25324,115169,2.4,863,117571,68789,158600,771851,771851,369722,369722,51012,51012,47134,47134,47134,102235,102235,569768,569768,179211,97837,266773,0.6
"Dunn, NC Micro Area",38491,38491,142251,142251,142251,28878,53401,91634,7040,35266,2.39,829,23231,12429,155700,180742,180742,83151,83151,7432,7432,9074,9074,9074,21609,21609,136861,136861,57244,9236,62991,0.6
"Durham-Chapel Hill, NC Metro Area",204035,204035,716442,716442,716442,31996,58621,462563,27734,101747,2.39,867,145748,101985,186800,920477,920477,446932,446932,44018,44018,54167,54167,54167,124288,124288,684487,684487,206088,121998,325902,0.3
"East Stroudsburg, PA Metro Area",15665,15665,55146,55146,55146,24534,42148,32764,3574,10356,2.49,747,8348,9840,121700,70811,70811,33222,33222,,,3588,3588,3588,7532,7532,54569,54569,,,24989,0.2
"Eau Claire, WI Metro Area",12272,12272,57573,57573,57573,10505,16655,19392,4919,5462,2.51,379,,,92400,69845,69845,34832,34832,null,null,null,null,null,null,null,57264,57264,,,28334,null
"El Centro, CA Metro Area",96084,96084,321581,321581,321581,27495,50642,193745,12394,54848,2.61,907,57446,46787,152700,417665,417665,202220,202220,9063,9063,19982,19982,19982,41862,41862,316371,316371,131160,21761,151998,0.3
"Elmira, NY Metro Area",63350,63350,226195,226195,226195,30724,60095,145605,17405,33905,2.44,924,50383,26066,201200,289545,289545,145220,145220,11000,11000,18826,18826,18826,26645,26645,219012,219012,63488,17828,109219,0.6
"El Paso, TX Metro Area",32818,32818,101940,101940,101940,24217,47825,62059,6401,12945,2.81,841,18743,14838,179800,134758,134758,65475,65475,,,7935,7935,7935,13525,13525,100134,100134,,,47298,
"Enid, OK Metro Area",41343,41343,111597,111597,111597,22979,58453,57844,11093,20900,3.11,969,15752,8109,247600,152940,152940,83977,83977,26037,26037,14231,14231,14231,11434,11434,94140,94140,9483,32135,54487,0.1
"Erie, PA Metro Area",123799,123799,454142,454142,454142,36043,67069,305465,22444,76120,2.1,946,98001,60244,186600,577941,577941,284546,284546,26080,26080,24546,24546,24546,83786,83786,437027,437027,80767,84238,211551,0.3
"Eugene, OR Metro Area",26710,26710,108254,108254,108254,29119,60740,69877,4983,18198,2.68,967,16303,12597,222600,134964,134964,65586,65586,7079,7079,7166,7166,7166,14274,14274,101353,101353,33322,3214,48379,0.2
"Eureka-Arcata-Fortuna, CA Micro Area",240763,240763,964114,964114,964114,41991,77005,657814,75540,162702,2.11,1113,209552,104613,254100,1204877,1204877,589866,589866,117743,117743,45575,45575,45575,183495,183495,904628,904628,73687,193313,435005,3
"Evansville, IN-KY Metro Area",41995,41995,126474,126474,126474,25247,48359,77892,4432,22746,2.64,837,18121,18303,145300,168469,168469,78124,78124,,,7979,7979,7979,16064,16064,124871,124871,43477,10371,58261,0.2
"Fairbanks, AK Metro Area",20123,20123,56113,56113,56113,50564,99265,40159,1481,4452,3.46,1494,12755,6063,610900,76236,76236,38492,38492,5261,5261,1625,1625,1625,14423,14423,52788,52788,,,26823,0
"Elizabeth City, NC Micro Area",16166,16166,65127,65127,65127,36392,68095,42332,5853,8461,2.05,847,13233,10159,286600,81293,81293,40132,40132,,,1619,1619,1619,16040,16040,64289,64289,6401,18886,31405,0.2
"Elizabethtown-Fort Knox, KY Metro Area",22499,22499,66000,66000,66000,26689,60870,38518,4114,11210,2.65,827,,,192100,88499,88499,46251,46251,7245,7245,5661,5661,5661,6391,6391,60904,60904,17960,8336,31390,0
"Elkhart-Goshen, IN Metro Area",74617,74617,295094,295094,295094,27348,50631,183429,11017,37743,2.59,681,61591,46990,145700,369711,369711,181769,181769,19422,19422,28323,28323,28323,36040,36040,283382,283382,106660,19373,138092,0.1
"Fargo, ND-MN Metro Area",43384,43384,158129,158129,158129,32282,67075,96204,11485,21485,2.73,1215,29606,20102,381000,201513,201513,100034,100034,23466,23466,5346,5346,5346,28302,28302,144347,144347,13240,214,71193,0
"Faribault-Northfield, MN Micro Area",41459,41459,180736,180736,180736,41421,71252,97842,5170,19714,2.86,1166,35517,28863,304800,222195,222195,108363,108363,13389,13389,7984,7984,7984,35441,35441,172796,172796,66707,12518,84698,0
"Farmington, MO Micro Area",24137,24137,57207,57207,57207,23322,53060,28607,4403,13255,2.58,1023,11491,5227,135600,81344,81344,41148,41148,2748,2748,3036,3036,3036,5897,5897,55581,55581,,,26857,1.6
"Farmington, NM Metro Area",21140,21140,49930,49930,49930,27008,68457,30682,3209,8757,2.71,1006,7486,8235,147900,71070,71070,36824,36824,10735,10735,5372,5372,5372,3107,3107,40528,40528,,,21408,
"Fayetteville, NC Metro Area",28096,28096,89985,89985,89985,29656,66278,57677,3203,8657,2.44,869,21235,13775,189200,118081,118081,58833,58833,2553,2553,4564,4564,4564,14257,14257,88281,88281,2431,27500,43511,0
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",21813,21813,127844,127844,127844,29264,50751,49082,3680,10975,2.42,903,24749,28724,156400,149657,149657,72006,72006,7567,7567,11164,11164,11164,15281,15281,126179,126179,62642,243,60432,0.6
"Findlay, OH Micro Area",19539,19539,79847,79847,79847,27105,45265,44856,6881,12659,2.39,763,14715,14369,139100,99386,99386,47064,47064,2768,2768,4271,4271,4271,13383,13383,78004,78004,,,36200,0.1
"Flagstaff, AZ Metro Area",50451,50451,157624,157624,157624,27421,49874,96427,14004,21550,2.37,807,26489,28893,162600,208075,208075,101403,101403,3951,3951,17368,17368,17368,15266,15266,153532,153532,50242,25973,73572,
"Flint, MI Metro Area",1861784,1861784,5204356,5204356,5204356,35190,69193,3590862,160016,972546,2.61,1139,871281,592611,219100,7066140,7066140,3497639,3497639,1187205,1187205,332483,332483,332483,971507,971507,4354670,4354670,1314454,1057816,2120000,0.6
"Florence, SC Metro Area",74829,74829,281044,281044,281044,26452,48329,150901,20199,39459,2.26,757,47123,50105,128800,355873,355873,172984,172984,4359,4359,21602,21602,21602,31504,31504,279350,279350,66414,56059,134799,0.1
"Florence-Muscle Shoals, AL Metro Area",103123,103123,368701,368701,368701,35357,67157,235717,14172,58813,2.12,858,81861,47224,192700,471824,471824,230012,230012,17613,17613,19174,19174,19174,81139,81139,359568,359568,143623,36244,173047,0.4
"Fond du Lac, WI Metro Area",10730,10730,62241,62241,62241,20425,47170,30884,1821,9531,2.56,882,,,157300,72971,72971,43100,43100,3253,3253,3294,3294,3294,6120,6120,57055,57055,,,33779,
"Forest City, NC Micro Area",13405,13405,48593,48593,48593,28285,53584,29841,1980,6736,1.9,707,8151,10144,113200,61998,61998,31631,31631,,,2129,2129,2129,6423,6423,47618,47618,6579,15192,24076,0
"Fort Collins, CO Metro Area",46614,46614,104902,104902,104902,29280,63616,72205,4903,14252,2.49,798,24737,12163,212700,151516,151516,77073,77073,4185,4185,3949,3949,3949,20343,20343,101845,101845,18935,25941,51087,0.1
"Fort Payne, AL Micro Area",15069,15069,69004,69004,69004,27281,51914,38986,3875,8722,2.25,708,9899,12083,123200,84073,84073,42073,42073,,,3300,3300,3300,7954,7954,68530,68530,4586,15584,34259,0
"Fort Smith, AR-OK Metro Area",507552,507552,1568979,1568979,1568979,35391,62502,1088393,82037,276508,2.23,932,367279,149994,183800,2076531,2076531,1015030,1015030,96009,96009,90566,90566,90566,314963,314963,1496112,1496112,284144,465331,715708,0.1
