CITY,Total Population Under 18, Total Population Under 18, Total Population of 18+, Total Population of 18+, Total Population of 18+, Per Capita Income, Median Household Income, Total Civilian Labor Force, Employed Health Insurance Coverage Ages 19-64, Renter-Occupied Housing Units, Median Rent for Occupied Housing Units, Estimate of Owner-Occupied Housing Units Without a Mortgage, Median Housing Cost, Total Population Estimate, Total Male Population Estimate, Total Male Population Estimate, Estimate of Foreign-Born Population, Estimate of Foreign-Born Population, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, Estimate of Ages Above 25 Years With a High School Degree, % Workers Taking Taxi to Work, Estimate of Population >25 With a Graduate Degree, Estimate of Population >25 With a Graduate Degree, Estimate of Voting Age Population, Estimate of Voting Age Population, Estimate of Homes Using Electric Heat, Estimate of Homes Using Gas, Estimate of Male Citizen Voting Population, Estimate of Total Households With Computers and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Johnson City, TN Metro Area",84305,84305,378375,378375,378375,32422,57428,227518,10510,62696,2.17,975,76101,54654,248500,462680,462680,223090,223090,21464,21464,19843,19843,19843,76096,76096,362623,362623,120489,33124,171000,0.1
"Johnstown, PA Metro Area",21249,21249,75992,75992,75992,27416,44580,45209,6778,12561,2.33,698,16248,10681,128200,97241,97241,49564,49564,,,5526,5526,5526,6803,6803,75800,75800,8673,23217,38195,0.2
"Aberdeen, WA Micro Area",10077,10077,55250,55250,55250,23375,41851,31442,2786,7747,2.43,859,7412,7500,145400,65327,65327,32181,32181,838,838,1957,1957,1957,6432,6432,53344,53344,,,26029,0
"Abilene, TX Metro Area",16812,16812,65925,65925,65925,27904,51521,36650,1768,9659,2.49,804,7858,13090,119800,82737,82737,40222,40222,2085,2085,8288,8288,8288,6419,6419,63191,63191,,,29261,0.3
"Adrian, MI Micro Area",199685,199685,655199,655199,655199,31571,60746,422328,39703,92555,2.52,911,120410,92476,195500,854884,854884,418604,418604,19980,19980,50212,50212,50212,103377,103377,634606,634606,194332,104949,304641,0.1
"Aguadilla-Isabela, PR Metro Area",30154,30154,104005,104005,104005,28175,49055,66138,5886,14419,2.17,785,23552,15856,115700,134159,134159,65920,65920,3826,3826,6594,6594,6594,12104,12104,101368,101368,4387,40954,49010,0
"Akron, OH Metro Area",42625,42625,170081,170081,170081,29523,50962,107528,6947,39974,2.3,847,26636,16045,204300,212706,212706,103082,103082,11679,11679,9629,9629,9629,27480,27480,162220,162220,56329,20963,77024,0.6
"Alamogordo, NM Micro Area",1450990,1450990,4567754,4567754,4567754,37331,71742,3168994,138609,782172,2.49,1224,998255,408867,247200,6018744,6018744,2908328,2908328,606182,606182,244060,244060,244060,995590,995590,4165493,4165493,902188,1200013,1956349,2
"Albany, GA Metro Area",55495,55495,208175,208175,208175,36298,63389,136718,12416,34316,2.36,1116,41408,26251,214900,263670,263670,128571,128571,33339,33339,13849,13849,13849,35053,35053,191437,191437,13628,75998,92157,1.2
"Albany, OR Metro Area",14718,14718,61858,61858,61858,32099,58665,37992,5321,8456,2.09,745,11879,11154,132400,76576,76576,38865,38865,1454,1454,4662,4662,4662,8300,8300,61208,61208,3483,15269,31316,0.2
"Albany-Schenectady-Troy, NY Metro Area",34720,34720,129822,129822,129822,31454,53712,84960,4415,21086,2.04,765,28109,15253,183000,164542,164542,82405,82405,4323,4323,5054,5054,5054,21276,21276,124629,124629,,,60177,0.1
"Albertville, AL Micro Area",140807,140807,469841,469841,469841,28711,55143,281756,23361,66036,2.69,923,88026,57907,161800,610648,610648,296374,296374,19683,19683,30451,30451,30451,72878,72878,459540,459540,134113,66987,217493,0.5
"Albuquerque, NM Metro Area",22720,22720,99582,99582,99582,32418,55389,64961,4168,17012,1.84,786,23994,13474,169300,122302,122302,58709,58709,2904,2904,3919,3919,3919,14994,14994,98670,98670,3760,2441,46802,0
"Alexandria, LA Metro Area",504773,504773,1722310,1722310,1722310,41957,80954,1271096,54930,346604,2.36,1327,319339,152141,318400,2227083,2227083,1112929,1112929,236466,236466,67951,67951,67951,445551,445551,1523572,1523572,457698,324800,752653,0.3
