CITY,%Total population 65-74,%Total population 65-74,%Total population 65-74,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Percent of population Employed health insurance coverage ages 19-64,% of Owner Occupied Housing Units,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%foriegn born,%foriegn born,%homes heating with wood,%workers taking taxi to work,%workers taking taxi to work
NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",11.8,11.8,11.8,34.4,29.5,9.1,75.2,1.3,12,0.3,1589,0,8,0,2654,2654,5.6,0.2,0.2
"Altoona, PA Metro Area",18.9,18.9,18.9,41.3,58.1,20.8,82.2,19.3,0,0.3,684,258,6.6,0,20902,20902,0.6,1.6,1.6
"Amarillo, TX Metro Area",9.5,9.5,9.5,36.6,61.7,16.2,69.8,0,0,0.4,926,0,9.6,0,39468,39468,0.3,0.6,0.6
"Ames, IA Metro Area",10.8,10.8,10.8,38.3,38,14,76.3,1.1,39,0.3,1341,0,8,0.1,5478,5478,2.5,0,0
"Anchorage, AK Metro Area",12.7,12.7,12.7,43.5,34.8,19.2,74.7,0.7,0,0.4,1298,0,7.7,0,1133,1133,2.9,0.1,0.1
"Ann Arbor, MI Metro Area",9.5,9.5,9.5,42.8,13.1,6.1,67.1,0.2,0,0.5,298,34,10.3,0,34194,34194,0.2,0.2,0.2
"Anniston-Oxford-Jacksonville, AL Metro Area",11.4,11.4,11.4,36.1,51.7,11,71.5,2.5,0,0.4,849,0,7.3,0,2309,2309,2.3,0,0
"Appleton, WI Metro Area",13.9,13.9,13.9,51.8,74.3,16.9,72.8,2.3,228,0,1753,0,11.8,0.5,1031,1031,4,0,0
"Arecibo, PR Metro Area",11.2,11.2,11.2,36.1,41.6,11.9,65.3,0.4,0,1,2790,353,8,0,24138,24138,2.9,1.5,1.5
"Asheville, NC Metro Area",13.2,13.2,13.2,37,28.7,15.2,68.3,0.4,0,0.3,4809,601,7.6,0,10203,10203,5.7,0.6,0.6
