CITY,%Total population 65-74,%Total population 65-74,%Total population 65-74,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Percent of population Employed health insurance coverage ages 19-64,% of Owner Occupied Housing Units,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%foriegn born,%foriegn born,%homes heating with wood,%workers taking taxi to work,%workers taking taxi to work
NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Chattanooga, TN-GA Metro Area",12.8,12.8,12.8,38.9,40.6,14.6,72.7,5.4,141,0.8,4750,40,8.8,0.1,4129,4129,3.8,1.6,1.6
"Cheyenne, WY Metro Area",10.3,10.3,10.3,35.1,16,7,64.2,0.5,0,0.8,2372,527,6.9,0,73834,73834,0.9,1.6,1.6
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",12.1,12.1,12.1,39.9,53.4,12,81.8,24.4,598,0.4,2512,0,10.8,1,21496,21496,4.3,2.9,2.9
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",10.6,10.6,10.6,31.7,70.4,11.3,67.8,2.2,0,0.5,2284,15,8.7,0,5024,5024,3.2,1.5,1.5
"Burlington, NC Metro Area",7.9,7.9,7.9,45.7,66.9,32.2,58.7,,,,,,11.1,,56579,56579,,0.2,0.2
"Burlington-South Burlington, VT Metro Area",10,10,10,37.6,46.9,22.1,66.4,0.3,0,0.8,969,255,10.8,0,4936,4936,1.5,0.3,0.3
"California-Lexington Park, MD Metro Area",9.3,9.3,9.3,36.4,30.8,9.6,68.5,0.1,176,0.1,735,0,16.5,0.2,20138,20138,1,0.1,0.1
"Canton-Massillon, OH Metro Area",12.1,12.1,12.1,45.5,42.8,24.3,69.1,5.5,239,0.5,987,31,8.1,0.7,3213,3213,2.9,2.5,2.5
"Cape Coral-Fort Myers, FL Metro Area",7.7,7.7,7.7,37.7,14.9,10.5,62.7,0.1,0,0.4,256,1710,12.4,0,207310,207310,0.1,0.5,0.5
"Chico, CA Metro Area",10.3,10.3,10.3,38.9,41.5,12.7,65.8,,,,,,15.3,,3869,3869,,0,0
"Chillicothe, OH Micro Area",11.8,11.8,11.8,42,42.3,18.2,69.7,1.3,176,1.1,1789,0,9.9,0.2,11912,11912,1.6,0.8,0.8
"Cincinnati, OH-KY-IN Metro Area",12.6,12.6,12.6,38.9,55.7,17.1,60.1,0.5,0,0.8,6755,43,8.6,0,21753,21753,4.2,1.4,1.4
"Claremont-Lebanon, NH-VT Micro Area",12.9,12.9,12.9,40.6,58.8,26.2,55.6,0.5,0,1.2,9306,420,9.9,0,8872,8872,16.4,1,1
"Clarksburg, WV Micro Area",11.3,11.3,11.3,36.9,56.8,15.7,69.4,0.2,0,0.5,949,0,9,0,8216,8216,0.7,0.5,0.5
"Clarksville, TN-KY Metro Area",7.9,7.9,7.9,33,32,15.5,59.6,72.1,139,0.7,1184,34,13.9,0.4,5691,5691,3.2,1.3,1.3
"Clearlake, CA Micro Area",7.9,7.9,7.9,25.7,44.3,9.7,56.6,1.1,0,1.4,381,0,6.3,0,17880,17880,0.3,0.7,0.7
"Cleveland, TN Metro Area",10.1,10.1,10.1,38.2,52.6,14.2,73.2,,,,,,9.6,,6159,6159,,0.2,0.2
"Cleveland-Elyria, OH Metro Area",10.2,10.2,10.2,49.7,39.8,9.9,67.5,,,,,,12,,,,,0,0
"Coeur d'Alene, ID Metro Area",10.2,10.2,10.2,44.4,70.9,28.7,71.9,0,19,0.8,4698,0,9.2,0,3872,3872,11.3,0.3,0.3
"College Station-Bryan, TX Metro Area",8.2,8.2,8.2,37,32.5,20.9,61.8,0.4,151,0.7,430,85,10.9,0.1,36070,36070,0.2,0.2,0.2
"Colorado Springs, CO Metro Area",8,8,8,33.8,20.3,10.8,63.4,0.1,0,0.6,5596,371,7.8,0,69335,69335,2.6,0.4,0.4
"Columbia, MO Metro Area",10.9,10.9,10.9,33.1,40.6,8.7,68.4,1.5,85,0.6,1099,0,4.5,0.3,1736,1736,3.4,0,0
"Columbia, SC Metro Area",9.2,9.2,9.2,38.7,55.6,13.5,56.4,0,0,0.2,7988,151,11.6,0,7206,7206,14.8,1.8,1.8
"Columbus, GA-AL Metro Area",11.2,11.2,11.2,39.1,62.6,22.5,70.1,0.5,0,0.5,991,44,8.5,0,10201,10201,0.6,0.9,0.9
"Columbus, IN Metro Area",11.2,11.2,11.2,39.7,64.8,13.3,64.5,0.2,0,0.7,455,296,9.8,0,5180,5180,0.6,0.1,0.1
"Columbus, OH Metro Area",12.5,12.5,12.5,40.9,13.7,5.3,69.4,0.1,0,0.6,837,0,8.1,0,3921,3921,1.3,0,0
"Concord, NH Micro Area",11.8,11.8,11.8,36.3,44.5,9.4,67.7,2.8,36,0.9,442,0,7.9,0.1,4342,4342,1,0.2,0.2
"Cookeville, TN Micro Area",10.8,10.8,10.8,33.9,45.6,11.2,64,0.3,0,0.3,1746,475,6.1,0,18278,18278,1.1,0.6,0.6
"Coos Bay, OR Micro Area",10.6,10.6,10.6,42.1,38.8,11,72.7,,,,,,10,,5048,5048,,0,0
"Corning, NY Micro Area",10.3,10.3,10.3,43.5,55.3,17.5,66.4,0.3,0,0.5,3143,67,9.2,0,14658,14658,3.2,0.4,0.4
"Corpus Christi, TX Metro Area",9.7,9.7,9.7,33.8,41.2,12.9,70.7,0.4,961,0.5,907,0,8.1,0.6,33910,33910,0.5,0.6,0.6
"Corvallis, OR Metro Area",11.1,11.1,11.1,39.2,73.1,18.5,71.2,,,,,,9.5,,1386,1386,,0.3,0.3
"Crestview-Fort Walton Beach-Destin, FL Metro Area",7.6,7.6,7.6,37,60.5,25.4,55,0.1,0,0.6,3524,12113,11.2,0,201036,201036,1.1,0.6,0.6
"Cullman, AL Micro Area",12.3,12.3,12.3,43.6,35,8.1,73.3,,,,,,11.9,,2494,2494,,0,0
"Cumberland, MD-WV Metro Area",10.2,10.2,10.2,43,32.7,7.9,58.9,0,0,0.7,1238,568,7.1,0,34053,34053,0.9,3.4,3.4
"Dallas-Fort Worth-Arlington, TX Metro Area",9.5,9.5,9.5,37.9,12.6,5.5,69.9,0.4,0,0.6,274,0,12,0,36193,36193,0.4,0.3,0.3
"Dalton, GA Metro Area",8.3,8.3,8.3,48.4,80.4,41.5,73.7,0,29,1.2,9008,15,8.3,0.1,2013,2013,42.3,1.2,1.2
"Danville, IL Metro Area",12.7,12.7,12.7,40.1,51.7,10,76.4,15.5,227,1.4,2393,43,6.4,0.6,4367,4367,5.9,0.2,0.2
"Danville, VA Micro Area",13.7,13.7,13.7,42.9,60,16.9,74.7,29.8,65,0.3,4146,235,9.2,0.1,2609,2609,7.5,0.1,0.1
"Daphne-Fairhope-Foley, AL Metro Area",10,10,10,27.9,48.5,12.5,68.5,0.1,0,0.3,939,508,15.8,0,10855,10855,2.8,2.9,2.9
"Davenport-Moline-Rock Island, IA-IL Metro Area",10.3,10.3,10.3,39.3,35.7,15.3,60.9,0.6,0,0.5,46,0,11.7,0,10666,10666,0.1,0.3,0.3
"Dayton, OH Metro Area",15.7,15.7,15.7,46.3,10.8,9.6,80.8,,,,,,14.5,,3952,3952,,0,0
"Decatur, AL Metro Area",8.9,8.9,8.9,30.2,36.8,12.4,62.4,1.8,0,2.4,419,8,7.7,0,4375,4375,1,0.6,0.6
"Decatur, IL Metro Area",9.8,9.8,9.8,29.7,36.9,10.9,66.8,0.1,35,0.5,286,0,8.1,0.1,8896,8896,0.9,0.8,0.8
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",12.7,12.7,12.7,37.5,38.3,19.3,75.3,0,0,0.2,1716,485,8.5,0,6482,6482,2.6,0.8,0.8
"Detroit-Warren-Dearborn, MI Metro Area",9.5,9.5,9.5,33.1,40.9,9.9,72.3,0.7,45,0.4,6679,150,8.4,0,75297,75297,1.6,0.9,0.9
"Denver-Aurora-Lakewood, CO Metro Area",15.8,15.8,15.8,50,48.2,28.5,70.7,,,,,,10.8,,2900,2900,,0.5,0.5
"Des Moines-West Des Moines, IA Metro Area",11,11,11,37.6,43.5,17.2,69.3,0.5,96,0.2,872,19,10,0.3,1039,1039,2.5,0.7,0.7
"Dothan, AL Metro Area",8.1,8.1,8.1,30.2,20.1,13,76.9,0,0,0.5,662,537,10.4,0,33377,33377,0.5,0.5,0.5
"Dover, DE Metro Area",10.7,10.7,10.7,34.7,61.2,9.8,68.8,1,20,0.7,2522,0,9.2,0,14081,14081,1.8,0.3,0.3
"DuBois, PA Micro Area",12.8,12.8,12.8,50.4,22.5,11.7,75.5,,,,,,11.5,,1164,1164,,0.3,0.3
"Dubuque, IA Metro Area",10.2,10.2,10.2,37.8,29.4,10.4,64.1,1.5,138,0.6,4508,327,9,0,70120,70120,1.4,0.2,0.2
"Duluth, MN-WI Metro Area",9,9,9,36.6,33.2,6.5,52.8,,,,,,7.5,,11339,11339,,0.3,0.3
"Dunn, NC Micro Area",10.5,10.5,10.5,38.1,22.1,8.3,71.4,0.8,0,0.6,2171,728,8.1,0,57945,57945,0.6,0.3,0.3
"Durham-Chapel Hill, NC Metro Area",11.5,11.5,11.5,45.4,43.8,11.2,69.6,,,,,,7.1,,1386,1386,,0,0
"East Stroudsburg, PA Metro Area",10.9,10.9,10.9,61,93,44.9,69,,,,,,8.7,,null,null,,0.6,0.6
"Eau Claire, WI Metro Area",11,11,11,41.6,25.5,9.9,66.8,0.1,0,0.9,566,0,8.6,0,11576,11576,0.3,0.2,0.2
"El Centro, CA Metro Area",10.6,10.6,10.6,38.8,40.4,15.1,72,11.3,102,0.8,5252,247,10.6,0.1,16089,16089,4.5,1.2,1.2
"Elmira, NY Metro Area",9.6,9.6,9.6,39.9,55.4,24,72.6,,,,,,10.7,,3052,3052,,0.7,0.7
"El Paso, TX Metro Area",6.2,6.2,6.2,43.7,65.7,26.6,57.2,0,0,0.4,72,368,13.9,0,25969,25969,0.2,0.6,0.6
"Enid, OK Metro Area",10.9,10.9,10.9,36.4,45.3,10,67.2,15.6,1855,0.5,6045,496,6.3,0.7,50504,50504,2.4,0.7,0.7
"Erie, PA Metro Area",9.3,9.3,9.3,36.9,30.7,13.2,60.4,8.9,187,0.7,2430,190,10.9,0.4,17156,17156,4.8,1.1,1.1
"Eugene, OR Metro Area",10.4,10.4,10.4,33.2,48,13.2,66.5,34,370,0.8,7280,903,7.7,0.1,177273,177273,1.5,2.4,2.4
"Eureka-Arcata-Fortuna, CA Micro Area",9.5,9.5,9.5,38.9,27.1,9.7,66.2,,,,,,7.8,,2744,2744,,0.4,0.4
"Evansville, IN-KY Metro Area",10.6,10.6,10.6,30.5,8.2,2.5,81.6,,,,,,8,,7249,7249,,0.4,0.4
"Fairbanks, AK Metro Area",13.3,13.3,13.3,36.9,65.9,13.6,69.4,0.4,0,0.2,1689,59,11.1,0,1744,1744,4.8,0,0
"Elizabeth City, NC Micro Area",10.5,10.5,10.5,39.7,45.9,11.8,66.3,0.6,0,0.5,1605,5,12.3,0,10740,10740,4.7,0.1,0.1
"Elizabethtown-Fort Knox, KY Metro Area",11.8,11.8,11.8,39.1,28.2,9.6,74.8,4.6,0,0.7,3439,201,9.2,0,19058,19058,2.3,0,0
"Elkhart-Goshen, IN Metro Area",14.4,14.4,14.4,44.3,62,17.5,73.8,0.1,10,66.3,750,3374,16.7,0,25280,25280,1,0.8,0.8
"Fargo, ND-MN Metro Area",15.8,15.8,15.8,44.7,12,9.5,75.2,,,,,,8.6,,17242,17242,,0.1,0.1
"Faribault-Northfield, MN Micro Area",6.2,6.2,6.2,31.9,36.8,15.3,53.2,,,,,,8.6,,6221,6221,,0,0
"Farmington, MO Micro Area",7,7,7,39.9,56.8,20.1,72.8,,,,,,19.4,,14238,14238,,0.5,0.5
"Farmington, NM Metro Area",11.7,11.7,11.7,37.2,35.6,8,86.2,3,0,0.5,1778,0,7.7,0,2340,2340,3.9,0.2,0.2
"Fayetteville, NC Metro Area",19.9,19.9,19.9,59.7,24.2,17.8,86.9,0.2,0,1.1,99,447,8.6,0,7121,7121,0.1,0.2,0.2
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",14.5,14.5,14.5,44.4,59.8,16,71.5,,,,,,10,,3706,3706,,0.2,0.2
"Findlay, OH Micro Area",10.2,10.2,10.2,43.8,53.1,18.4,80.5,,,,,,8.4,,4756,4756,,0.2,0.2
"Flagstaff, AZ Metro Area",7.8,7.8,7.8,33.4,17.6,6.3,60.5,0.1,1317,0.9,2711,2371,10.6,0,1757731,1757731,0.1,1.4,1.4
"Flint, MI Metro Area",11.6,11.6,11.6,45.5,59.1,19.3,74.3,0.1,0,0.3,3491,100,7.5,0,2087,2087,2.4,0.4,0.4
"Florence, SC Metro Area",9.3,9.3,9.3,35.5,24.2,7.6,70.5,0,0,0.4,439,0,7,0,26170,26170,0.2,0.2,0.2
"Florence-Muscle Shoals, AL Metro Area",10.2,10.2,10.2,50,12.7,5.5,54.5,,,,,,6.5,,7135,7135,,0.4,0.4
"Fond du Lac, WI Metro Area",8.2,8.2,8.2,36.3,39.3,15.1,74.5,0.7,0,0.5,1493,193,10.8,0,6771,6771,2.7,2.1,2.1
"Forest City, NC Micro Area",12.1,12.1,12.1,43,58.1,16.6,72.8,15.6,604,1.6,1027,38,7.1,1.9,1861,1861,3.2,0,0
"Fort Collins, CO Metro Area",9,9,9,32,40.9,12.1,67.5,0.4,215,0.4,3494,125,9,0,189234,189234,0.4,0.6,0.6
"Fort Payne, AL Micro Area",8.3,8.3,8.3,31,24.1,10,62.8,0.3,24,0.7,623,166,9.8,0,16662,16662,0.9,3.8,3.8
"Fort Smith, AR-OK Metro Area",9.6,9.6,9.6,46,34.3,12.6,56.3,7.4,697,0.5,1162,57,13.2,1.7,15929,15929,2.8,5.2,5.2
"Frankfort, KY Micro Area",11.5,11.5,11.5,43,58.5,15.3,73.4,0.9,0,0.4,1373,0,7.3,0,3303,3303,2.2,0.1,0.1
"Fresno, CA Metro Area",10.2,10.2,10.2,39.9,24.7,7.1,67.6,0.1,0,0.3,1080,0,11.3,0,14872,14872,0.5,0.3,0.3
"Gadsden, AL Metro Area",10.9,10.9,10.9,38.3,46.9,12.8,66,0.1,0,0.6,563,40,10.8,0,5384,5384,0.8,0.3,0.3
"Gainesville, FL Metro Area",10.3,10.3,10.3,35.6,27.5,9.4,67.2,0.2,0,1.3,271,1634,8.2,0,171731,171731,0,0.5,0.5
"Gainesville, GA Metro Area",6.7,6.7,6.7,29.5,45.3,24.1,64.1,0.8,0,0.8,337,199,13,0,8920,8920,0.4,0,0
"Gallup, NM Micro Area",12.9,12.9,12.9,43.1,66.8,25.2,69.6,2.6,135,0.1,1628,35,12.2,0.2,3454,3454,3,1,1
"Gettysburg, PA Metro Area",10.4,10.4,10.4,34.6,47.7,10.7,70.2,0.8,0,0.9,734,0,7.7,0,8114,8114,1.1,0.7,0.7
"Fort Wayne, IN Metro Area",8.7,8.7,8.7,34.1,0,7.6,83.5,,,,,,8.1,,6732,6732,,0.1,0.1
"Glens Falls, NY Metro Area",10.9,10.9,10.9,38,13.4,6.3,70.8,0.2,0,0.5,2775,22,8.3,0,2902,2902,4.8,0.4,0.4
"Glenwood Springs, CO Micro Area",11.8,11.8,11.8,39.9,29.3,9.6,68.7,1.6,255,0.7,1951,216,8.8,0.3,6717,6717,2.2,0.1,0.1
"Goldsboro, NC Metro Area",14.3,14.3,14.3,47.2,45.6,15.7,75.2,31.1,2589,0.4,1438,0,6.4,4.7,1719,1719,2.6,0.7,0.7
"Grand Forks, ND-MN Metro Area",8.5,8.5,8.5,36,77.4,15.1,62.6,,,,,,7.8,,4176,4176,,0,0
"Grand Island, NE Metro Area",10,10,10,36.7,15,11.5,66.6,0,0,0.4,2619,118,9.6,0,5937,5937,3.7,0.1,0.1
"Grand Junction, CO Metro Area",13.1,13.1,13.1,35.5,48.4,11.5,64.5,0.1,0,47.7,182,3380,13.1,0,22760,22760,0.3,0.6,0.6
"Grand Rapids-Wyoming, MI Metro Area",9.6,9.6,9.6,33.3,31.2,11,63.6,0.6,0,0.4,1208,0,6.2,0,14312,14312,1.1,0.9,0.9
"Grants Pass, OR Metro Area",13.2,13.2,13.2,36.8,45,13.9,70.8,0.2,0,0.2,3759,0,6.3,0,2882,2882,8.2,0.1,0.1
"Great Falls, MT Metro Area",10.4,10.4,10.4,38,30.9,14.2,70.1,,,,,,6,,4998,4998,,0.3,0.3
"Greeley, CO Metro Area",9.6,9.6,9.6,32.5,22.9,6,65.3,0,215,0.4,5018,1410,6.4,0,149448,149448,0.6,0.5,0.5
"Green Bay, WI Metro Area",12.9,12.9,12.9,39.4,59.2,18.1,64.4,,,,,,12.3,,10998,10998,,1.1,1.1
"Greeneville, TN Micro Area",13.2,13.2,13.2,38.6,37.1,10.5,71.9,59.4,0,0,3535,126,6.4,0,3063,3063,11.1,0,0
"Greenfield Town, MA Micro Area",8.7,8.7,8.7,35.4,44.5,12.6,70.3,0.2,0,0.2,1332,253,13.7,0,46266,46266,1.2,1.1,1.1
"Greensboro-High Point, NC Metro Area",14.2,14.2,14.2,38.1,17.7,9.8,63.5,,,,,,6.6,,18507,18507,,0.5,0.5
"Greenville, NC Metro Area",7.4,7.4,7.4,35.8,33.5,14.6,56.2,0.5,0,0.7,556,1462,9.3,0,43078,43078,0.3,0.1,0.1
"Greenville-Anderson-Mauldin, SC Metro Area",12.9,12.9,12.9,46.4,23.2,13.1,74.8,0.8,33,0.9,3984,51,4.9,0,4418,4418,3,0.1,0.1
"Greenwood, SC Micro Area",12.8,12.8,12.8,42.4,41.2,16.4,67.6,42.4,166,0.1,2665,90,4.9,0.2,16510,16510,3.5,2.7,2.7
"Gulfport-Biloxi-Pascagoula, MS Metro Area",13.4,13.4,13.4,50.5,76.3,27,71.8,6.2,0,1.1,2448,120,8.1,0,3131,3131,8.5,0.2,0.2
"Hagerstown-Martinsburg, MD-WV Metro Area",11,11,11,39.7,19.9,8.6,70,0.3,0,0.5,4282,0,7.1,0,42114,42114,1.2,0.2,0.2
"Hammond, LA Metro Area",11.6,11.6,11.6,44.7,33,14.7,74.3,,,,,,11.4,,1849,1849,,0.4,0.4
"Hanford-Corcoran, CA Metro Area",11.2,11.2,11.2,32.6,57.9,8,63.9,2.8,414,0.8,1186,37,7.5,0.7,4319,4319,2,0.6,0.6
"Harrisburg-Carlisle, PA Metro Area",9.9,9.9,9.9,40.3,62.1,19.3,67.1,0,43,0.5,392,0,6.6,0,14274,14274,0.2,0.3,0.3
"Harrisonburg, VA Metro Area",8.3,8.3,8.3,39.6,45.7,8.9,58.9,0,0,0.5,1054,0,7.5,0,23890,23890,1.2,2.3,2.3
"Hartford-West Hartford-East Hartford, CT Metro Area",10.8,10.8,10.8,41.9,27.3,11,66.5,0.1,0,0,681,102,8.6,0,3752,3752,1.7,0.2,0.2
"Hattiesburg, MS Metro Area",10,10,10,41,55,20.7,70,,,,,,10.3,,7080,7080,,0,0
"Helena, MT Micro Area",11.3,11.3,11.3,47.4,56.3,20.3,70,0.5,0,2,217,0,14,0,2777,2777,0.8,0,0
"Hermiston-Pendleton, OR Micro Area",18.2,18.2,18.2,55.4,55.9,22.5,75.8,0.3,0,0.6,2021,860,12.3,0,11847,11847,2,0.3,0.3
"Hickory-Lenoir-Morganton, NC Metro Area",10.8,10.8,10.8,42.1,24.5,10.7,70.9,0,98,1.5,194,1919,7.3,0,98303,98303,0.1,0.3,0.3
"Hilo, HI Micro Area",10.7,10.7,10.7,34.2,34.4,9.3,69.7,16.7,4606,0.9,4872,326,9.6,2.2,25761,25761,2.3,0.8,0.8
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",10.4,10.4,10.4,35.3,39.4,13.6,69.1,2,61,0.7,4884,0,7.8,0,32854,32854,2.2,1.3,1.3
"Hinesville, GA Metro Area",6,6,6,38.3,13.8,6.9,63.7,,,,,,12.1,,67353,67353,,0.5,0.5
"Guayama, PR Metro Area",9.7,9.7,9.7,41.9,62.5,31.7,66.5,0,0,1.3,648,291,9.5,0,32763,32763,0.8,0.3,0.3
"Iowa City, IA Metro Area",9.4,9.4,9.4,35.9,36.9,14.1,57.8,0.1,294,0.8,1344,11825,10.5,0,505438,505438,0.2,2.3,2.3
"Hobbs, NM Micro Area",11.7,11.7,11.7,41.2,29.9,5.1,76.6,0,0,1.6,263,0,11.1,0,1726,1726,0.8,1,1
"Holland, MI Micro Area",8.8,8.8,8.8,28.2,16.6,5.1,52.3,0,0,0,684,0,9.6,0,5951,5951,1.4,3.2,3.2
"Homosassa Springs, FL Metro Area",8.5,8.5,8.5,38.2,43.6,18.6,57,0.2,0,0.8,48,0,8.6,0,5146,5146,0.1,0.2,0.2
"Hot Springs, AR Metro Area",14.6,14.6,14.6,39.2,26.4,12.8,73.8,42.3,159,0.2,14348,243,11.4,0.2,8672,8672,15.5,0.4,0.4
"Houma-Thibodaux, LA Metro Area",10.9,10.9,10.9,37.6,43.7,11.1,72.6,25.7,302,0.4,1077,125,9.7,0.5,7447,7447,1.9,0.2,0.2
"Meadville, PA Micro Area",13.8,13.8,13.8,41.1,60.5,13.8,69.3,2,0,0.3,696,0,7.5,0,1945,1945,2.5,0.2,0.2
"Merced, CA Metro Area",11,11,11,33.1,38.6,13.6,68.8,64.8,90,0.6,2800,116,9.3,0.2,5168,5168,6.1,0.6,0.6
"Medford, OR Metro Area",9.5,9.5,9.5,33.1,40.6,15,59.6,0.5,0,0.4,972,89,9.3,0,39376,39376,0.4,0.6,0.6
"Memphis, TN-MS-AR Metro Area",11.3,11.3,11.3,36.6,73.3,14.3,68.3,0.9,0,0.8,842,0,11.7,0,2206,2206,2.1,1,1
"Meridian, MS Micro Area",9.5,9.5,9.5,31.4,26.3,8.5,59.5,0.1,0,0.1,413,0,6.8,0,24798,24798,0.3,0.3,0.3
"Marion, OH Micro Area",9.8,9.8,9.8,39.5,36.2,12.5,62.9,0.1,0,0.4,2278,575,6.8,0,28722,28722,0.7,0.4,0.4
"Marquette, MI Micro Area",6,6,6,29.9,9.8,6.7,65.7,0.9,0,0.1,299,248,9.5,0,7491,7491,0.6,2.9,2.9
"Marshall, TX Micro Area",10.2,10.2,10.2,51,74.7,25.8,69.7,0.8,0,0.3,1101,85,17.7,0,1164,1164,1.9,0.2,0.2
"Martinsville, VA Micro Area",10,10,10,41.4,20.4,8.3,69.8,0,0,0.5,664,69,9.3,0,20834,20834,0.6,0,0
"Mayag\u00FCez, PR Metro Area",11.8,11.8,11.8,43.8,40.6,16.2,71.3,0.6,63,0.7,2619,0,8,0.1,4503,4503,5.9,0.4,0.4
"McAllen-Edinburg-Mission, TX Metro Area",8.9,8.9,8.9,34.8,45.2,18.2,47.9,0.1,936,5,8085,25539,9.7,0,4173948,4173948,0.2,3.1,3.1
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",10.6,10.6,10.6,34,51.1,13.3,69.2,0.3,73,0.5,5068,345,8.8,0,79465,79465,0.9,0.7,0.7
"Michigan City-La Porte, IN Metro Area",8.1,8.1,8.1,33.5,27.9,7.3,54.4,0,0,0.3,4,407,11.3,0,21701,21701,0,0.2,0.2
"Midland, MI Metro Area",9.8,9.8,9.8,39.4,26.7,8.1,63.3,,,,,,9.6,,7608,7608,,0,0
"Midland, TX Metro Area",10,10,10,49.3,46.3,12.9,65.9,,,,,,9.7,,4331,4331,,0.4,0.4
"Milwaukee-Waukesha-West Allis, WI Metro Area",11.3,11.3,11.3,42.2,42.8,13.7,70.8,4.9,0,0.9,2848,102,6.9,0,6676,6676,2.8,0.6,0.6
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",10.1,10.1,10.1,42.9,26.3,7.4,62.5,,,,,,10.8,,6504,6504,,0.8,0.8
"Minot, ND Micro Area",9.8,9.8,9.8,44.3,55.3,28,69,0.6,0,0.9,2753,1112,10.6,0,35788,35788,6,0,0
"Missoula, MT Metro Area",9.7,9.7,9.7,31,35.1,7.6,60.9,0.7,279,0.8,3338,519,6.9,0.1,48480,48480,1.1,2.4,2.4
"Mobile, AL Metro Area",10.3,10.3,10.3,29.3,23,9.5,68.4,30.3,135,0.7,6312,66,8.2,0.1,43391,43391,3.8,0.3,0.3
"Modesto, CA Metro Area",6.7,6.7,6.7,31.5,18.6,10.6,50.2,0.1,0,0.3,326,95,10.4,0,6984,6984,0.6,0.4,0.4
"Monroe, LA Metro Area",13.3,13.3,13.3,37.8,43.4,11.3,75.3,1.7,0,0.3,1023,7,9.2,0,3225,3225,2.9,0.4,0.4
"Monroe, MI Metro Area",9,9,9,29.9,37,13.6,63,1.2,0,0.6,301,0,10.1,0,4815,4815,0.7,0.3,0.3
"Montgomery, AL Metro Area",11.5,11.5,11.5,45.2,53.4,16.2,69.3,3.2,0,0.2,1692,0,8.6,0,1392,1392,3.4,0.1,0.1
"Morehead City, NC Micro Area",15.7,15.7,15.7,45.3,65.2,13,82,2,21,0.1,3200,32,9.1,0.1,752,752,10.4,0.1,0.1
"Morgantown, WV Metro Area",11.2,11.2,11.2,40.6,74.6,19.1,77.2,,,,,,8.8,,2738,2738,,0,0
"Morristown, TN Metro Area",11.5,11.5,11.5,46.4,62.8,21.1,66.6,0.3,85,0.5,337,0,11.8,0.3,1053,1053,1.4,0.8,0.8
"Moses Lake, WA Micro Area",12.5,12.5,12.5,39.3,38.9,18,68.2,1.1,0,2.6,1136,0,7.1,0,1078,1078,4,0.1,0.1
"Mount Airy, NC Micro Area",13,13,13,59.5,75.5,44.2,55.6,,,,,,5,,null,null,,0.4,0.4
"Mount Pleasant, MI Micro Area",6.5,6.5,6.5,40,14,7.1,67.3,0,0,0.6,0,1374,10,0,233796,233796,0,0.2,0.2
"Mount Vernon-Anacortes, WA Metro Area",13,13,13,42.9,56,18.3,73,9.9,361,0.7,3010,0,11,1,968,968,8.6,0.5,0.5
"Muncie, IN Metro Area",13.2,13.2,13.2,41.5,59.1,24.7,64.3,0.8,0,0.3,5734,549,9.9,0,11126,11126,6.2,0.2,0.2
"Muskegon, MI Metro Area",9.5,9.5,9.5,36,37.1,9.9,60.8,0.2,89,0.6,1646,210,9.6,0,77635,77635,0.3,0.3,0.3
"Muskogee, OK Micro Area",7.1,7.1,7.1,39.3,49.1,23.9,58.5,0.1,0,0.7,1038,1940,12.3,0,70594,70594,1.2,0.2,0.2
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",12.5,12.5,12.5,45.8,30.7,11.1,69.9,0,0,1,570,0,11,0,1971,1971,1.4,0.7,0.7
"Nacogdoches, TX Micro Area",10.2,10.2,10.2,36.4,20.8,7.8,59.9,0.1,0,5,434,3795,9.3,0,2596975,2596975,0,2.4,2.4
"Napa, CA Metro Area",11.5,11.5,11.5,42.8,51.9,17.7,72.2,,,,,,5.9,,3733,3733,,0.7,0.7
"Naples-Immokalee-Marco Island, FL Metro Area",11.7,11.7,11.7,40.3,66.1,13.8,79.5,0.7,0,0.2,1448,0,7.3,0,3290,3290,4.1,0.1,0.1
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",6.4,6.4,6.4,28.1,3.7,6.6,63.3,,,,,,10.3,,22550,22550,,0.1,0.1
"New Bern, NC Metro Area",10.3,10.3,10.3,34.1,56.6,10.9,60.1,0.8,0,0.7,2228,591,7.5,0,119052,119052,0.3,1.8,1.8
