CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economical,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Albuquerque, NM Metro Area",10.2,10.2,10.2,39.7,51.4,17.6,64.5,0.1,0,0.3,11943,1105,12.1,0,54.5,54.5,3.3,1.4,1.4
"Alexandria, LA Metro Area",9.5,9.5,9.5,45.1,57.4,17.3,63.1,,,,,,7.3,,49.1,49.1,,1.2,1.2
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10.1,10.1,10.1,36.3,36.3,10.3,69.2,26.7,3600,0.3,4817,188,8.8,1.1,42.1,42.1,1.5,1.7,1.7
"Altoona, PA Metro Area",11.6,11.6,11.6,39.5,82.8,17.7,72.1,20.1,535,0.9,1601,0,6.2,1,24.7,24.7,3.1,2.4,2.4
"Amarillo, TX Metro Area",7.8,7.8,7.8,34.6,1.8,5.3,63.9,,,,,,7.3,,69.3,69.3,,0.2,0.2
"Ames, IA Metro Area",6.7,6.7,6.7,34.2,18.4,7.2,55.2,,,,,,8,,79.7,79.7,,7.7,7.7
"Anchorage, AK Metro Area",7.7,7.7,7.7,32.7,45.2,15.4,67.5,5.2,85,0.5,2757,0,11,0.1,33.2,33.2,2,1.3,1.3
"Ann Arbor, MI Metro Area",8.5,8.5,8.5,35.7,35.5,8.5,61,0.7,42,0.3,774,38,7.6,0,52.6,52.6,0.5,5.5,5.5
"Anniston-Oxford-Jacksonville, AL Metro Area",10.7,10.7,10.7,42.1,44.7,7.8,70.1,,,,,,10.5,,35.7,35.7,,0.7,0.7
"Appleton, WI Metro Area",8.5,8.5,8.5,30.8,48.8,6.3,74,2.5,0,0.5,1694,0,6.4,0,36.1,36.1,1.8,0.4,0.4
"Arecibo, PR Metro Area",11.4,11.4,11.4,60.3,72.5,42.3,69,,,,,,2.1,,null,null,,0.2,0.2
"Asheville, NC Metro Area",12.9,12.9,12.9,39.4,10,6.1,68.2,9.9,70,0.3,7024,121,8.2,0,57.5,57.5,3.7,0.5,0.5
"Ashtabula, OH Micro Area",11.1,11.1,11.1,43.3,19.9,13.2,74.5,6.1,338,0.3,2501,0,6.9,1,15.5,15.5,7.1,0.3,0.3
"Athens, OH Micro Area",8,8,8,44.4,30.8,8.9,56.7,0.9,0,0.4,1015,0,8.1,0,65.5,65.5,4.5,2.1,2.1
"Athens, TX Micro Area",12.5,12.5,12.5,52.2,22.3,7.6,75.9,,,,,,10.4,,78.5,78.5,,0,0
"Athens-Clarke County, GA Metro Area",7.9,7.9,7.9,38.9,19,6,56.4,0.1,0,0.7,802,66,11.5,0,68.8,68.8,1,2.4,2.4
"Atlanta-Sandy Springs-Roswell, GA Metro Area",7.7,7.7,7.7,32.9,18.5,5.1,64,0.1,90,0.4,7638,176,8.9,0,52.5,52.5,0.4,3,3
"Auburn, NY Micro Area",10.7,10.7,10.7,44.2,47.3,12,70.2,14.4,431,0.4,2079,0,7.2,1.4,62.3,62.3,6.9,0.6,0.6
"Atlantic City-Hammonton, NJ Metro Area",10.3,10.3,10.3,35.1,52.5,12,68.9,7.8,0,0.4,1037,321,9.3,0,42.1,42.1,1.1,4.7,4.7
"Auburn-Opelika, AL Metro Area",8.1,8.1,8.1,40.5,36.1,7.9,61.5,,,,,,8.2,,65.2,65.2,,1.2,1.2
"Augusta-Richmond County, GA-SC Metro Area",9.8,9.8,9.8,39.7,24.5,11,67.4,0.4,55,0.2,1507,95,8.5,0,48.9,48.9,0.7,0.6,0.6
"Augusta-Waterville, ME Micro Area",12,12,12,37.7,23.7,11.4,71.6,69.9,0,0,5979,23,11.2,0,49.5,49.5,11,0,0
"Austin-Round Rock, TX Metro Area",7,7,7,29.3,9,4.7,58,0.1,136,0.3,1388,734,8.7,0,62.3,62.3,0.2,1.9,1.9
"Bakersfield, CA Metro Area",6.6,6.6,6.6,42.2,59.5,25.2,57.4,0.2,0,1,4261,2395,12.8,0,64.1,64.1,1.6,0.9,0.9
"Baltimore-Columbia-Towson, MD Metro Area",9.1,9.1,9.1,33.4,43.1,11,66.7,8.2,827,0.6,8110,2638,8,0.1,43.4,43.4,0.8,6,6
"Bangor, ME Metro Area",10.7,10.7,10.7,40.6,43.5,12.1,65.8,60.6,275,0.4,4447,125,8.7,0.4,48.5,48.5,7.2,0.2,0.2
"Barnstable Town, MA Metro Area",17.5,17.5,17.5,40.6,52.7,19.4,81.9,22.7,85,0.1,768,34,9.4,0.1,43.3,43.3,0.9,1.2,1.2
"Baton Rouge, LA Metro Area",8.8,8.8,8.8,37.4,47.3,12.1,68.8,0,0,0.3,1061,67,9.1,0,66.8,66.8,0.4,0.9,0.9
"Battle Creek, MI Metro Area",10.1,10.1,10.1,39.2,44.8,13,68.3,1.8,0,0.3,2036,0,9.5,0,52.6,52.6,3.8,1.5,1.5
