CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economical,Economic,Economic,Economic,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Cleveland-Elyria, OH Metro Area",10.5,10.5,10.5,36.4,51.7,12.1,64.4,0.9,1121,0.5,5791,235,7.9,0.1,38.9,38.9,0.7,2.7,2.7
"Coeur d'Alene, ID Metro Area",11.2,11.2,11.2,38.6,5.3,8.5,71.9,1.3,0,0.4,6218,108,9.4,0,35.6,35.6,9.6,0.1,0.1
"College Station-Bryan, TX Metro Area",6.4,6.4,6.4,41.9,13.1,5.4,49.7,0,0,0.5,579,0,10.9,0,65.2,65.2,0.6,0.9,0.9
"Colorado Springs, CO Metro Area",8.3,8.3,8.3,31.6,41.3,14.7,66.2,0.1,72,0.4,2339,434,9.7,0,47.6,47.6,0.9,0.6,0.6
"Columbia, MO Metro Area",7.3,7.3,7.3,32.6,7.9,5.3,54.2,0.1,0,0.5,714,0,12.4,0,71.2,71.2,1,1,1
"Columbia, SC Metro Area",9.2,9.2,9.2,36.4,32,8.7,67.1,0.6,0,0.3,2597,155,8.9,0,53.7,53.7,0.8,0.8,0.8
"Columbus, GA-AL Metro Area",8.4,8.4,8.4,41,27.3,13.5,55.7,,,,,,10.1,,40.4,40.4,,0.8,0.8
"Columbus, IN Metro Area",9.2,9.2,9.2,37.1,45.6,9.6,70.9,,,,,,11.9,,79.6,79.6,,0.2,0.2
"Columbus, OH Metro Area",8,8,8,33,41,10.6,61.9,0.9,197,0.2,7151,311,8.2,0,50.5,50.5,0.9,1.7,1.7
"Concord, NH Micro Area",11.2,11.2,11.2,32.9,31.9,8.6,75.7,37.9,37,0.5,4692,0,7.2,0.1,43.6,43.6,8,0.3,0.3
"Cookeville, TN Micro Area",10,10,10,40.8,5.3,13.1,65.2,0.5,0,0.7,1979,0,10,0,55.5,55.5,4.3,0,0
"Coos Bay, OR Micro Area",15.1,15.1,15.1,48.2,74.4,26.6,64.7,3.8,0,0.6,5951,86,10.1,0,40.4,40.4,21.3,0,0
"Corning, NY Micro Area",11.3,11.3,11.3,41.2,65.2,19.8,73.3,7.7,1546,0.1,4224,0,8.2,3.8,52.2,52.2,10.4,0,0
"Corpus Christi, TX Metro Area",9.1,9.1,9.1,38.7,17.5,7.8,61.7,,,,,,7.8,,65,65,,1.1,1.1
"Corvallis, OR Metro Area",9.9,9.9,9.9,39.5,42.7,10.8,58.8,0,0,0.3,2151,0,6.4,0,67.4,67.4,6.1,2.8,2.8
"Crestview-Fort Walton Beach-Destin, FL Metro Area",10.7,10.7,10.7,38.6,31.8,10.2,67.8,0,27,0.5,1001,0,8.5,0,33.4,33.4,0.9,0.7,0.7
"Cullman, AL Micro Area",10.9,10.9,10.9,43.8,17.4,5.6,75.1,0,53,0.8,174,0,9.2,0.2,86.1,86.1,0.6,0,0
"Cumberland, MD-WV Metro Area",11.6,11.6,11.6,44.8,55.3,22,72.1,10.8,675,0.4,2687,0,8.4,1.8,45,45,7.1,1.1,1.1
"Dallas-Fort Worth-Arlington, TX Metro Area",7,7,7,31.2,12.1,4.8,59.1,0.1,206,0.3,3408,2445,9.5,0,63.1,63.1,0.1,1.3,1.3
"Dalton, GA Metro Area",8.6,8.6,8.6,38.3,9.1,3.1,66,0.1,0,0.3,388,0,8.7,0,72.4,72.4,0.8,0,0
"Danville, IL Metro Area",10.8,10.8,10.8,45.5,63.8,12.8,68.4,0,0,0.8,262,0,8.6,0,49.3,49.3,0.9,0.5,0.5
"Danville, VA Micro Area",12.7,12.7,12.7,47.1,35.7,10.3,67.1,6.6,0,0.8,1296,0,7.5,0,73.5,73.5,3,2.1,2.1
"Daphne-Fairhope-Foley, AL Metro Area",12.5,12.5,12.5,40,37,4.3,75.5,0.1,0,0.5,219,0,6.1,0,48.5,48.5,0.3,0,0
"Davenport-Moline-Rock Island, IA-IL Metro Area",10.1,10.1,10.1,35.8,32.4,12.5,70.3,0.1,35,0.3,717,0,6.5,0,57.5,57.5,0.5,0.5,0.5
"Dayton, OH Metro Area",10.2,10.2,10.2,37.1,47.7,13.8,61.9,1.7,0,0.4,1573,0,8.3,0,44.6,44.6,0.5,2.3,2.3
"Decatur, AL Metro Area",10.2,10.2,10.2,42.7,20.6,5.1,71.5,0.2,0,0.5,567,0,7.2,0,81.8,81.8,1,0.3,0.3
"Decatur, IL Metro Area",11.2,11.2,11.2,38.6,47.1,13.2,67.2,0.1,24,0.4,183,0,8.1,0.1,37.7,37.7,0.4,0.6,0.6
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",14.3,14.3,14.3,47.6,29,7.7,72.3,0.3,0,0.3,222,77,7.4,0,34.1,34.1,0.1,0.6,0.6
"Detroit-Warren-Dearborn, MI Metro Area",9.6,9.6,9.6,37.4,50.8,12.9,69.1,0.3,189,0.4,8871,233,8.6,0,43.2,43.2,0.5,1.3,1.3
"Denver-Aurora-Lakewood, CO Metro Area",8.1,8.1,8.1,28.1,36.4,10.7,63.1,0.1,117,0.5,4829,3049,8.2,0,54.9,54.9,0.4,3.8,3.8
"Des Moines-West Des Moines, IA Metro Area",7.8,7.8,7.8,27.9,51.9,10,69.6,0.1,51,0.5,1116,5,7.7,0,59.7,59.7,0.4,1.2,1.2
"Dothan, AL Metro Area",11.2,11.2,11.2,44.8,17.7,7.4,69.5,0,9,0.4,133,145,7.4,0,53.1,53.1,0.2,0,0
"Dover, DE Metro Area",9.7,9.7,9.7,39.1,74,18,68,12.5,246,0.2,768,0,9.6,0.4,47.9,47.9,1.1,0.8,0.8
"DuBois, PA Micro Area",11.3,11.3,11.3,45.7,42.7,16.4,76.6,42.6,1797,0.8,1908,0,11.5,5.6,88.7,88.7,6,0.4,0.4
"Dubuque, IA Metro Area",9.8,9.8,9.8,34.4,58.3,12,72.4,2.3,0,0.8,529,65,6.9,0,46.5,46.5,1.4,0.5,0.5
"Duluth, MN-WI Metro Area",10.9,10.9,10.9,38.1,53.5,13.1,70.4,7,109,0.9,5297,0,7.9,0.1,47.2,47.2,4.5,2.1,2.1
"Dunn, NC Micro Area",7.6,7.6,7.6,42.3,20.3,10.4,65.1,1,0,0.8,63,0,7.7,0,67.7,67.7,0.1,0,0
"Durham-Chapel Hill, NC Metro Area",9.4,9.4,9.4,35,13.2,5.8,62,0.9,0,0.4,3021,303,8.6,0,59.7,59.7,1.3,3.4,3.4
"East Stroudsburg, PA Metro Area",10,10,10,39.8,34.3,14.6,77.5,22.5,591,0.1,2717,0,14.5,1.1,27.4,27.4,4.9,5.6,5.6
"Eau Claire, WI Metro Area",9.9,9.9,9.9,34.7,38.7,8.6,67.8,4.5,0,0.7,2982,0,7.3,0,31.1,31.1,4.5,0.8,0.8
"El Centro, CA Metro Area",7.3,7.3,7.3,47.8,71,28.1,65.8,,,,,,7.1,,44,44,,1.3,1.3
"Elmira, NY Metro Area",11.3,11.3,11.3,43,58.9,16.7,66.5,5.8,95,0.5,1397,57,6.7,0.3,54.7,54.7,4.1,1.8,1.8
"El Paso, TX Metro Area",6.9,6.9,6.9,37.7,15.2,6.8,61.1,0.2,61,0.2,614,1307,9.8,0,51.1,51.1,0.2,1.2,1.2
"Enid, OK Metro Area",8.9,8.9,8.9,35.8,16.9,8.2,63.9,0.2,0,1.3,13,0,12.2,0,62.6,62.6,0.1,0.1,0.1
"Erie, PA Metro Area",10.3,10.3,10.3,38.8,53,16.7,65.5,3.5,119,0.2,2794,44,10.7,0.1,57.9,57.9,2.5,2.3,2.3
"Eugene, OR Metro Area",11.9,11.9,11.9,40.5,43.1,17.9,59.3,0.6,0,0.7,8390,284,11.1,0,56.2,56.2,5.4,2.9,2.9
"Eureka-Arcata-Fortuna, CA Micro Area",11.2,11.2,11.2,36.9,57.6,26.6,53.4,1.5,0,1,8888,292,8.6,0,59.9,59.9,15.9,2.3,2.3
"Evansville, IN-KY Metro Area",9.9,9.9,9.9,37.4,25,8.7,67.9,,,,,,6.9,,49.5,49.5,,0.9,0.9
"Fairbanks, AK Metro Area",7.4,7.4,7.4,28.5,36,14.3,59.4,64.5,526,4.2,1876,0,14.5,1.4,42.4,42.4,5.2,1.4,1.4
"Elizabeth City, NC Micro Area",12.1,12.1,12.1,42,28.1,9.8,68.6,,,,,,10.5,,32.6,32.6,,0.4,0.4
"Elizabethtown-Fort Knox, KY Metro Area",8.7,8.7,8.7,40.2,60.6,21.4,66.1,1.5,0,0.8,924,0,11.7,0,46.4,46.4,1.6,0.5,0.5
"Elkhart-Goshen, IN Metro Area",8.2,8.2,8.2,32.2,42.6,9.8,70.9,0.3,0,0.4,1178,0,14.6,0,64.5,64.5,1.6,0.1,0.1
"Fargo, ND-MN Metro Area",6.9,6.9,6.9,25.9,40.6,8.1,57.6,1.7,0,1.1,346,5,7.9,0,55.3,55.3,0.3,0.7,0.7
"Faribault-Northfield, MN Micro Area",8.8,8.8,8.8,36.1,44.2,9.8,76.7,0.6,0,2.2,417,0,7,0,66.8,66.8,1.8,0.6,0.6
"Farmington, MO Micro Area",9.9,9.9,9.9,48.3,28.7,9.2,65.2,,,,,,10.2,,49.2,49.2,,0,0
"Farmington, NM Metro Area",9,9,9,47.3,73.3,23.4,71.6,0.1,319,0.2,6242,0,10.3,0.7,65.1,65.1,14.3,0.1,0.1
"Fayetteville, NC Metro Area",7,7,7,36.7,31.9,17.6,53.3,1.3,85,0.6,500,0,9.7,0.1,51.4,51.4,0.3,0.4,0.4
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",7.3,7.3,7.3,35.1,26.9,8,61.5,0.1,0,0.2,9550,226,11.7,0,66.9,66.9,4.7,0.4,0.4
"Findlay, OH Micro Area",9.5,9.5,9.5,31.1,33.6,14.8,69.9,0.5,0,0.2,685,0,8.4,0,36.7,36.7,2.2,1.8,1.8
"Flagstaff, AZ Metro Area",7.8,7.8,7.8,38.4,27.3,11.7,62.8,0.1,0,0.2,7859,77,14,0,59.9,59.9,16.6,2.3,2.3
"Flint, MI Metro Area",10.1,10.1,10.1,40.7,57.4,20,68.1,0.2,0,0.4,1746,0,9.1,0,29.3,29.3,1,2.4,2.4
"Florence, SC Metro Area",10.8,10.8,10.8,43.8,23.1,10.1,66.9,1.3,0,0.5,939,48,9.2,0,26.6,26.6,1.2,0.7,0.7
"Florence-Muscle Shoals, AL Metro Area",11.3,11.3,11.3,44.9,21.1,3.2,67.7,,,,,,6.1,,57,57,,0,0
"Fond du Lac, WI Metro Area",10.5,10.5,10.5,34.3,58.6,8.2,69.5,3.8,0,0.6,639,0,9,0,58.5,58.5,1.6,0.7,0.7
"Forest City, NC Micro Area",12.3,12.3,12.3,44.4,34.4,10.2,67.9,4.3,0,0,1072,0,10.7,0,48.8,48.8,4.1,0,0
"Fort Collins, CO Metro Area",9.8,9.8,9.8,32.6,34.6,9.5,63,0,45,0.4,1448,219,7.7,0,60,60,1,1.1,1.1
"Fort Payne, AL Micro Area",10.3,10.3,10.3,46.5,18.3,2.4,72.4,,,,,,,,89.9,89.9,,,
"Fort Smith, AR-OK Metro Area",10,10,10,43.4,25.2,13.9,66.8,0.3,0,0.2,4064,0,9.5,0,51.8,51.8,3.7,0.1,0.1
"Frankfort, KY Micro Area",10.2,10.2,10.2,37.7,61.5,7.6,65.6,0.4,0,0.2,601,0,8.1,0,70.3,70.3,2,0.3,0.3
"Fresno, CA Metro Area",7.1,7.1,7.1,39.1,61.3,25.9,51.2,0.3,0,1,4756,5879,12.4,0,57.2,57.2,1.5,1.1,1.1
"Gadsden, AL Metro Area",11.2,11.2,11.2,43.6,27.9,6.3,70.9,0.6,0,0,388,0,8.7,0,45.1,45.1,1,0,0
"Gainesville, FL Metro Area",8.5,8.5,8.5,39.5,11.9,5.3,61.6,0,41,0.7,685,8,10.9,0,50.2,50.2,0.7,2.7,2.7
"Gainesville, GA Metro Area",8.7,8.7,8.7,36.7,31.2,5.2,70,0.2,0,0.7,530,0,15.3,0,73.4,73.4,0.8,0.4,0.4
"Gallup, NM Micro Area",6.9,6.9,6.9,52.1,74,34.9,72.2,0,13,1.4,9133,0,12.6,0.1,70.2,70.2,42.6,1.4,1.4
"Gettysburg, PA Metro Area",11.5,11.5,11.5,37.8,26.8,7.4,74.9,18.2,382,0.4,2591,44,9.4,1,69.7,69.7,6.5,0.4,0.4
"Fort Wayne, IN Metro Area",9,9,9,33,34.1,10.1,72,0.4,248,0.5,1866,89,8.1,0.1,49.4,49.4,1.1,0.5,0.5
"Glens Falls, NY Metro Area",12.2,12.2,12.2,41.6,60.2,13.2,68.9,30.9,249,0.3,3476,62,9.1,0.5,30.1,30.1,6.7,0.9,0.9
"Glenwood Springs, CO Micro Area",10,10,10,25.1,44.4,8.3,68.1,0,68,0.6,1166,142,14,0.3,66.2,66.2,4.4,7.9,7.9
"Goldsboro, NC Metro Area",9.9,9.9,9.9,38,21.5,13.1,61.6,0.6,0,0.4,154,0,14.3,0,76.8,76.8,0.3,0.5,0.5
"Grand Forks, ND-MN Metro Area",8.2,8.2,8.2,30.7,34.3,9.3,55.3,2.9,47,1.1,541,32,10,0.1,66.3,66.3,1.3,1.6,1.6
"Grand Island, NE Metro Area",9.3,9.3,9.3,34.8,31.3,6.2,66.8,0.4,0,0.2,248,0,8.5,0,78.2,78.2,0.8,0.3,0.3
"Grand Junction, CO Metro Area",10.8,10.8,10.8,39.6,43.2,15.9,68.5,0,0,0.2,1168,449,6.9,0,52.6,52.6,1.9,0.4,0.4
"Grand Rapids-Wyoming, MI Metro Area",8.5,8.5,8.5,32,42.5,8.5,74,0.6,51,0.5,10202,228,9.1,0,52.8,52.8,2.6,1.4,1.4
"Grants Pass, OR Metro Area",15.2,15.2,15.2,51.7,60.5,24.8,71,3.8,0,0.6,6264,0,8.2,0,48.3,48.3,16.9,0,0
"Great Falls, MT Metro Area",10.3,10.3,10.3,37.9,57.5,15.2,59.6,1,0,0.7,654,0,8,0,31.9,31.9,1.8,0.7,0.7
"Greeley, CO Metro Area",7.7,7.7,7.7,30.4,42.9,13,73.8,0,54,0.4,1037,704,10.1,0.1,54.4,54.4,1,0.5,0.5
"Green Bay, WI Metro Area",9.3,9.3,9.3,33.1,31.4,7,69.7,1.4,0,0.4,3646,0,8.4,0,60.2,60.2,2.8,0.5,0.5
"Greeneville, TN Micro Area",12.4,12.4,12.4,46.2,58.9,8.1,76.8,1.2,0,0.6,869,0,,0,,,3.2,,
"Greenfield Town, MA Micro Area",13.6,13.6,13.6,35.4,65.5,18.6,71,47.2,142,0.3,3493,146,6.7,0.5,52.2,52.2,11.5,0.5,0.5
"Greensboro-High Point, NC Metro Area",9.5,9.5,9.5,38,23.9,7.9,62.1,2.4,0,0.5,4250,79,9.3,0,63.3,63.3,1.4,0.4,0.4
"Greenville, NC Metro Area",8,8,8,36,29.5,9.9,53.4,0.6,0,0.5,33,0,11.2,0,55.5,55.5,0,0.9,0.9
"Greenville-Anderson-Mauldin, SC Metro Area",9.9,9.9,9.9,37.5,24.4,7.4,68.7,1,0,0.3,2125,469,9,0,68.5,68.5,0.6,0.3,0.3
"Greenwood, SC Micro Area",10.1,10.1,10.1,41.2,17.3,6.7,65.1,0.7,0,0.5,403,0,10.7,0,53.5,53.5,1.1,0.7,0.7
"Gulfport-Biloxi-Pascagoula, MS Metro Area",9.5,9.5,9.5,39.8,15.1,9.4,61.7,0,0,0.6,784,180,8,0,54,54,0.5,0.2,0.2
"Hagerstown-Martinsburg, MD-WV Metro Area",9.8,9.8,9.8,38.1,36.4,14,68.3,15,0,0.6,4172,152,9.5,0,56,56,4.1,1.3,1.3
"Hammond, LA Metro Area",9,9,9,41.4,55.5,18.4,72.2,,,,,,12.9,,44.1,44.1,,0.5,0.5
"Hanford-Corcoran, CA Metro Area",5.8,5.8,5.8,46.8,80.9,21,53.9,0.1,0,1.2,225,406,15.1,0,61,61,0.5,0.5,0.5
"Harrisburg-Carlisle, PA Metro Area",10.2,10.2,10.2,34.2,44.1,10.7,66.2,19.9,3315,0.7,7846,306,7.4,1.4,42.2,42.2,3.4,1.3,1.3
"Harrisonburg, VA Metro Area",8,8,8,40.3,13.3,5.7,62.8,12.5,0,0.2,2687,92,10.6,0,69.5,69.5,5.6,1.2,1.2
"Hartford-West Hartford-East Hartford, CT Metro Area",9.7,9.7,9.7,34.3,42.5,12.3,67.2,37,566,0.3,6563,207,7.7,0.1,41.7,41.7,1.4,2.6,2.6
"Hattiesburg, MS Metro Area",8.3,8.3,8.3,41.4,16,8.4,62.3,0,0,0.4,339,0,6.6,0,58.9,58.9,0.6,0.3,0.3
"Helena, MT Micro Area",12.4,12.4,12.4,34.8,58.2,15.3,74.9,0.1,0,0.6,3431,55,9.6,0,62.1,62.1,10.7,1.3,1.3
"Hermiston-Pendleton, OR Micro Area",8.5,8.5,8.5,41.2,55,14.1,58.9,1.9,0,0.1,1868,0,8.3,0,75.1,75.1,6.3,0.1,0.1
"Hickory-Lenoir-Morganton, NC Metro Area",11.1,11.1,11.1,38.9,17.5,7.8,72.5,5.7,0,0.7,4670,30,7.1,0,57.9,57.9,3.2,0.3,0.3
"Hilo, HI Micro Area",13.6,13.6,13.6,41,55.6,15.1,66.2,0.2,0,72.9,564,1455,17.5,0,51,51,0.8,1.2,1.2
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",15.5,15.5,15.5,44.9,17.1,6.8,73.7,,,,,,12.2,,58.1,58.1,,0.9,0.9
"Hinesville, GA Metro Area",5.2,5.2,5.2,31.9,17,13,49.3,,,,,,14.3,,57,57,,0,0
"Guayama, PR Metro Area",11.5,11.5,11.5,71.1,89.8,51.9,70.7,,,,,,,,null,null,,,
"Iowa City, IA Metro Area",7.4,7.4,7.4,30.4,31.2,8.2,60.1,0.3,0,0.6,507,100,8.5,0,69.8,69.8,0.7,4.4,4.4
"Hobbs, NM Micro Area",6.9,6.9,6.9,39.7,70.9,14.2,64.5,,,,,,13,,75.5,75.5,,0,0
"Holland, MI Micro Area",10.2,10.2,10.2,37.6,38.8,8.2,82.9,2.8,0,0.8,2421,0,7.1,0,62.9,62.9,5.5,0.6,0.6
"Homosassa Springs, FL Metro Area",19.9,19.9,19.9,61.7,29.9,13.2,82.9,0.1,0,0.4,300,196,7.3,0,38.7,38.7,0.5,0.5,0.5
"Hot Springs, AR Metro Area",12.8,12.8,12.8,47.8,54.2,15.3,66.4,,,,,,12.2,,73.9,73.9,,0.6,0.6
"Houma-Thibodaux, LA Metro Area",9,9,9,41.4,62,15.9,74.9,,,,,,8.6,,61.8,61.8,,0.2,0.2
"Meadville, PA Micro Area",12.2,12.2,12.2,41.2,58.1,14.1,75.2,12.3,602,0.2,3353,0,11.1,1.8,18.4,18.4,9.8,0.8,0.8
"Merced, CA Metro Area",6.4,6.4,6.4,38.7,60.9,26.7,53.1,0.1,0,0.8,1691,951,9.7,0,61.7,61.7,2.1,0.6,0.6
"Medford, OR Metro Area",13.2,13.2,13.2,42.2,49,17.4,66.1,1,0,0.2,5449,0,9.5,0,56.7,56.7,6.1,1.8,1.8
"Memphis, TN-MS-AR Metro Area",8.6,8.6,8.6,35.8,32.6,8.7,60.5,0.1,28,0.3,2815,73,9,0,63.4,63.4,0.6,0.7,0.7
"Meridian, MS Micro Area",10.2,10.2,10.2,45.5,19,8.2,67.6,,,,,,10.7,,70.1,70.1,,0,0
"Marion, OH Micro Area",10.3,10.3,10.3,46.4,53.4,23,64.5,2.4,0,0.8,165,0,15.4,0,65.3,65.3,0.7,0.5,0.5
"Marquette, MI Micro Area",11.3,11.3,11.3,40.9,44.1,13.9,68.8,2.6,0,0.3,966,0,8,0,31.1,31.1,3.7,0.3,0.3
"Marshall, TX Micro Area",10.1,10.1,10.1,41.3,41.4,7.1,69.8,,,,,,8.2,,84.1,84.1,,0,0
"Martinsville, VA Micro Area",12.6,12.6,12.6,54.2,21,6.8,66.3,10.7,0,0.3,1150,0,8.4,0,31.5,31.5,4.3,0.5,0.5
"Mayag\u00FCez, PR Metro Area",12.4,12.4,12.4,65,66.4,36.8,59.4,,,,,,,,null,null,,,
"McAllen-Edinburg-Mission, TX Metro Area",6.2,6.2,6.2,41.3,8.5,4.6,68.6,,,,,,9.1,,74.2,74.2,,0.1,0.1
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",9.6,9.6,9.6,37.1,18.9,6.1,59.9,0.1,0,3.7,247,905,9.2,0,41.6,41.6,0,3.1,3.1
"Michigan City-La Porte, IN Metro Area",10.9,10.9,10.9,43.2,43,12.7,72.9,0.3,0,0.1,198,0,9.6,0,54.3,54.3,0.5,1.6,1.6
"Midland, MI Metro Area",10.4,10.4,10.4,41.5,56,15.8,73.4,0.9,0,0.5,1377,0,10.1,0,69.9,69.9,4,0.5,0.5
"Midland, TX Metro Area",6,6,6,27.8,21.2,6.5,66.1,,,,,,9.5,,62.8,62.8,,0.1,0.1
"Milwaukee-Waukesha-West Allis, WI Metro Area",9,9,9,34,43.5,9.5,60.4,1.2,48,0.6,2951,129,7.5,0,53.4,53.4,0.5,2.6,2.6
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",8.3,8.3,8.3,28.4,39.1,10.6,70,0.5,237,0.9,8355,364,8.1,0,45.4,45.4,0.6,4.5,4.5
"Minot, ND Micro Area",7.8,7.8,7.8,30.1,15.5,8.3,59.4,1.2,0,2,49,0,10.7,0,71.6,71.6,0.2,1.2,1.2
"Missoula, MT Metro Area",9.5,9.5,9.5,28.7,48.9,12.8,57.3,0.2,0,0.3,2658,0,12,0,42.4,42.4,5.3,1.4,1.4
"Mobile, AL Metro Area",9.5,9.5,9.5,44.5,31.5,6.5,60,0.1,217,0.6,544,0,7.7,0.1,46.2,46.2,0.3,0.3,0.3
"Modesto, CA Metro Area",7.8,7.8,7.8,39.9,53.9,20.9,59.2,0,0,0.3,1415,1674,8.2,0,50.8,50.8,0.8,1,1
"Monroe, LA Metro Area",9.2,9.2,9.2,44.5,57.9,15,61.8,,,,,,10,,63.3,63.3,,1.3,1.3
"Monroe, MI Metro Area",10.7,10.7,10.7,39.1,50.8,8.6,80.2,0.6,0,0.1,642,0,7.4,0,20.8,20.8,1,0.2,0.2
"Montgomery, AL Metro Area",9.2,9.2,9.2,42,35.3,7.5,64.2,0,0,0.3,837,0,7.9,0,58.3,58.3,0.6,0.3,0.3
"Morehead City, NC Micro Area",15.5,15.5,15.5,45.5,16.6,8.8,74.6,,,,,,7.4,,58.9,58.9,,1,1
"Morgantown, WV Metro Area",8.5,8.5,8.5,40,37.9,11,62.3,5,878,0.5,2345,0,10.5,1.7,79.6,79.6,4.4,1.4,1.4
"Morristown, TN Metro Area",11,11,11,45.3,9.5,11.4,71.4,0.3,0,0.2,1067,0,10.3,0,78.4,78.4,2.4,0.4,0.4
"Moses Lake, WA Micro Area",9,9,9,37.3,41.3,18.1,61.6,,,,,,12.9,,73,73,,0.5,0.5
"Mount Airy, NC Micro Area",11.6,11.6,11.6,44.8,19.5,3.8,72.4,12.7,0,1.4,662,0,8.3,0,68.8,68.8,2.3,0.1,0.1
"Mount Pleasant, MI Micro Area",7.6,7.6,7.6,38.9,24.2,14.5,62.9,2,14,1.1,1788,0,11.2,0.1,59.5,59.5,7,1.4,1.4
"Mount Vernon-Anacortes, WA Metro Area",12.3,12.3,12.3,39.5,59.7,9.3,69.1,1.4,0,0.4,3099,10,10.3,0,49,49,6.4,0.9,0.9
"Muncie, IN Metro Area",9.6,9.6,9.6,39.9,33.8,12.6,64.9,0.7,0,0.6,1003,0,6.2,0,44.7,44.7,2.2,1.9,1.9
"Muskegon, MI Metro Area",10.1,10.1,10.1,42.3,45.6,15.5,75.1,1.2,0,0.1,2065,0,9.3,0,50.1,50.1,3.1,0.4,0.4
"Muskogee, OK Micro Area",9.2,9.2,9.2,44.4,21.3,12,66.5,,,,,,6,,72,72,,0.5,0.5
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",17.6,17.6,17.6,46.8,23.7,7.8,76.7,0.3,0,0.4,553,115,8.3,0,52.1,52.1,0.3,0.4,0.4
"Nacogdoches, TX Micro Area",8.7,8.7,8.7,45.5,41.6,7.9,61.6,,,,,,14.8,,78.3,78.3,,0.5,0.5
"Napa, CA Metro Area",11.4,11.4,11.4,36,34.1,13.2,63.5,0,0,3.2,899,407,7.4,0,51.9,51.9,1.9,2.2,2.2
"Naples-Immokalee-Marco Island, FL Metro Area",15.9,15.9,15.9,47.7,25.5,5,73.8,0.1,0,1.1,43,187,15.4,0,54.6,54.6,0,0.7,0.7
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",8.2,8.2,8.2,31.5,29.3,7.2,65.6,0.2,0,0.3,4585,141,9.2,0,57.4,57.4,0.6,0.8,0.8
"New Bern, NC Metro Area",11.5,11.5,11.5,45.5,12.7,12.8,64.1,1,0,0.4,497,0,12.8,0,43.5,43.5,1,0,0
"New Castle, PA Micro Area",12.1,12.1,12.1,40.6,78.1,16.6,71.4,11.4,108,0.1,1191,110,12.5,0.3,46.2,46.2,3.2,1.1,1.1
"New Haven-Milford, CT Metro Area",9.7,9.7,9.7,35.1,55.3,14.9,60.9,36.3,0,0.3,3151,641,8.1,0,47.7,47.7,0.9,3.7,3.7
"New Orleans-Metairie, LA Metro Area",9.7,9.7,9.7,38.3,51,16.2,62.3,0,91,0.3,303,1071,9.3,0,58.6,58.6,0.1,2.6,2.6
"New Philadelphia-Dover, OH Micro Area",10.9,10.9,10.9,36.6,49.6,13.5,68.5,2.6,44,0.2,665,0,8.5,0.1,76.2,76.2,1.8,0.1,0.1
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",8.8,8.8,8.8,35.3,42.2,13.4,51.8,18,4666,1.2,19180,6159,6.3,0.1,41.4,41.4,0.3,30.9,30.9
"Niles-Benton Harbor, MI Metro Area",11.2,11.2,11.2,36.9,32.6,14,72.5,3.3,0,0.6,797,0,11.1,0,58.7,58.7,1.2,0.7,0.7
"North Port-Sarasota-Bradenton, FL Metro Area",16.7,16.7,16.7,48.3,18.8,6.8,74.5,0.2,0,0.8,123,341,9.1,0,46.7,46.7,0,0.5,0.5
"Norwich-New London, CT Metro Area",10.3,10.3,10.3,34,50.5,15.3,66.1,51.9,0,0.2,4454,155,8.2,0,48.4,48.4,4.1,1.4,1.4
"Orangeburg, SC Micro Area",11.6,11.6,11.6,46,34.7,16.2,66.3,0.2,0,0.4,426,170,8.3,0,34.7,34.7,1.3,0.2,0.2
"North Wilkesboro, NC Micro Area",12.2,12.2,12.2,41.5,11.5,5.6,73.8,10.8,0,0.6,1624,0,11.1,0,76,76,5.4,0,0
"Orlando-Kissimmee-Sanford, FL Metro Area",8.7,8.7,8.7,35.8,19.2,8,61,0.1,0,1,924,1070,10.4,0,45.5,45.5,0.1,1.3,1.3
"Oshkosh-Neenah, WI Metro Area",9.2,9.2,9.2,34.8,42.8,7,67,0.3,0,1,1049,0,6.9,0,46.8,46.8,1.5,0.5,0.5
