CITY,Total Population,TOTAL POPULATION under 18,Total Population of 18+,Renter Occupied Housing Units,Total Population Estimate,Average Household Size Renters,Median Rent for Occupied Housing Units,Median Housing Cost,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,TOTAL POPULATION under 18,Total Population of 18+,Estimate of ages above 25yrs with a high school degree,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Estimate of Owner Occupied Housing Units with a Mortgage,Estimate of Owner Occupied Housing Units without a Mortgage,Total Population of 18+,Total Population,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,%foriegn born,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet,Estimate of Homes using Electric Heat,Estimate of homes using Gas
NAME,,DP05_0019E,DP05_0025E,DP04_0047E,DP05_0001E,DP04_0049E,DP04_0134E,DP04_0089E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0065E,DP05_0087E,DP05_0019E,DP05_0025E,DP02_0061E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0091E,DP04_0092E,DP05_0025E,DP05_0001E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0095PE,DP02_0065E,DP05_0087E,DP05_0088E,DP02_0150PE,DP04_0065E,DP04_0063E
CATEGORY,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Environmental,Environmental
"Boulder, CO Metro Area",#REF!,20456,91415,15479,111871,2.04,753,113000,53866,,4955,10747,90629,20456,91415,4955,26640,50497,54631,7249,17263,13235,91415,111871,53866,,4955,1480,10747,90629,43106,0.4,,
"Bowling Green, KY Metro Area",#REF!,40223,136288,16806,176511,2.47,869,165500,87190,455,7234,16215,135398,40223,136288,7234,27278,55462,79914,9849,29712,21189,136288,176511,87190,455,7234,2444,16215,135398,66802,0.4,5314,54546
"Bozeman, MT Micro Area",#REF!,16192,49954,8196,66146,2.36,719,120300,32333,,4383,6436,48762,16192,49954,4383,23462,43437,28660,3395,8702,9067,49954,66146,32333,,4383,2220,6436,48762,23470,,,
"Brainerd, MN Micro Area",#REF!,83354,426440,48063,509794,2.41,1065,242800,245756,6631,20961,70908,415787,83354,426440,20961,33783,59073,224075,23218,91531,71078,426440,509794,245756,6631,20961,25132,70908,415787,196828,0.5,181456,16480
"Branson, MO Micro Area",#REF!,26794,109413,15931,136207,2.74,1862,749700,68202,5416,5507,23716,97013,26794,109413,5507,49981,97213,72423,7074,21559,12489,109413,136207,68202,5416,5507,31322,23716,97013,47225,0.4,12329,33016
"Bremerton-Silverdale, WA Metro Area",#REF!,63735,322245,44378,385980,2.61,1503,416200,191063,30471,13573,68961,282980,63735,322245,13573,52622,74215,170120,10555,56729,62836,322245,385980,191063,30471,13573,96312,68961,282980,138942,0.3,150568,6495
"Bridgeport-Stamford-Norwalk, CT Metro Area",#REF!,456311,1557195,263027,2013506,2.24,1260,344900,989042,73579,67484,357851,1472661,456311,1557195,67484,40730,72725,1085384,68250,356926,174420,1557195,2013506,989042,73579,67484,171125,357851,1472661,709043,0.6,494911,267418
"Brownsville-Harlingen, TX Metro Area",#REF!,23911,96597,16233,120508,2.17,999,185200,60235,1038,4532,13861,94790,23911,96597,4532,31112,55390,51385,5921,19869,14919,96597,120508,60235,1038,4532,3914,13861,94790,47494,0.5,38481,6144
"Brunswick, GA Metro Area",#REF!,16902,68595,9202,85497,1.85,668,141800,41579,,3375,8048,68020,16902,68595,3375,31395,59536,42031,5175,13662,13422,68595,85497,41579,,3375,1503,8048,68020,32740,0.9,8696,20858
"Cape Girardeau, MO-IL Metro Area",#REF!,171996,691704,134053,863700,2.1,1235,282200,418954,36792,28466,126343,640030,171996,691704,28466,42338,75295,465315,57916,136112,78924,691704,863700,418954,36792,28466,127669,126343,640030,304467,0.2,71067,134568
"Carbondale-Marion, IL Metro Area",#REF!,279592,982134,176884,1261726,2.29,1069,236100,608733,37702,68735,181220,935873,279592,982134,68735,34354,56837,617406,86585,190237,140871,982134,1261726,608733,37702,68735,98970,181220,935873,442914,0.2,305405,193257
"Carson City, NV Metro Area",#REF!,21096,71404,12760,92500,2.04,793,158800,46188,,3228,7316,71045,21096,71404,3228,29991,58060,44124,4975,14332,11592,71404,92500,46188,,3228,,7316,71045,34488,1.8,8725,24218
"Casper, WY Metro Area",#REF!,4223694,15544764,3487421,19768458,2.42,1600,533700,9634926,1547898,769530,3459076,13380344,4223694,15544764,769530,47364,84409,10329674,1197599,2362779,1497500,15544764,19768458,9634926,1547898,769530,5818266,3459076,13380344,6385975,0.2,1070266,4757170
"Cedar Rapids, IA Metro Area",#REF!,32994,120107,18278,153101,2.14,831,194100,74817,2116,5539,21791,116364,32994,120107,5539,37518,57535,74537,7825,26991,20495,120107,153101,74817,2116,5539,8170,21791,116364,56723,0.5,14469,41124
"Centralia, WA Micro Area",#REF!,135343,724417,88974,859760,2.36,1362,326200,415719,25451,28560,151491,689764,135343,724417,28560,43615,70095,388974,23877,139034,139530,724417,859760,415719,25451,28560,105745,151491,689764,326494,0.6,333286,25521
"Chambersburg-Waynesboro, PA Metro Area",#REF!,13194,52612,8690,65806,2.39,641,150700,32759,,7286,6700,50964,13194,52612,7286,24701,43933,28028,1815,9157,8923,52612,65806,32759,,7286,2161,6700,50964,24660,,18772,842
"Waco, TX Metro Area",#REF!,51416,217389,36547,268805,2.04,1202,289400,133949,4404,8349,37975,210400,51416,217389,8349,42460,78828,135474,19634,46011,28392,217389,268805,133949,4404,8349,21076,37975,210400,105416,0.4,22772,18218
"Walla Walla, WA Metro Area",#REF!,15322,72110,7342,87432,2.25,1398,470400,43995,1981,1998,15169,69605,15322,72110,1998,41577,76505,33239,3509,16892,11742,72110,87432,43995,1981,1998,6998,15169,69605,35229,0.5,19230,6095
"Warner Robins, GA Metro Area",#REF!,71703,314212,33821,385915,2.58,1072,193300,186139,8257,20701,42351,302256,71703,314212,20701,30154,55161,159100,16106,64854,58673,314212,385915,186139,8257,20701,36492,42351,302256,144439,0.5,136844,14532
"Warsaw, IN Micro Area",#REF!,16174,79487,10697,95661,1.71,971,365100,46678,1057,2156,18718,78213,16174,79487,2156,53482,78657,45331,2961,22859,15304,79487,95661,46678,1057,2156,4752,18718,78213,38134,0.8,10324,32963
"Wichita Falls, TX Metro Area",#REF!,49406,111685,21024,161091,2.15,1069,176500,83566,14778,10319,10659,96448,49406,111685,10319,27757,57473,78212,4641,22197,20948,111685,161091,83566,14778,10319,34321,10659,96448,50999,,,
"Williamsport, PA Metro Area",#REF!,208672,499871,57257,708543,2.51,1123,395400,360251,10684,16373,95612,483105,208672,499871,16373,36056,81364,357406,21222,122483,50616,499871,708543,360251,10684,16373,37995,95612,483105,242786,1.7,30495,193107
"Wilmington, NC Metro Area",#REF!,21623,86428,12336,108051,1.94,757,99000,56014,979,5242,9144,85000,21623,86428,5242,28022,55775,46376,7112,13978,15984,86428,108051,56014,979,5242,3410,9144,85000,43990,0.4,5109,13984
"Wilson, NC Micro Area",#REF!,349520,1092127,204175,1441647,2.29,929,190800,711253,32967,62488,202082,1030553,349520,1092127,62488,32703,61815,725968,56531,214258,146876,1092127,1441647,711253,32967,62488,110304,202082,1030553,501528,0.6,217233,317319
"Watertown-Fort Atkinson, WI Micro Area",#REF!,16390,60036,7727,76426,1.98,680,96500,38376,160,3656,6963,59807,16390,60036,3656,28646,55153,34269,5823,10363,14472,60036,76426,38376,160,3656,849,6963,59807,29908,0.7,4960,17158
"Watertown-Fort Drum, NY Metro Area",#REF!,62965,235012,39358,297977,2.2,1474,412800,145768,5975,6433,51576,224633,62965,235012,6433,40500,81659,140395,19499,51337,26491,235012,297977,145768,5975,6433,25341,51576,224633,110476,1,68866,37323
"Wausau, WI Metro Area",#REF!,244654,727541,127920,972195,2.1,1007,231100,484096,30998,23410,158665,690675,244654,727541,23410,39782,73720,518327,36536,176449,81118,727541,972195,484096,30998,23410,73608,158665,690675,339939,0.5,98659,264140
"Weirton-Steubenville, WV-OH Metro Area",#REF!,21859,60212,12064,82071,2.67,648,130700,40506,,5968,6066,58705,21859,60212,5968,23872,38599,34980,8204,,,60212,82071,40506,,5968,2584,6066,58705,27976,,,
"Wenatchee, WA Metro Area",#REF!,18152,64810,11664,82962,2.35,719,93100,38186,521,8123,6552,64696,18152,64810,8123,22934,34685,34741,2868,6901,13452,64810,82962,38186,521,8123,1338,6552,64696,29674,,,
"Wheeling, WV-OH Metro Area",#REF!,579322,2112603,363748,2691925,2.5,1420,303300,1325614,213384,89463,424865,1893507,579322,2112603,89463,33928,64936,1389517,91159,413860,212892,2112603,2691925,1325614,213384,89463,540311,424865,1893507,916843,0.3,905386,50558
"Whitewater-Elkhorn, WI Micro Area",#REF!,34767,136856,25054,171623,1.99,807,186800,87961,2182,4657,24150,134474,34767,136856,4657,33730,64095,94416,7101,30418,17322,136856,171623,87961,2182,4657,6399,24150,134474,68076,0.4,13857,52779
"Wichita, KS Metro Area",#REF!,30618,116547,17026,147165,2.08,728,139100,75174,1424,6807,14022,114178,30618,116547,6807,34363,63157,74311,7304,24881,19358,116547,147165,75174,1424,6807,4751,14022,114178,57803,0.4,9004,45119
"Winchester, VA-WV Metro Area",#REF!,28797,93899,12146,122696,2.1,732,160700,60062,2520,4220,14549,91784,28797,93899,4220,31951,60189,57896,7237,20688,15740,93899,122696,60062,2520,4220,4026,14549,91784,44842,,17624,27488
"Winston-Salem, NC Metro Area",#REF!,186442,653342,97191,839784,2.94,2032,691000,418376,30988,36829,123885,571508,186442,653342,36829,42913,96454,434313,43475,125278,56699,653342,839784,418376,30988,36829,183002,123885,571508,280591,0.4,58254,203359
"Wisconsin Rapids-Marshfield, WI Micro Area",#REF!,22274,77224,9670,99498,2.27,797,159500,47947,769,4057,11487,76592,22274,77224,4057,31699,61870,42461,6627,13660,14688,77224,99498,47947,769,4057,1895,11487,76592,35413,0.3,,
"Wooster, OH Micro Area",#REF!,15829,58338,8418,74167,2.55,784,114200,36347,,9924,3788,56031,15829,58338,9924,21147,33370,25161,2278,,,58338,74167,36347,,9924,3370,3788,56031,26445,0.5,,
"Worcester, MA-CT Metro Area",#REF!,112316,504312,58833,616628,2.29,1197,269500,303641,15846,19464,90904,486055,112316,504312,19464,38066,65333,290185,22095,110120,85361,504312,616628,303641,15846,19464,59749,90904,486055,237003,0.8,225067,21526
"Yakima, WA Metro Area",#REF!,37131,142037,29149,179168,2.13,1244,243200,90040,7724,8581,24092,135381,37131,142037,8581,33654,60557,91116,8341,26935,23448,142037,179168,90040,7724,8581,15915,24092,135381,67009,0.3,70692,6697
"York-Hanover, PA Metro Area",#REF!,18574,69607,7575,88181,2.03,709,139700,43024,,3805,9509,69246,18574,69607,3805,32996,54284,41128,5715,16025,14056,69607,88181,43024,,3805,774,9509,69246,33308,0.6,7021,28214
"Youngstown-Warren-Boardman, OH-PA Metro Area",#REF!,110526,405862,60849,516388,2.22,1118,242900,261799,8495,20927,69557,396496,110526,405862,20927,33416,64877,237636,24020,83003,54850,405862,516388,261799,8495,20927,27242,69557,396496,198989,0.7,160027,32005
"Yuba City, CA Metro Area",#REF!,91623,306850,45016,398473,2.16,812,141700,197261,8191,14877,56006,299601,91623,306850,14877,34194,59760,192751,20352,73824,52227,306850,398473,197261,8191,14877,18756,56006,299601,145740,0.6,32454,122857
"Yuma, AZ Metro Area",#REF!,1339048,4889553,799838,6228601,2.15,1258,300300,3031280,239633,214179,1069039,4614886,1339048,4889553,214179,43463,80007,3286687,278112,1063162,579868,4889553,6228601,3031280,239633,214179,704797,1069039,4614886,2208492,0.6,606115,1427449
"Zanesville, OH Micro Area",#REF!,1135972,3810173,612589,4946145,2.47,1384,374100,2467220,158149,197731,722528,3473294,1135972,3810173,197731,38713,75731,2496782,242554,850239,400367,3810173,4946145,2467220,158149,197731,664841,722528,3473294,1717086,0.5,1271885,520510
"Charleston-North Charleston, SC Metro Area",#REF!,18147,68600,10298,86747,2.67,776,115200,45258,,4767,9079,67681,18147,68600,4767,23457,46826,34169,4810,8774,11020,68600,86747,45258,,4767,2556,9079,67681,35254,,,
"Champaign-Urbana, IL Metro Area",#REF!,22012,80751,11408,102763,2.15,1022,300000,49599,1129,3655,16385,78787,22012,80751,3655,41592,67160,44221,4018,19146,13000,80751,102763,49599,1129,3655,4790,16385,78787,37474,0.4,34784,2671
"Charleston, WV Metro Area",#REF!,445039,1908499,292819,2353538,1.85,895,190000,1157349,41178,63471,389763,1867683,445039,1908499,63471,40538,66609,1225262,100248,418725,314154,1908499,2353538,1157349,41178,63471,96060,389763,1867683,905700,1,165109,753992
"Charlotte-Concord-Gastonia, NC-SC Metro Area",#REF!,20856,107801,17264,128657,1.8,948,260000,61990,1801,4758,20028,105243,20856,107801,4758,43115,60749,68042,10825,24703,15798,107801,128657,61990,1801,4758,7596,20028,105243,50548,0.4,5308,25140
"Charlottesville, VA Metro Area",#REF!,14396,65200,9463,79596,1.83,872,148300,41457,784,5940,8223,63744,14396,65200,5940,30641,60285,37768,4325,13647,10750,65200,79596,41457,784,5940,2553,8223,63744,33201,0.5,9748,4731
"Chattanooga, TN-GA Metro Area",#REF!,25883,71762,11127,97645,2.33,735,250400,49417,1850,2817,12555,69835,25883,71762,2817,29009,60475,44960,7027,15688,9623,71762,97645,49417,1850,2817,3772,12555,69835,34322,2,12854,19560
"Cheyenne, WY Metro Area",#REF!,39365,179645,20152,219010,2.72,480,97000,105096,null,null,null,178396,39365,179645,null,11739,19006,78271,22876,16241,38952,179645,219010,105096,null,null,null,null,178396,84582,null,,
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",#REF!,13372,64837,8482,78209,2.24,960,365100,38518,886,1934,9240,63505,13372,64837,1934,36678,62695,32256,4742,13149,13142,64837,78209,38518,886,1934,3507,9240,63505,30422,1.9,29769,479
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",#REF!,101213,455680,62099,556893,1.85,1204,356800,272236,13162,11302,111038,444781,101213,455680,11302,45986,78558,304576,24133,116035,59052,455680,556893,272236,13162,11302,29298,111038,444781,215270,0.9,25330,30819
"Burlington, NC Metro Area",#REF!,517700,1992996,380536,2510696,2.17,1443,483000,1252561,79447,69227,468388,1868252,517700,1992996,69227,44343,83943,1347778,146315,432135,189313,1992996,2510696,1252561,79447,69227,314719,468388,1868252,920252,0.8,508749,431875
"Burlington-South Burlington, VT Metro Area",#REF!,94012,409509,42559,503521,2.39,1267,283300,247309,16521,22206,74370,384152,94012,409509,22206,36435,63771,229540,16677,81206,77189,409509,503521,247309,16521,22206,80716,74370,384152,186699,0.4,186031,5880
"California-Lexington Park, MD Metro Area",#REF!,16074,57272,9015,73346,2.54,658,107800,36196,,3931,5576,57052,16074,57272,3931,22543,40522,26421,4046,,,57272,73346,36196,,3931,431,5576,57052,27854,,10966,10780
"Canton-Massillon, OH Metro Area",#REF!,28758,114506,15273,143264,2.13,716,120700,74049,1245,8090,13131,113201,28758,114506,8090,32016,58614,64733,5465,19684,23255,114506,143264,74049,1245,8090,3439,13131,113201,58954,1.9,16892,3141
"Cape Coral-Fort Myers, FL Metro Area",#REF!,158394,543243,72685,701637,2.23,1369,337500,352451,16179,29357,100882,517012,158394,543243,29357,42216,89033,353665,39576,120398,62653,543243,701637,352451,16179,29357,77103,100882,517012,257179,0.3,35087,102910
"Chico, CA Metro Area",#REF!,37802,204451,27389,242253,2.15,1101,361900,119203,1760,13629,33383,195225,37802,204451,13629,33908,57230,102127,15166,48444,36242,204451,242253,119203,1760,13629,18854,33383,195225,94273,0.7,34088,55914
"Chillicothe, OH Micro Area",#REF!,327514,1348260,251111,1675774,2.1,1099,364000,819130,68192,77883,239817,1261040,327514,1348260,77883,39771,73788,900953,119154,287608,134982,1348260,1675774,819130,68192,77883,238492,239817,1261040,607519,0.2,78794,364857
"Cincinnati, OH-KY-IN Metro Area",#REF!,224644,472055,61247,696699,2.8,1253,459500,354960,18805,11340,112901,446569,224644,472055,11340,32611,86629,353569,15141,100749,35603,472055,696699,354960,18805,11340,49870,112901,446569,224494,1.6,34077,157322
"Claremont-Lebanon, NH-VT Micro Area",#REF!,37499,132123,21917,169622,1.98,890,253200,83908,2120,6940,20858,128454,37499,132123,6940,31124,56689,74650,13926,29843,17318,132123,169622,83908,2120,6940,7134,20858,128454,63179,0.2,10802,52229
"Clarksburg, WV Micro Area",#REF!,23090,171753,15352,194843,2.06,1207,267900,95225,4325,8519,26993,163761,23090,171753,8519,35270,59285,73956,5111,32784,40852,171753,194843,95225,4325,8519,19299,26993,163761,79307,0.6,,
"Clarksville, TN-KY Metro Area",#REF!,16180,58143,8061,74323,1.8,717,144100,36380,,2606,9274,57670,16180,58143,2606,30026,57020,37383,3552,12399,10150,58143,74323,36380,,2606,865,9274,57670,28079,0.2,10537,17558
"Clearlake, CA Micro Area",#REF!,44716,152180,26086,196896,2.3,908,221000,97904,2564,6952,21509,146636,44716,152180,6952,36803,68758,98948,10701,33728,19254,152180,196896,97904,2564,6952,11374,21509,146636,72678,0.7,13793,60166
"Cleveland, TN Metro Area",#REF!,339613,1108798,176858,1448411,2.32,1266,346400,708762,63891,40112,299161,1018469,339613,1108798,40112,43276,85303,782267,39599,271323,100532,1108798,1448411,708762,63891,40112,182817,299161,1018469,489300,0.5,327501,191858
"Cleveland-Elyria, OH Metro Area",#REF!,32250,108940,16054,141190,2,1002,249400,73127,1155,3233,22777,107494,32250,108940,3233,33578,63342,71420,5478,25968,15510,108940,141190,73127,1155,3233,2928,22777,107494,54665,0.4,17961,29772
"Coeur d'Alene, ID Metro Area",#REF!,95286,334056,45982,429342,2.33,1031,220900,213649,16287,22284,47383,320461,95286,334056,22284,34490,68658,216634,20377,71438,46892,334056,429342,213649,16287,22284,39220,47383,320461,157620,0.7,38007,67286
"College Station-Bryan, TX Metro Area",#REF!,16272,49226,7974,65498,2.56,980,272700,33152,,4019,4849,47100,16272,49226,4019,25789,48810,27564,3933,,,49226,65498,33152,,4019,4487,4849,47100,23118,,7989,6106
"Colorado Springs, CO Metro Area",#REF!,39640,142499,27969,182139,2.38,1105,334600,89509,1652,6968,20874,139512,39640,142499,6968,34387,61125,81156,12407,27411,16126,142499,182139,89509,1652,6968,7771,20874,139512,67852,0.6,24311,28862
"Columbia, MO Metro Area",#REF!,104949,392048,79531,496997,2.31,1344,457500,251823,16320,22655,70558,360169,104949,392048,22655,41942,76182,263296,17106,80314,39870,392048,496997,251823,16320,22655,66141,70558,360169,182620,0.7,66117,117270
"Columbia, SC Metro Area",#REF!,18225,49230,6181,67455,3.83,856,326400,33570,,751,8978,48046,18225,49230,751,24282,59729,35861,6078,,,49230,67455,33570,,751,1524,8978,48046,23545,5.8,6098,7795
"Columbus, GA-AL Metro Area",#REF!,14865,51591,8271,66456,2.2,733,120500,31977,671,2538,4863,49807,14865,51591,2538,30441,50138,29798,4188,11509,6672,51591,66456,31977,671,2538,1964,4863,49807,24309,,8480,12473
"Columbus, IN Metro Area",#REF!,281714,1035811,171926,1317525,2.22,1202,299600,638183,36412,48128,219962,991250,281714,1035811,48128,40687,74151,691453,65674,248433,100708,1035811,1317525,638183,36412,48128,103416,219962,991250,470027,0.7,336538,141331
"Columbus, OH Metro Area",#REF!,22800,86590,14848,109390,2.22,747,178300,54561,850,3837,11976,85323,22800,86590,3837,26173,51237,53330,10589,16695,10282,86590,109390,54561,850,3837,2983,11976,85323,41039,,,
"Concord, NH Micro Area",#REF!,22154,43895,5224,66049,3.21,635,81700,32706,3157,5349,3429,31821,22154,43895,5349,15695,33367,24205,2025,,,43895,66049,32706,3157,5349,19184,3429,31821,15697,,,
"Cookeville, TN Micro Area",#REF!,1175080,3478025,501573,4653105,3.04,1552,453000,2332504,146726,260812,465097,3041751,1175080,3478025,260812,31532,77018,2188596,353892,660652,279377,3478025,4653105,2332504,146726,260812,1008045,465097,3041751,1511444,0.3,329823,1006023
"Coos Bay, OR Micro Area",#REF!,63847,251595,40547,315442,2.02,863,220900,154075,5161,12827,43774,245146,63847,251595,12827,34652,59630,152473,15642,54793,35871,251595,315442,154075,5161,12827,15152,43774,245146,117238,0.6,74561,41254
"Corning, NY Micro Area",#REF!,14205,51265,9447,65470,2.69,691,95200,32603,,5524,4707,49933,14205,51265,5524,22035,35618,27139,2208,8388,9562,51265,65470,32603,,5524,2084,4707,49933,23691,,17691,2806
"Corpus Christi, TX Metro Area",#REF!,55003,172148,22683,227151,2.04,1043,267300,111628,4941,3063,36139,166383,55003,172148,3063,45276,80434,125067,10684,41814,26459,172148,227151,111628,4941,3063,18080,36139,166383,80098,0.2,13818,59343
"Corvallis, OR Metro Area",#REF!,218999,865974,144606,1084973,1.94,970,171000,531415,23701,41024,159927,840834,218999,865974,41024,37666,66516,561148,68370,190740,118698,865974,1084973,531415,23701,41024,76149,159927,840834,406764,0.6,81422,308856
"Crestview-Fort Walton Beach-Destin, FL Metro Area",#REF!,79173,257105,44711,336278,2.31,891,149800,164554,6157,17452,35207,246097,79173,257105,17452,30650,56746,163472,18835,51172,38125,257105,336278,164554,6157,17452,29540,35207,246097,119142,0.4,16290,111167
"Cullman, AL Micro Area",#REF!,30891,112644,20638,143535,2.53,786,151900,69201,1835,8972,13910,108904,30891,112644,8972,29306,51769,69003,7838,19494,16708,112644,143535,69201,1835,8972,5701,13910,108904,51140,,37043,11584
"Cumberland, MD-WV Metro Area",#REF!,22354,76417,13056,98771,2.72,830,178900,48781,1446,6852,8746,73151,22354,76417,6852,29430,60825,45741,1659,12356,10005,76417,98771,48781,1446,6852,5312,8746,73151,35109,0.3,,
"Dallas-Fort Worth-Arlington, TX Metro Area",#REF!,21675,90303,13349,111978,2.36,864,252600,55730,419,5139,10340,89700,21675,90303,5139,28204,51166,45784,7274,17261,15371,90303,111978,55730,419,5139,3408,10340,89700,44415,2,26426,10619
"Dalton, GA Metro Area",#REF!,19039,64905,11007,83944,2.51,769,155800,42300,1550,5278,7990,61154,19039,64905,5278,23495,44410,39091,4755,11605,9890,64905,83944,42300,1550,5278,6226,7990,61154,30233,,,
"Danville, IL Metro Area",#REF!,543146,1868282,331854,2411428,2.56,1556,513600,1187620,113663,83442,376277,1716804,543146,1868282,83442,40890,84421,1197920,150532,376279,171514,1868282,2411428,1187620,113663,83442,454540,376277,1716804,831158,0.5,308089,483525
"Danville, VA Micro Area",#REF!,40970,148621,22655,189591,2.21,818,128600,92438,534,10486,17646,146530,40970,148621,10486,28092,50606,85730,12761,29769,27722,148621,189591,92438,534,10486,3954,17646,146530,70252,0.5,11370,58188
"Daphne-Fairhope-Foley, AL Metro Area",#REF!,47758,152648,25015,200406,2.11,857,231700,101224,7833,4482,20368,146872,47758,152648,4482,32961,65641,113124,13539,32727,21349,152648,200406,101224,7833,4482,12872,20368,146872,73433,0.2,23966,39446
"Davenport-Moline-Rock Island, IA-IL Metro Area",#REF!,47408,143818,20402,191226,2.75,1269,443200,97482,2582,5736,25404,137185,47408,143818,5736,32372,61186,83958,3609,28603,19085,143818,191226,97482,2582,5736,12830,25404,137185,67946,3,29928,35035
"Dayton, OH Metro Area",#REF!,27023,93251,15558,120274,2.25,790,152200,61993,1870,5351,12409,91487,27023,93251,5351,28947,54702,55754,2751,16916,14324,93251,120274,61993,1870,5351,3505,12409,91487,46974,0.8,18408,22568
"Decatur, AL Metro Area",#REF!,616423,2190192,329306,2806615,2.1,940,215700,1367735,41593,101042,436901,2139755,616423,2190192,101042,39791,70189,1457018,88009,524180,290625,2190192,2806615,1367735,41593,101042,130537,436901,2139755,1027878,0.5,369999,703373
"Decatur, IL Metro Area",#REF!,20629,80681,10606,101310,2.15,641,117200,51404,,5589,7472,80217,20629,80681,5589,31734,49265,48118,5896,14140,16301,80681,101310,51404,,5589,862,7472,80217,40850,2.1,12934,20379
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",#REF!,103006,333277,58282,436283,2.58,1167,360300,219779,12550,18068,50486,303672,103006,333277,18068,32360,65665,207771,31233,66116,33746,333277,436283,219779,12550,18068,52221,50486,303672,150891,0.5,78016,68151
"Detroit-Warren-Dearborn, MI Metro Area",#REF!,113096,324229,65474,437325,3.27,1767,683200,222499,23200,25276,43163,237388,113096,324229,25276,35191,82163,195651,27179,45629,22121,324229,437325,222499,23200,25276,126731,43163,237388,119916,0.3,58258,61089
"Denver-Aurora-Lakewood, CO Metro Area",#REF!,81610,347613,42215,429223,2.39,1092,293000,206819,9427,21077,58246,334416,81610,347613,21077,38026,68470,196777,27001,77967,56820,347613,429223,206819,9427,21077,33202,58246,334416,158524,0.7,96530,29005
"Des Moines-West Des Moines, IA Metro Area",#REF!,330941,932120,146650,1263061,2.31,1310,444200,639968,49436,37919,189318,852113,330941,932120,37919,37405,81307,691733,29960,213091,84057,932120,1263061,639968,49436,37919,153680,189318,852113,426544,1.4,73551,359653
"Dothan, AL Metro Area",#REF!,29479,92587,14659,122066,2.29,895,163600,61356,1486,4816,12759,89470,29479,92587,4816,29126,61302,58157,3315,14148,17797,92587,122066,61356,1486,4816,6068,12759,89470,44161,0.2,,
"Dover, DE Metro Area",#REF!,640877,1960911,346343,2601788,2.43,1147,233500,1293521,90049,121627,332679,1797253,640877,1960911,121627,33179,66775,1279752,95738,353827,248349,1960911,2601788,1293521,90049,121627,315324,332679,1797253,876562,0.3,688893,224073
"DuBois, PA Micro Area",#REF!,698370,2587699,531136,3286069,2.67,1908,722200,1664717,167999,122675,579926,2308456,698370,2587699,122675,44377,91003,1680193,195670,440570,191190,2587699,3286069,1664717,167999,122675,737696,579926,2308456,1173357,0.5,409305,632891
"Dubuque, IA Metro Area",#REF!,15043,59809,10763,74852,2.15,799,168400,36984,,4246,10712,58997,15043,59809,4246,33655,58403,35551,3662,11566,10597,59809,74852,36984,,4246,1675,10712,58997,28465,1.4,9905,20467
"Duluth, MN-WI Metro Area",#REF!,900183,3723081,759062,4623264,2.43,2156,1042300,2300372,390538,140650,992525,3158707,900183,3723081,140650,63934,116005,2537804,229814,661053,298934,3723081,4623264,2300372,390538,140650,1443472,992525,3158707,1553671,0.4,525931,1086576
"Dunn, NC Micro Area",#REF!,18930,100431,10640,119361,2.93,469,96300,53878,null,null,null,100203,18930,100431,null,12514,18454,40244,12216,,,100431,119361,53878,null,null,null,null,100203,46174,null,,
"Durham-Chapel Hill, NC Metro Area",#REF!,416507,1535678,293453,1952185,2.68,2454,1237800,996553,235191,60598,380520,1206047,416507,1535678,60598,68421,139892,1056925,89444,255531,121916,1535678,1952185,996553,235191,60598,773319,380520,1206047,610442,0.3,236789,393371
"East Stroudsburg, PA Metro Area",#REF!,345420,1724885,237038,2070305,2.58,552,122100,972580,null,null,null,1687182,345420,1724885,null,16134,25042,835596,208120,215298,295171,1724885,2070305,972580,null,null,null,null,1687182,777438,null,79516,810
"Eau Claire, WI Metro Area",#REF!,49684,233475,39475,283159,2.62,1716,695500,142645,6005,7286,47162,220085,49684,233475,7286,42831,80615,136921,15101,43594,24502,233475,283159,142645,6005,7286,27978,47162,220085,110952,0.7,21110,70236
"El Centro, CA Metro Area",#REF!,49800,217992,38555,267792,2.71,1960,922300,133339,9731,8914,42244,190832,49800,217992,8914,50367,93933,142127,12430,38427,20371,217992,267792,133339,9731,8914,48629,42244,190832,93274,0.8,26049,55214
"Elmira, NY Metro Area",#REF!,26058,129143,17946,155201,1.88,1166,362200,76100,1930,4093,25625,122100,26058,129143,4093,44014,67341,76398,10049,28627,23579,129143,155201,76100,1930,4093,15202,25625,122100,58943,0.5,14630,43890
