CITY,Year,%homes heating with wood,% 16+ Yrs not in labor force,%workers taking taxi to work,%Total population 65-74,% of Owner Occupied Housing Units,%homes using solar energy,%homes with no heat,% homes heating with coal,%foriegn born,%workers carpooling,%homes using coal for heat energy,Percent of population Employed health insurance coverage ages 19-64,%homes using wood for heat energy,"%homes using oil, Kerosene for heat energy",Percetage of Labor force with Public Health Insurance
"Peoria, IL Metro Area",2023,1.68,43.77,1.13,15.78,74.08,100.00,0.99,0.05,100.00,6.98,27.75,10.62,100.00,2.45,15.03
"Aberdeen, WA Micro Area",2023,1.08,37.27,0.38,12.50,71.10,100.00,0.60,0.00,100.00,11.65,0.00,8.13,100.00,14.42,41.48
"Birmingham-Hoover, AL Metro Area",2023,1.63,31.22,1.00,10.23,64.65,100.00,0.48,0.00,100.00,6.82,0.00,11.93,100.00,4.93,37.08
"Keene, NH Micro Area",2023,0.32,39.20,0.53,13.02,75.08,100.00,0.73,0.31,100.00,9.37,100.00,13.57,100.00,9.13,30.52
"Williamsport, PA Metro Area",2023,0.00,36.95,1.80,9.40,65.50,100.00,0.77,0.00,100.00,8.57,0.00,11.97,100.00,0.00,19.73
"Elkhart-Goshen, IN Metro Area",2023,1.87,46.45,0.33,14.88,75.68,100.00,23.00,0.00,100.00,11.73,3.33,10.97,100.00,1.47,34.03
"Cullman, AL Micro Area",2023,0.00,39.00,0.07,10.90,65.97,100.00,0.63,0.00,100.00,10.92,100.00,19.88,100.00,0.83,61.23
"Las Vegas-Henderson-Paradise, NV Metro Area",2023,0.03,37.82,0.00,11.35,70.38,0.00,0.08,0.23,100.00,8.08,64.00,12.40,100.00,3.71,37.10
"Santa Cruz-Watsonville, CA Metro Area",2023,0.00,41.65,0.03,11.88,71.58,0.00,0.00,0.13,100.00,5.58,100.00,13.10,100.00,2.58,47.37
"Springfield, MO Metro Area",2023,1.70,39.88,1.53,13.58,59.48,100.00,1.82,0.00,100.00,9.47,0.00,19.65,100.00,0.00,44.32
"Bremerton-Silverdale, WA Metro Area",2023,0.00,36.00,1.35,11.57,68.15,100.00,1.10,0.00,100.00,7.90,100.00,6.80,100.00,0.00,28.27
"Minot, ND Micro Area",2023,4.20,46.60,0.00,11.85,71.37,100.00,0.43,0.02,100.00,9.37,2.00,17.97,100.00,10.68,46.93
"Columbia, MO Metro Area",2023,1.67,37.95,0.28,11.45,67.48,100.00,0.75,0.15,100.00,6.58,74.50,16.50,100.00,1.55,46.55
"Seneca, SC Micro Area",2023,1.31,32.47,0.35,8.53,64.93,100.00,0.07,0.00,100.00,7.38,0.00,10.42,100.00,0.99,45.10
"Santa Fe, NM Metro Area",2023,0.00,43.12,0.00,10.88,68.52,0.00,0.00,0.00,100.00,5.78,0.00,11.10,0.00,1.57,34.12
"Pittsburgh, PA Metro Area",2023,1.07,33.00,0.00,9.38,64.33,100.00,0.43,0.02,100.00,8.15,0.00,18.55,100.00,0.00,35.35
"Madison, WI Metro Area",2023,1.07,42.52,0.00,12.28,74.45,100.00,10.00,0.20,100.00,8.82,100.00,27.85,100.00,15.90,63.25
"Centralia, WA Micro Area",2023,0.00,40.70,3.70,12.92,67.00,100.00,1.47,0.02,100.00,8.03,100.00,12.45,100.00,3.15,33.07
"Vallejo-Fairfield, CA Metro Area",2023,0.00,38.15,0.23,11.25,67.67,0.00,0.52,0.00,100.00,6.92,0.00,15.10,100.00,2.65,38.48
"Fairbanks, AK Metro Area",2023,0.00,39.18,0.23,12.35,77.23,100.00,0.00,0.00,100.00,7.92,0.00,5.67,100.00,0.00,29.42
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2023,0.00,43.40,1.02,14.15,74.97,0.00,0.75,0.08,100.00,8.87,14.67,11.68,0.00,1.45,37.55
"St. Louis, MO-IL Metro Area",2023,0.92,39.40,0.12,9.32,66.98,100.00,1.38,0.00,100.00,11.98,69.33,17.10,100.00,2.35,57.08
"New Philadelphia-Dover, OH Micro Area",2023,0.93,34.20,0.00,9.98,66.80,0.00,1.13,0.02,100.00,7.72,0.00,8.27,100.00,0.00,28.72
