CITY,Year,%homes heating with wood,% 16+ Yrs not in labor force,%workers taking taxi to work,%Total population 65-74,% of Owner Occupied Housing Units,%homes using solar energy,%homes with no heat,% homes heating with coal,%foriegn born,%workers carpooling,%homes using coal for heat energy,Percent of population Employed health insurance coverage ages 19-64,%homes using wood for heat energy,"%homes using oil, Kerosene for heat energy",Percetage of Labor force with Public Health Insurance
"Cleveland-Elyria, OH Metro Area",2023,0.00,34.65,0.07,8.73,67.45,100.00,1.57,0.00,100.00,8.55,0.00,6.72,0.00,0.00,44.47
"Mansfield, OH Metro Area",2023,1.29,47.77,0.11,10.97,66.39,100.00,2.44,0.10,100.00,11.37,97.67,28.14,100.00,1.02,60.73
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",2023,0.56,36.45,0.90,8.92,66.32,100.00,0.00,0.76,100.00,7.20,100.00,11.82,100.00,9.11,34.65
"South Bend-Mishawaka, IN-MI Metro Area",2023,0.00,48.72,1.00,10.32,61.05,100.00,44.52,0.00,100.00,7.65,0.00,29.27,100.00,0.00,50.12
"El Paso, TX Metro Area",2023,1.29,38.85,0.68,10.82,66.15,100.00,1.41,0.00,100.00,12.13,31.33,20.73,100.00,4.27,54.02
"Coeur d'Alene, ID Metro Area",2023,9.37,42.30,0.00,10.10,72.23,100.00,0.97,0.07,100.00,9.37,0.00,16.73,100.00,3.45,54.15
"Memphis, TN-MS-AR Metro Area",2023,1.43,33.92,0.53,10.93,69.13,30.83,1.75,0.10,100.00,8.92,44.50,13.32,100.00,24.33,50.37
"Bloomsburg-Berwick, PA Metro Area",2023,0.28,39.98,0.00,13.32,78.98,0.00,0.87,0.00,100.00,6.85,0.00,13.05,100.00,0.00,24.37
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2023,4.78,43.65,0.00,9.03,73.02,0.00,0.37,0.60,100.00,8.70,0.00,12.03,0.00,5.72,36.13
"Cookeville, TN Micro Area",2023,0.00,40.37,0.05,10.82,67.05,100.00,1.17,0.02,100.00,8.45,7.50,11.85,100.00,0.00,39.33
"Valdosta, GA Metro Area",2023,0.00,37.83,0.48,11.17,66.82,100.00,1.25,0.00,100.00,8.00,0.00,16.53,0.00,0.43,31.53
"Indianapolis-Carmel-Anderson, IN Metro Area",2023,4.99,41.02,0.00,11.68,65.70,100.00,0.55,0.00,100.00,10.38,0.00,22.05,100.00,0.00,51.52
"Daphne-Fairhope-Foley, AL Metro Area",2023,4.73,33.27,0.97,11.20,71.77,100.00,0.82,0.27,100.00,10.37,100.00,16.30,100.00,14.48,57.30
"Show Low, AZ Micro Area",2023,0.00,30.47,1.63,8.68,61.43,100.00,2.91,0.10,100.00,7.70,100.00,5.62,100.00,4.87,27.38
"Jackson, TN Metro Area",2023,1.30,39.35,0.73,12.80,69.73,100.00,0.80,0.95,100.00,10.82,100.00,11.20,100.00,23.33,33.25
"Beckley, WV Metro Area",2023,0.22,41.80,0.67,12.22,62.68,100.00,0.80,0.25,100.00,9.82,100.00,14.40,100.00,0.00,42.98
"Auburn, NY Micro Area",2023,0.00,38.80,0.42,11.55,71.73,0.00,0.97,0.00,100.00,6.75,0.00,10.72,100.00,0.15,53.73
"Champaign-Urbana, IL Metro Area",2023,0.00,41.17,0.00,12.12,73.75,100.00,1.33,0.03,100.00,7.99,100.00,14.18,100.00,2.78,29.62
"Boulder, CO Metro Area",2023,0.23,44.77,0.00,12.18,67.93,100.00,0.64,0.00,100.00,7.89,0.00,13.58,0.00,0.00,48.72
"New Haven-Milford, CT Metro Area",2023,0.00,28.60,1.45,8.35,64.92,100.00,1.12,0.00,100.00,6.48,36.67,9.62,100.00,0.00,35.95
"Provo-Orem, UT Metro Area",2023,0.00,40.98,0.28,12.50,74.95,100.00,1.87,0.05,100.00,6.93,41.17,13.00,0.00,1.97,21.03
"Zanesville, OH Micro Area",2023,0.00,28.57,1.85,10.00,70.85,100.00,0.00,0.02,100.00,5.60,100.00,8.30,100.00,1.33,39.72
"Wausau, WI Metro Area",2023,1.00,41.93,0.70,11.47,65.28,100.00,0.30,1.02,100.00,7.80,100.00,15.33,100.00,0.00,25.00
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2023,0.31,44.27,0.00,12.73,69.88,100.00,1.42,0.01,100.00,7.57,0.00,9.60,0.00,0.45,27.27
"Bloomington, IN Metro Area",2023,0.65,37.65,0.33,12.83,71.65,5.00,0.98,0.03,100.00,8.72,29.83,9.35,100.00,0.77,21.02
"Elmira, NY Metro Area",2023,0.27,39.38,0.47,12.57,70.13,100.00,1.13,0.00,100.00,10.38,51.25,14.18,100.00,3.23,35.27
"Lumberton, NC Micro Area",2023,2.91,35.10,0.33,12.65,78.10,100.00,0.68,0.06,100.00,4.58,28.33,14.68,100.00,3.26,40.72
"Rochester, MN Metro Area",2023,0.92,35.77,1.02,11.90,71.02,100.00,1.28,0.03,100.00,6.40,100.00,11.10,100.00,16.28,31.50
"Findlay, OH Micro Area",2023,0.00,54.78,0.00,16.60,82.87,100.00,1.10,0.00,100.00,8.62,0.33,18.30,100.00,0.00,53.25
"Traverse City, MI Micro Area",2023,1.07,43.17,0.40,10.28,65.27,100.00,1.13,4.08,100.00,8.97,100.00,16.17,100.00,8.36,54.50
"Tupelo, MS Micro Area",2023,2.08,37.12,1.48,11.28,61.70,100.00,1.29,0.03,100.00,8.50,88.25,16.93,100.00,11.25,27.97
"Athens, OH Micro Area",2023,1.15,31.97,1.25,11.62,68.02,100.00,0.63,0.67,100.00,10.98,100.00,17.48,100.00,1.92,48.67
"College Station-Bryan, TX Metro Area",2023,4.02,43.98,0.00,10.88,71.20,90.17,1.00,0.12,100.00,10.48,46.00,21.73,100.00,4.07,58.02
"Punta Gorda, FL Metro Area",2023,0.00,37.53,0.28,11.62,69.35,100.00,1.78,0.05,100.00,7.00,68.75,10.63,100.00,1.05,29.18
"San Francisco-Oakland-Hayward, CA Metro Area",2023,9.85,42.90,0.00,11.33,65.30,0.00,0.00,0.00,100.00,10.48,0.00,17.52,100.00,2.58,62.23
"Niles-Benton Harbor, MI Metro Area",2023,0.05,43.98,0.00,10.35,65.18,0.00,0.87,0.00,100.00,9.03,0.00,19.50,0.00,0.00,52.27
"Olean, NY Micro Area",2023,0.00,39.38,0.57,14.42,75.00,100.00,1.10,0.00,100.00,7.78,0.00,8.65,45.33,0.00,33.63
"Alamogordo, NM Micro Area",2023,3.40,32.47,1.50,10.57,67.48,100.00,0.42,0.65,100.00,10.33,100.00,2.12,100.00,8.15,32.70
"Shreveport-Bossier City, LA Metro Area",2023,0.00,32.23,1.62,10.20,65.12,100.00,2.90,0.19,100.00,6.93,100.00,12.73,100.00,7.08,30.50
"Spokane-Spokane Valley, WA Metro Area",2023,0.00,43.25,0.00,12.40,71.08,100.00,0.17,0.00,100.00,10.53,0.00,9.35,100.00,0.00,19.93
"Hot Springs, AR Metro Area",2023,4.17,27.98,1.83,8.30,56.95,100.00,0.41,0.07,100.00,9.28,100.00,10.27,100.00,14.19,22.27
"Lafayette-West Lafayette, IN Metro Area",2023,6.09,40.70,1.37,11.78,66.57,100.00,14.55,0.03,100.00,12.92,29.17,14.83,100.00,2.29,42.87
"Little Rock-North Little Rock-Conway, AR Metro Area",2023,2.86,43.18,0.63,13.22,75.52,25.17,0.92,0.28,100.00,8.45,100.00,11.87,100.00,3.87,34.90
"Pine Bluff, AR Metro Area",2023,3.18,31.95,1.35,10.48,67.00,0.00,0.08,0.47,100.00,8.78,100.00,16.75,100.00,6.22,39.92
"Urban Honolulu, HI Metro Area",2023,2.85,38.80,0.00,10.48,66.27,0.00,0.00,0.00,100.00,9.02,0.00,19.33,100.00,0.81,43.15
"Watertown-Fort Atkinson, WI Micro Area",2023,6.01,43.00,0.00,12.00,73.65,100.00,0.75,1.51,100.00,7.20,100.00,15.23,100.00,24.53,40.80
"Cincinnati, OH-KY-IN Metro Area",2023,0.80,37.97,0.45,12.63,68.03,100.00,0.87,0.12,100.00,10.93,100.00,14.52,100.00,3.88,39.95
"Prescott, AZ Metro Area",2023,0.00,36.95,1.07,10.65,69.55,100.00,3.90,0.00,100.00,7.48,0.00,13.93,100.00,0.00,31.02
"Canton-Massillon, OH Metro Area",2023,0.47,46.93,0.52,11.97,70.32,100.00,1.03,1.77,100.00,11.90,100.00,19.25,0.00,2.80,43.32
"Jackson, MI Metro Area",2023,0.47,42.78,0.00,12.28,74.95,100.00,0.00,0.00,100.00,8.38,100.00,19.22,100.00,6.39,49.28
"Cleveland, TN Metro Area",2023,0.00,29.63,0.82,8.55,66.27,100.00,1.15,0.20,100.00,8.17,83.50,7.92,100.00,34.52,47.25
"Napa, CA Metro Area",2023,0.28,40.67,1.23,10.47,67.75,100.00,2.32,0.13,100.00,6.88,100.00,16.10,100.00,4.09,44.47
"Aguadilla-Isabela, PR Metro Area",2023,0.00,30.60,2.52,9.83,63.72,100.00,0.73,0.04,100.00,7.50,92.92,3.60,100.00,12.27,20.45
"Palatka, FL Micro Area",2023,0.48,37.68,8.02,13.55,67.32,100.00,0.00,0.00,100.00,6.68,100.00,10.78,100.00,5.53,48.70
"Springfield, OH Metro Area",2023,1.18,37.30,0.95,13.30,60.05,100.00,1.95,0.08,100.00,8.97,0.00,18.10,100.00,6.00,40.37
"Kapaa, HI Micro Area",2023,2.40,62.02,0.00,18.12,79.43,0.00,0.00,0.00,100.00,7.11,0.00,18.33,100.00,3.32,50.48
"Huntington-Ashland, WV-KY-OH Metro Area",2023,7.73,45.40,0.30,12.15,67.65,56.75,0.55,0.03,100.00,6.73,0.00,12.58,100.00,0.48,38.30
"Madera, CA Metro Area",2023,1.33,39.38,0.27,11.98,68.90,100.00,10.15,0.05,100.00,8.17,100.00,27.33,100.00,28.30,56.98
"Plattsburgh, NY Micro Area",2023,0.00,41.22,0.07,10.95,67.95,100.00,1.60,0.08,100.00,9.18,0.00,17.78,0.00,0.00,33.75
"Columbus, OH Metro Area",2023,0.41,41.30,0.07,12.50,69.95,72.58,0.88,0.03,100.00,7.87,0.00,16.43,0.00,1.79,51.85
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2023,3.53,35.27,1.30,11.48,67.80,100.00,1.25,0.00,100.00,6.82,0.00,12.03,100.00,14.20,37.77
"Walla Walla, WA Metro Area",2023,0.00,36.08,1.38,10.03,62.88,100.00,0.37,0.00,100.00,7.43,0.00,10.80,100.00,6.07,21.65
"Wheeling, WV-OH Metro Area",2023,0.80,42.37,0.27,10.68,70.08,100.00,1.40,0.23,100.00,12.20,100.00,13.25,100.00,1.15,25.53
"Fond du Lac, WI Metro Area",2023,2.35,39.88,0.84,9.62,69.32,84.50,0.58,1.60,100.00,7.23,100.00,13.25,100.00,5.23,26.28
"Corvallis, OR Metro Area",2023,0.00,38.25,0.37,11.13,71.93,100.00,0.72,0.00,100.00,10.10,100.00,15.72,100.00,0.00,55.98
"Nacogdoches, TX Micro Area",2023,0.72,38.85,1.20,9.23,63.67,100.00,2.28,0.00,100.00,10.15,28.50,17.73,100.00,0.00,42.77
"Spartanburg, SC Metro Area",2023,0.00,40.78,1.28,10.67,57.92,100.00,30.13,0.00,100.00,8.38,0.00,17.38,100.00,0.00,45.97
"Killeen-Temple, TX Metro Area",2023,5.03,41.32,2.25,12.83,72.47,100.00,0.95,0.03,100.00,8.45,100.00,12.58,100.00,7.94,47.75
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2023,3.84,33.90,0.00,9.72,63.15,0.00,0.00,0.10,100.00,13.17,5.25,13.50,100.00,11.46,36.28
"Jacksonville, FL Metro Area",2023,2.45,36.38,1.33,10.85,67.12,100.00,0.45,0.83,100.00,9.65,100.00,10.60,100.00,22.14,24.42
"Amarillo, TX Metro Area",2023,1.02,38.22,0.37,13.45,73.07,87.00,0.26,0.00,100.00,9.08,0.00,15.25,100.00,0.00,48.62
"Parkersburg-Vienna, WV Metro Area",2023,3.97,37.88,1.88,13.28,70.72,0.00,0.38,0.25,100.00,6.58,100.00,12.70,100.00,22.03,27.25
"Gainesville, FL Metro Area",2023,0.08,37.18,0.07,11.22,69.92,0.00,0.58,0.18,100.00,8.77,97.00,8.98,100.00,4.80,32.20
"Somerset, PA Micro Area",2023,0.00,43.53,3.33,9.70,58.73,100.00,2.25,0.00,100.00,8.10,0.00,22.40,100.00,0.00,42.83
"Medford, OR Metro Area",2023,0.03,32.35,0.08,11.43,67.83,0.00,0.45,0.00,100.00,6.77,0.00,9.92,100.00,22.97,43.12
"Kingsport-Bristol-Bristol, TN-VA Metro Area",2023,5.05,42.78,0.77,13.08,75.87,100.00,0.47,0.00,100.00,9.28,0.00,12.78,100.00,0.00,45.52
"Laurel, MS Micro Area",2023,0.38,34.70,0.00,10.93,71.32,0.00,0.08,0.18,100.00,8.83,38.00,12.75,100.00,3.96,56.60
"Gallup, NM Micro Area",2023,0.00,34.83,0.17,10.62,64.65,100.00,0.47,0.33,100.00,8.82,100.00,16.42,100.00,9.22,41.75
"Winston-Salem, NC Metro Area",2023,0.00,43.87,0.37,11.78,67.72,100.00,0.65,0.02,100.00,8.47,24.00,19.08,0.00,0.42,41.22
"Baltimore-Columbia-Towson, MD Metro Area",2023,0.60,38.07,2.30,11.85,64.88,100.00,0.43,0.22,100.00,8.35,100.00,14.57,100.00,7.87,41.00
"Oklahoma City, OK Metro Area",2023,0.00,39.37,0.42,15.17,70.25,100.00,1.22,0.02,100.00,8.73,0.00,9.70,100.00,8.13,29.22
"Wilmington, NC Metro Area",2023,2.02,34.42,1.20,9.40,71.78,100.00,0.43,0.00,100.00,9.78,0.00,10.50,100.00,19.68,33.38
"Roswell, NM Micro Area",2023,0.00,36.90,1.27,11.97,70.93,100.00,0.47,0.20,100.00,7.42,100.00,12.65,100.00,8.10,29.03
"Cape Girardeau, MO-IL Metro Area",2023,0.71,40.68,0.68,12.15,72.00,100.00,0.94,0.09,100.00,7.07,13.89,18.87,100.00,6.30,52.43
"Grand Rapids-Wyoming, MI Metro Area",2023,0.82,38.62,0.42,11.87,63.32,100.00,16.59,0.00,100.00,9.37,9.00,9.83,0.00,0.14,24.28
"Glens Falls, NY Metro Area",2023,0.57,35.73,0.27,9.08,69.67,100.00,1.00,0.00,100.00,7.82,0.00,9.13,100.00,0.00,22.75
"Austin-Round Rock, TX Metro Area",2023,0.42,44.78,2.77,11.48,71.63,100.00,1.05,0.23,100.00,6.98,100.00,16.38,100.00,0.00,42.17
"Elizabethtown-Fort Knox, KY Metro Area",2023,2.23,46.05,0.00,15.50,76.85,100.00,0.18,0.00,100.00,9.67,0.00,9.38,100.00,0.00,32.82
"Farmington, MO Micro Area",2023,0.00,40.23,0.00,10.95,70.20,100.00,12.16,0.00,100.00,11.67,0.00,15.70,100.00,1.24,28.88
"Marinette, WI-MI Micro Area",2023,1.61,41.67,0.00,11.09,62.37,100.00,1.00,0.11,100.00,10.77,19.56,22.59,100.00,3.40,48.93
"Jackson, MS Metro Area",2023,0.32,43.83,0.00,13.52,72.85,100.00,1.28,0.17,100.00,8.60,100.00,16.25,100.00,12.67,46.02
"Pottsville, PA Micro Area",2023,0.00,35.13,0.80,10.42,67.33,100.00,2.28,0.00,100.00,7.92,0.00,12.88,100.00,0.00,33.27
"Watertown-Fort Drum, NY Metro Area",2023,1.54,42.87,0.28,11.45,69.93,100.00,0.43,1.42,100.00,7.35,100.00,13.25,100.00,0.00,22.23
"Bowling Green, KY Metro Area",2023,0.60,42.78,0.00,11.93,72.58,100.00,0.49,0.00,100.00,8.02,0.00,12.10,0.00,0.00,45.08
"Cheyenne, WY Metro Area",2023,1.08,40.08,0.72,11.68,71.78,100.00,0.57,0.04,100.00,5.18,40.83,19.37,100.00,11.60,38.22
"Lynchburg, VA Metro Area",2023,2.83,31.50,0.40,11.95,75.23,100.00,0.50,0.09,100.00,5.03,100.00,15.47,100.00,12.71,39.23
"McAllen-Edinburg-Mission, TX Metro Area",2023,0.50,32.08,1.28,10.30,64.32,100.00,2.17,0.45,100.00,8.61,100.00,11.32,100.00,0.00,30.57
"Michigan City-La Porte, IN Metro Area",2023,0.87,34.00,0.83,10.70,55.80,100.00,1.23,0.63,100.00,9.32,100.00,15.03,100.00,5.58,48.88
"Fort Smith, AR-OK Metro Area",2023,0.19,35.35,3.30,9.38,63.90,100.00,0.66,0.57,100.00,10.23,100.00,13.23,100.00,3.15,42.92
"Albany-Schenectady-Troy, NY Metro Area",2023,1.33,35.97,0.32,9.65,70.67,100.00,0.45,0.13,100.00,5.75,22.83,12.37,100.00,19.08,31.85
"New Orleans-Metairie, LA Metro Area",2023,0.78,29.73,0.35,9.18,66.97,100.00,1.13,0.00,100.00,7.53,21.50,10.98,100.00,0.00,29.33
"Wichita, KS Metro Area",2023,1.05,38.97,0.62,9.45,64.90,100.00,0.68,0.23,100.00,9.42,100.00,10.83,100.00,2.37,37.60
"Janesville-Beloit, WI Metro Area",2023,0.10,40.40,1.98,9.63,66.10,100.00,0.63,0.03,100.00,8.78,63.67,11.18,100.00,2.15,41.45
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",2023,0.17,42.00,0.08,11.67,61.88,100.00,1.78,0.00,100.00,7.55,0.00,7.58,100.00,0.00,31.95
"Manitowoc, WI Micro Area",2023,0.31,45.52,0.12,13.18,66.60,100.00,5.59,0.02,100.00,10.55,55.58,22.55,100.00,0.00,54.62
"Winchester, VA-WV Metro Area",2023,0.00,38.80,0.45,9.75,65.50,100.00,0.55,0.00,100.00,8.42,0.00,11.45,100.00,0.00,37.07
"Forest City, NC Micro Area",2023,3.13,44.32,0.97,10.57,70.75,100.00,1.22,2.55,100.00,6.96,100.00,17.10,100.00,12.21,37.78
"Baton Rouge, LA Metro Area",2023,2.92,37.15,1.50,10.40,65.60,100.00,1.60,0.00,100.00,9.42,0.00,16.58,100.00,0.00,33.22
"Oshkosh-Neenah, WI Metro Area",2023,1.82,41.98,1.57,10.57,69.48,100.00,0.95,1.38,100.00,10.73,100.00,13.95,100.00,5.23,43.78
"Meridian, MS Micro Area",2023,0.00,33.48,0.53,10.75,66.38,100.00,1.63,0.02,100.00,8.17,8.33,14.58,0.00,2.08,53.00
"Bozeman, MT Micro Area",2023,0.03,40.58,0.45,11.15,70.77,100.00,0.83,0.00,100.00,8.07,27.08,10.23,100.00,1.28,36.20
"Chico, CA Metro Area",2023,1.27,41.48,1.25,10.88,69.42,100.00,0.33,1.88,100.00,11.32,100.00,16.32,100.00,15.67,32.47
"Wichita Falls, TX Metro Area",2023,0.03,42.22,1.50,11.60,70.02,100.00,1.46,0.00,100.00,9.17,5.67,12.57,100.00,0.87,22.28
"Sebastian-Vero Beach, FL Metro Area",2023,0.47,33.82,0.00,10.28,71.60,100.00,0.63,0.07,100.00,8.42,39.17,10.72,0.00,0.00,34.45
"Ann Arbor, MI Metro Area",2023,1.24,45.95,0.00,12.50,75.80,26.83,0.53,0.01,100.00,8.42,0.00,13.20,100.00,0.94,30.32
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2023,3.18,39.05,0.00,12.42,71.40,0.00,0.00,2.85,100.00,7.30,100.00,11.20,100.00,19.11,23.13
"Bluefield, WV-VA Micro Area",2023,1.72,36.68,0.00,11.22,75.45,0.00,0.77,0.00,100.00,7.28,0.00,15.22,100.00,4.62,31.92
"Dover, DE Metro Area",2023,1.32,32.40,0.72,9.37,70.32,100.00,0.48,0.03,100.00,10.90,24.67,10.77,100.00,0.00,27.43
"Augusta-Waterville, ME Micro Area",2023,0.64,48.47,0.27,11.88,70.30,100.00,1.24,1.20,100.00,7.28,100.00,18.90,100.00,0.00,41.05
"Huntsville, TX Micro Area",2023,1.50,43.93,0.00,12.55,71.22,79.67,0.76,0.05,100.00,8.88,36.33,24.50,100.00,8.83,56.55
"Kansas City, MO-KS Metro Area",2023,0.10,38.43,0.52,11.93,70.17,100.00,0.93,0.48,100.00,10.09,100.00,15.65,100.00,26.63,35.13
"Boston-Cambridge-Newton, MA-NH Metro Area",2023,1.63,41.48,0.00,11.57,67.07,0.00,0.48,0.00,100.00,6.52,0.00,13.88,0.00,4.17,44.53
"Altoona, PA Metro Area",2023,3.58,36.05,0.73,13.58,70.15,100.00,1.03,0.00,100.00,7.85,0.00,12.83,100.00,13.35,33.37
"Wilson, NC Micro Area",2023,1.42,35.88,0.37,9.98,70.17,100.00,0.38,0.00,100.00,7.13,0.00,10.22,100.00,15.26,36.75
"Fresno, CA Metro Area",2023,0.66,42.58,2.17,11.38,68.80,0.00,0.49,0.59,100.00,8.95,100.00,9.75,100.00,9.38,36.50
"Tampa-St. Petersburg-Clearwater, FL Metro Area",2023,4.55,41.28,0.18,13.23,76.55,0.00,0.48,0.00,100.00,9.10,0.00,10.70,100.00,1.13,42.72
"Farmington, NM Metro Area",2023,0.00,34.62,0.13,10.02,73.42,0.00,0.33,0.00,100.00,11.85,0.00,13.52,100.00,3.56,32.23
"Cedar Rapids, IA Metro Area",2023,2.88,45.15,3.70,12.82,68.72,100.00,1.11,0.01,100.00,8.27,100.00,20.10,100.00,6.41,59.25
"Shelton, WA Micro Area",2023,0.00,33.30,1.18,10.88,70.03,100.00,0.81,0.00,100.00,8.02,0.00,8.27,100.00,3.36,33.45
"Ithaca, NY Metro Area",2023,0.00,44.18,0.00,11.15,75.43,100.00,0.00,0.00,100.00,7.17,0.00,17.65,100.00,0.00,43.98
"Eureka-Arcata-Fortuna, CA Micro Area",2023,0.03,36.65,0.38,9.30,68.20,100.00,0.63,1.08,100.00,8.23,100.00,7.93,100.00,27.92,28.60
"Naples-Immokalee-Marco Island, FL Metro Area",2023,1.81,39.15,0.97,10.70,73.07,100.00,1.81,0.23,100.00,4.88,100.00,16.35,100.00,7.81,53.98
"Asheville, NC Metro Area",2023,2.84,34.90,0.80,11.78,63.87,100.00,0.62,0.18,100.00,9.92,93.33,9.32,100.00,2.95,39.95
"Victoria, TX Metro Area",2023,1.58,46.72,0.00,13.08,68.37,0.00,1.31,1.60,100.00,6.42,100.00,13.80,0.00,11.28,49.58
"Ogden-Clearfield, UT Metro Area",2023,0.87,44.22,0.27,13.93,63.37,100.00,0.87,0.03,100.00,8.18,51.08,18.60,100.00,9.79,50.33
"Utica-Rome, NY Metro Area",2023,0.00,39.92,0.00,9.07,65.50,100.00,0.00,0.00,100.00,8.48,0.00,15.08,100.00,0.00,42.68
"Dallas-Fort Worth-Arlington, TX Metro Area",2023,0.00,43.72,0.88,12.12,65.95,0.00,0.63,0.00,100.00,11.35,0.00,7.92,100.00,0.00,36.15
"Las Cruces, NM Metro Area",2023,0.00,42.63,0.00,10.37,63.82,100.00,0.26,0.34,100.00,11.36,100.00,17.93,0.00,4.49,46.02
"Brainerd, MN Micro Area",2023,0.00,41.62,1.03,12.12,69.80,100.00,0.77,0.00,100.00,6.95,27.08,7.30,100.00,0.70,29.37
"Ukiah, CA Micro Area",2023,0.00,39.60,1.20,9.55,63.18,100.00,1.43,0.38,100.00,8.22,100.00,11.43,100.00,7.31,34.47
"Lexington-Fayette, KY Metro Area",2023,2.07,39.27,0.30,11.15,68.33,100.00,0.77,0.03,100.00,7.57,33.00,17.08,100.00,0.00,41.00
"Colorado Springs, CO Metro Area",2023,2.95,41.15,0.31,10.50,67.67,100.00,0.88,0.13,100.00,7.98,100.00,23.25,100.00,4.43,57.92
"Columbia, SC Metro Area",2023,6.50,36.70,0.70,10.02,62.33,100.00,0.50,0.12,100.00,8.43,24.17,13.82,100.00,1.47,41.42
"Barnstable Town, MA Metro Area",2023,2.15,38.13,0.00,9.17,62.58,64.00,0.78,0.00,100.00,10.28,0.00,18.48,71.50,0.00,35.28
"Clarksburg, WV Micro Area",2023,3.57,41.30,0.62,13.07,63.22,100.00,0.75,0.00,100.00,9.37,0.00,19.27,100.00,0.00,51.60
