NAME,DP05_0025E,DP05_0015PE,DP05_0020E,,DP03_0107E,DP03_0107PE,DP03_0062E,DP03_0112PE,DP03_0007PE,DP03_0114PE,DP03_0008PE,DP02_0072PE,DP02_0077PE,DP04_0047E,DP04_0049E,DP04_0135E,DP04_0046PE,DP04_0091E,DP04_0091E,DP04_0092E,DP04_0082PE,DP03_0088E,DP04_0089E,DP04_0134E,DP02_0070PE
,Total Population of 18+,Total population 65-74,Total population 16+,,Employed health insurance coverage ages 19-64,Percent of population Employed health insurance coverage ages 19-64,Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Unemployed!!With health insurance coverage!!With public coverage,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,Percent Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,Estimate!!HOUSING TENURE!!Occupied housing units!!Renter-occupied,Estimate!!HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit,,Percent Estimate!!HOUSING TENURE!!Occupied housing units!!Owner-occupied,Estimate!!MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage,Estimate!!MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage,Estimate!!MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage,"Percent Estimate!!VALUE!!Owner-occupied units!!$50,000 to $99,999",Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars),Owner-occupied units!!Median (dollars),Estimate!!GROSS RENT!!Occupied units paying rent!!Median (dollars),Percent Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population
"Bloomsburg-Berwick, PA Metro Area",68591,11.1,70313,,3677,9.9,50984,55.9,40.4,11582,41892,14937,34.2,10160,1.94,795,70.5,13475,13475,10835,13,29967,172600,733,82305
"Bluefield, WV-VA Micro Area",79886,13.2,82159,,4584,13.5,39276,59.7,52.8,19476,38776,20007,48.8,12781,2.52,2473,70.1,12416,12416,17547,34.8,22088,166200,704,98185
"Boise City, ID Metro Area",550231,9,570659,,20883,6.4,61407,17.6,35.8,86199,365115,181831,33.8,77507,2.44,2542,71.1,131521,131521,59261,2.5,30140,90100,946,722537
"Boston-Cambridge-Newton, MA-NH Metro Area",3912534,9,4029372,,309985,12.9,88711,42.7,31.2,534735,2766972,961874,31,722050,2.23,24401,60.9,783497,783497,342251,1,47358,264400,1501,4828239
"Boulder, CO Metro Area",263938,8.8,271260,,14444,8.9,83755,29.9,31.8,41373,184954,62101,25.4,47943,2.24,968,62.6,54927,54927,25425,1.3,45923,464600,1498,323907
"Bowling Green, KY Metro Area",136580,9.3,141445,,10782,13.9,51365,62.8,36.2,26098,90047,40507,42.5,24664,2.39,1470,63.4,26505,26505,16255,15,25758,554100,778,175353
"Bozeman, MT Micro Area",89013,8.3,91778,,4653,7.6,68266,18.4,27.4,11194,66507,22848,24.3,17010,2.24,764,61.7,17064,17064,10349,3.5,34879,166600,1105,111354
"Brainerd, MN Micro Area",73891,13.5,76669,,7692,20.1,51177,39.4,41.2,10927,45055,20488,28.9,8769,1.98,642,78.3,18626,18626,13106,9.9,29256,412100,717,93346
"Branson, MO Micro Area",70184,15.5,72165,,2926,9.6,41913,14.7,47.5,13043,37915,17371,36.8,8728,2.24,-999999999,75.9,13860,13860,13613,22.2,23603,202600,710,86769
"Bremerton-Silverdale, WA Metro Area",214549,11.2,220424,,15862,14.4,76945,47.8,36.3,34552,126416,55221,32.7,31694,2.25,1478,69.9,50093,50093,23624,2.1,38588,142600,1305,254318
"Bridgeport-Stamford-Norwalk, CT Metro Area",731833,8.7,758754,,46560,10.7,91079,38.4,32.5,102583,512200,211965,26.3,118537,2.51,3863,65.7,156205,156205,70892,1.9,56135,363400,1439,936043
"Brownsville-Harlingen, TX Metro Area",295146,7.6,310656,,8280,5.3,38378,14.1,44.6,66505,171778,128673,39.1,41899,3.27,4087,66.4,33104,33104,49809,36.8,16788,435000,712,422224
"Brunswick, GA Metro Area",91708,12.6,93988,,2530,5.5,50499,24.9,42.5,16922,53958,25123,35.2,14931,2.33,1464,68.4,15282,15282,17053,18.8,31256,86500,925,115595
"Cape Girardeau, MO-IL Metro Area",73859,9.4,75410,,3548,8.5,48026,11,36.6,12582,47798,19699,36.2,11688,2.52,657,66,12577,12577,10103,16,22977,155600,774,92312
"Carbondale-Marion, IL Metro Area",99109,9.9,102092,,10209,20,42716,27.4,42.4,18605,58844,25308,41.9,22200,2.08,1358,56.6,13919,13919,15086,26.5,25211,152900,692,122035
"Carson City, NV Metro Area",44098,11.2,45486,,2340,9.9,56160,44.2,36.5,5500,28871,11316,37.8,9744,2.25,-999999999,57.8,-999999999,-999999999,-999999999,2.3,34086,114400,1004,53061
"Casper, WY Metro Area",60201,9.1,62587,,1683,4.5,64833,24.1,31.6,8117,42462,18832,40.5,9410,2.06,-999999999,70.8,-999999999,-999999999,-999999999,4.8,36004,316800,857,77768
"Cedar Rapids, IA Metro Area",209122,9.4,216129,,13708,10.6,62882,24.4,31.8,24527,147198,62943,30.2,26385,2,1094,75.8,55575,55575,27231,11,33668,211000,695,269041
"Centralia, WA Micro Area",62605,12.4,64562,,4747,16.3,61058,65.4,46.9,13278,34187,16835,42.2,8772,2.47,532,71.1,12883,12883,8672,4.4,28346,157400,907,78710
"Chambersburg-Waynesboro, PA Metro Area",120332,10.7,124906,,8094,11.8,61208,35.8,35.6,16643,80379,34173,34.3,16832,2.51,877,71.9,25093,25093,17909,6.2,30306,246400,833,153565
"Waco, TX Metro Area",204782,8.7,212277,,7524,6.8,47328,29.6,40.8,40270,125413,65470,41.7,40753,2.52,3927,58.2,28408,28408,28226,22.2,23849,180200,882,264478
"Walla Walla, WA Metro Area",51916,10.4,53626,,3866,15.3,59704,61,44.8,9496,29585,13678,36.5,9409,2.24,373,60.6,7800,7800,6684,7,26805,158400,890,62498
"Warner Robins, GA Metro Area",146268,7.6,152032,,10035,12.2,54024,17.1,37.3,27502,92344,47446,47.3,26258,2.56,1256,63.3,30477,30477,14776,22.5,31628,231900,853,188204
"Warsaw, IN Micro Area",60452,9.7,62008,,1769,4.6,55253,45.2,30,6673,43397,18867,24.9,8130,2.33,-999999999,73.6,12985,12985,9683,17.3,29026,140600,808,78496
"Wichita Falls, TX Metro Area",117558,8.7,121435,,4991,8.8,50309,32.7,39.4,19750,68547,33713,42.3,19483,2.39,1548,64.2,17668,17668,17278,33.6,25326,145500,750,137586
"Williamsport, PA Metro Area",90347,10.7,93463,,6347,13.4,55045,54.4,41.6,14205,54575,23269,34.4,13722,2.38,678,69.2,17497,17497,13366,17.2,27306,101500,776,110479
"Wilmington, NC Metro Area",238670,10.8,244872,,10530,8,52756,21.6,39.7,43430,146562,55744,29.5,47436,2.15,1855,60.8,48260,48260,25190,5.6,31517,161200,1056,290384
"Wilson, NC Micro Area",62772,10.9,64386,,3217,9.5,42769,27.5,37.3,10252,40337,18643,34.9,12677,2.71,1066,60.2,10805,10805,8335,28.2,24629,239600,736,80495
"Watertown-Fort Atkinson, WI Micro Area",67075,10.4,70074,,2599,6.2,65651,43.4,29.7,6935,49177,18044,26.7,8854,2.15,-999999999,73.3,15634,15634,8692,3.2,33545,121800,881,84574
"Watertown-Fort Drum, NY Metro Area",84956,8.1,87104,,8121,20,53146,56.8,36.9,14410,45206,26768,34.8,20244,2.2,1052,54.7,14435,14435,9978,22.1,26769,198600,958,99885
"Wausau, WI Metro Area",104581,9.9,108677,,4318,6.7,62890,21.5,32.9,12441,72924,30821,29.2,15745,2.01,943,72,23968,23968,16532,13.4,34986,145600,756,134394
"Weirton-Steubenville, WV-OH Metro Area",97613,13.1,99614,,7747,16.7,43747,68.4,46.6,18986,53099,22568,36.1,14531,2.14,1892,71.9,17987,17987,19162,39,27359,164800,628,118948
"Wenatchee, WA Metro Area",90827,10.5,93724,,8130,15.1,61714,62.2,34.9,12314,60984,29085,42.4,16817,2.37,-999999999,64.9,18493,18493,12545,2.5,33831,89800,932,119191
"Wheeling, WV-OH Metro Area",113031,12.6,116836,,7270,13.3,49749,52.2,45.7,20888,63452,26816,36.6,13270,2.3,2064,74.7,16733,16733,22432,33.8,26199,304800,640,135322
"Whitewater-Elkhorn, WI Micro Area",82476,10.4,84938,,5849,11.6,63800,42.2,32.9,11661,56941,21234,26.5,13585,2.52,246,66.8,16441,16441,10838,5.1,32933,109400,887,103041
"Wichita, KS Metro Area",481199,8.7,498466,,18663,6.5,56909,23.9,34.3,71137,325303,163435,36.5,83628,2.3,3306,66.4,101343,101343,63828,23.4,29180,205000,785,635502
"Winchester, VA-WV Metro Area",109510,10.6,114065,,5047,8.1,65170,35.7,37,16629,71523,32117,36.2,16538,2.35,1508,69.2,23556,23556,13621,4.9,32934,144500,1013,139967
"Winston-Salem, NC Metro Area",523137,10.2,541219,,17539,6.2,48699,28.8,40.2,98391,322503,148062,33.9,96578,2.31,5896,64.3,106621,106621,67573,16.7,28572,243400,754,665211
"Wisconsin Rapids-Marshfield, WI Micro Area",57389,11.2,59152,,3744,11.5,55273,73,37.7,8111,36840,15657,33.7,9560,2.16,314,70.4,11643,11643,11071,26.8,31272,157900,743,72536
"Wooster, OH Micro Area",87875,9.8,91122,,4889,9.7,59111,17,37,13886,57450,27985,32.2,11847,2.24,788,73,17674,17674,14387,11.8,27481,129400,723,114884
"Worcester, MA-CT Metro Area",750705,9.2,775749,,67941,15.3,70869,42.6,34.1,115997,510306,196468,30.2,119144,2.23,4928,66.3,163791,163791,70467,1.7,36369,155800,1053,934908
"Yakima, WA Metro Area",176996,8.1,184095,,16847,17.1,51555,49.5,39.3,34125,111600,74403,34.9,30382,2.89,1982,63.5,31478,31478,21460,8.7,22091,281000,797,248778
"York-Hanover, PA Metro Area",349333,10.1,361664,,17788,8.7,65239,28.5,35.1,51302,234528,98854,32.8,43236,2.38,1424,75.1,84636,84636,46086,8.5,33004,186500,930,443256
"Youngstown-Warren-Boardman, OH-PA Metro Area",430884,12,445710,,36293,16.8,47476,57.9,42.1,71060,257768,107203,33,68788,2.17,4459,69.8,84776,84776,73913,27.2,27587,183000,660,527008
"Yuba City, CA Metro Area",128604,7.7,133540,,13455,20.9,54745,44.4,40.7,28135,76860,46227,37.3,23342,2.73,809,59.9,22395,22395,12443,2.2,25576,114700,942,171343
"Yuma, AZ Metro Area",158496,9.3,164347,,17276,23.8,43403,55.6,47.3,30219,82755,53632,33.7,25582,2.76,1339,65.7,27611,27611,21339,15.7,21484,295000,884,205357
"Zanesville, OH Micro Area",66500,10.1,69228,,5278,14.4,49602,75.3,39.9,11601,41631,19643,41,9854,2.27,622,71.4,14801,14801,9816,25.1,26994,140600,710,85373
"Charleston-North Charleston, SC Metro Area",615712,9.5,633420,,29638,8.2,64283,31.2,34.5,96168,405879,171648,33.1,96956,2.48,5225,67.1,131340,131340,66128,6.4,35374,120000,1201,771374
"Champaign-Urbana, IL Metro Area",192368,7.9,197363,,10758,10.2,52912,40.5,38.2,39628,121806,44735,32.5,41411,2,958,57.1,35047,35047,19991,19.8,30462,252900,809,235139
"Charleston, WV Metro Area",168751,12,173394,,11334,14.5,40806,53.2,47.9,39713,90314,42459,36.5,27413,2.08,4658,69.8,25243,25243,38072,28.6,27785,160600,764,209058
"Charlotte-Concord-Gastonia, NC-SC Metro Area",1958453,8.3,2030682,,69075,5.7,62068,21.5,32.8,301932,1363607,610093,31.6,329130,2.49,14349,65.7,442090,442090,189077,9.8,34639,113100,1042,2551649
"Charlottesville, VA Metro Area",188716,10.6,193139,,4237,4.2,71052,25.9,39.4,32193,116527,42733,31.2,33003,2.28,2819,62.8,34992,34992,20770,3,44099,215500,1186,226190
"Chattanooga, TN-GA Metro Area",443017,10.3,456484,,18694,7.7,54732,29.2,38.5,76610,280468,115554,38,70248,2.26,4534,68.2,89038,89038,61847,14.7,30057,299000,834,552122
"Cheyenne, WY Metro Area",75854,9.9,78343,,3389,8.2,64306,31.7,36.2,12346,47023,23088,33.4,11186,2.32,-999999999,71.8,19441,19441,9051,1.3,34448,162200,893,95265
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",7338745,8.5,7589015,,396388,8.9,70760,37.2,32.9,1088815,5080038,2156404,30.4,1246171,2.39,39659,64.8,1509893,1509893,782037,6.3,38105,246500,1110,9406512
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",901997,10.2,931734,,75421,14.9,56195,51,38.2,148410,574761,227658,32.7,166746,2,7063,65.3,186398,186398,126962,16.9,32691,247800,809,1116982
"Burlington, NC Metro Area",129481,9.7,133308,,4310,6.1,49979,37.1,38.7,22716,81671,36930,40.6,21578,2.41,1199,66.6,26783,26783,16339,17.7,27589,155500,819,165380
"Burlington-South Burlington, VT Metro Area",179510,10,184706,,12934,11.6,71452,39.5,31.1,23101,126595,41082,27.8,29246,2.09,902,66.5,40316,40316,17767,2.8,35740,151900,1159,218697
"California-Lexington Park, MD Metro Area",85463,7.7,88694,,5568,10.8,92250,37.4,33.7,13126,56956,27201,36.7,11935,2.35,-999999999,71.1,22710,22710,6594,2.6,39459,279300,1266,109623
"Canton-Massillon, OH Metro Area",313278,11,322748,,19619,11.4,51624,44.2,38.6,47311,198155,85133,34,51879,2.17,2988,68.3,69877,69877,41870,22.8,28135,309800,715,393570
"Cape Coral-Fort Myers, FL Metro Area",621936,15.7,637646,,17591,6.1,56129,25.8,47.1,95641,337304,132464,26.8,76370,2.86,2992,72.8,105649,105649,99203,7.6,33010,137300,1190,750089
"Chico, CA Metro Area",185044,10.9,190638,,19361,20.6,51652,54.6,42.6,35848,109346,46114,34.1,36695,2.59,1818,58.6,30620,30620,21321,3.5,28915,235000,1066,229374
"Chillicothe, OH Micro Area",60791,10,63009,,4517,16.9,46769,50.3,50.2,12955,31292,16068,49.3,10065,2.15,581,66.2,10099,10099,9615,21.2,23377,274200,667,71344
"Cincinnati, OH-KY-IN Metro Area",1678948,9,1736448,,100044,9.9,62743,41.6,33.9,257469,1146468,509856,32.5,298002,2.19,11607,65.5,382456,382456,182077,13.8,34173,142100,850,2162574
"Claremont-Lebanon, NH-VT Micro Area",179820,13.1,184833,,13227,13.7,61558,49.7,37.1,27325,116137,37356,31,23895,2.1,1169,73.6,37726,37726,29031,7.3,33982,173500,1017,214968
"Clarksburg, WV Micro Area",72275,12,74356,,4975,14.3,45315,54.4,45.3,13988,40708,17382,37.3,10142,2.37,1698,71.8,10958,10958,14892,26.8,26229,216800,818,87725
"Clarksville, TN-KY Metro Area",214010,5.8,221020,,19949,18.8,51280,33.4,36.2,44904,122613,76717,41.8,44635,2.59,2084,57.3,40157,40157,19710,15.4,26283,116400,927,268933
"Clearlake, CA Micro Area",50872,15.2,52124,,7330,31.9,48554,38.9,47.3,10694,27414,13480,38.6,9361,2.49,-999999999,65,9484,9484,7929,12.9,29537,168600,1173,63594
"Cleveland, TN Metro Area",98735,9.9,101680,,5438,10.5,48101,35.8,39.4,19579,61513,26012,40.7,15235,2.51,1724,67.4,17013,17013,14530,17.5,25798,245700,770,123377
"Cleveland-Elyria, OH Metro Area",1623135,10.5,1675861,,109946,12.1,56203,51.7,36.4,241206,1064845,433105,33.4,308240,2.07,14167,64.4,348617,348617,209182,18.2,34355,161400,804,2032245
"Coeur d'Alene, ID Metro Area",124875,11.2,128401,,5952,8.5,55236,5.3,38.6,19678,78864,36528,31.6,18241,2.43,716,71.9,28850,28850,17864,4.1,30304,158000,1001,160376
"College Station-Bryan, TX Metro Area",207900,6.4,214535,,6070,5.4,50512,13.1,41.9,52267,124494,57067,33.8,47545,2.36,1457,49.7,23414,23414,23656,11.6,27166,276500,937,259658
"Colorado Springs, CO Metro Area",562799,8.3,581664,,47415,14.7,67430,41.3,31.6,86980,369520,175937,32.5,91756,2.48,3198,66.2,129023,129023,50915,1.5,33471,213100,1188,707574
"Columbia, MO Metro Area",143466,7.3,147029,,4649,5.3,54356,7.9,32.6,24445,99127,36398,34.4,33107,2.25,801,54.2,26026,26026,13084,6.6,29965,290100,878,178844
"Columbia, SC Metro Area",650530,9.2,671888,,30811,8.7,53765,32,36.4,113214,415289,182105,38.2,103613,2.51,5191,67.1,133615,133615,77864,16.2,28339,192200,946,807551
"Columbus, GA-AL Metro Area",232530,8.4,240490,,15053,13.5,49731,27.3,41,48892,130856,74547,42.2,50782,2.51,2252,55.7,38915,38915,24910,25,24808,156800,855,291150
"Columbus, IN Metro Area",63063,9.2,65756,,3490,9.6,62047,45.6,37.1,10994,41384,19581,29.1,9277,2.13,-999999999,70.9,14111,14111,8503,17.6,30152,147200,912,81784
"Columbus, OH Metro Area",1611549,8,1666326,,104596,10.6,64052,41,33,250800,1114965,494165,33.2,305707,2.33,11760,61.9,345029,345029,151069,11.2,33830,155700,947,2080065
"Concord, NH Micro Area",122537,11.2,125929,,6235,8.6,75088,31.9,32.9,14549,84382,28585,28.5,14219,2.02,377,75.7,28048,28048,16254,4.3,37119,196700,1012,147658
"Cookeville, TN Micro Area",88370,10,91247,,6174,13.1,45179,5.3,40.8,16404,53860,23385,48.1,16050,2.15,1632,65.2,15686,15686,14448,15.9,24315,239100,703,110390
"Coos Bay, OR Micro Area",53197,15.1,54529,,6224,26.6,50323,74.4,48.2,9779,28148,11169,41.1,9849,2.36,-999999999,64.7,-999999999,-999999999,-999999999,11.1,29009,152500,846,63727
"Corning, NY Micro Area",75407,11.3,78099,,7841,19.8,55569,65.2,41.2,13159,45897,20343,26.4,10854,2.03,611,73.3,13798,13798,15926,33.6,29880,205200,658,94678
"Corpus Christi, TX Metro Area",342134,9.1,354356,,14664,7.8,54264,17.5,38.7,63062,216027,110687,39.1,61902,2.58,3073,61.7,51444,51444,48347,21.9,27347,102600,1006,447304
"Corvallis, OR Metro Area",77331,9.9,79378,,4509,10.8,63773,42.7,39.5,14970,47980,14770,26.1,14620,2.26,-999999999,58.8,13053,13053,7847,2.2,32374,141200,1072,91904
"Crestview-Fort Walton Beach-Destin, FL Metro Area",217870,10.7,224551,,11294,10.2,63710,31.8,38.6,37522,128251,60618,37.9,34862,2.49,3448,67.8,44476,44476,29002,8.6,33738,356600,1105,264149
"Cullman, AL Micro Area",64550,10.9,66680,,1830,5.6,44612,17.4,43.8,13055,37492,18877,46.8,7563,2.62,-999999999,75.1,10619,10619,12141,23.2,25874,238600,710,82550
"Cumberland, MD-WV Metro Area",80689,11.6,82599,,8209,22,44607,55.3,44.8,11880,45577,17159,36.1,10560,2.33,1164,72.1,14454,14454,12879,27.1,24073,127700,650,91755
"Dallas-Fort Worth-Arlington, TX Metro Area",5585536,7,5808669,,171648,4.8,69445,12.1,31.2,893972,3991824,1953136,32.6,1071873,2.58,28450,59.1,999985,999985,552020,8.7,34971,119600,1152,7490827
"Dalton, GA Metro Area",106705,8.6,111877,,1850,3.1,45326,9.1,38.3,19741,68975,37236,39.4,17348,2.73,1045,66,18238,18238,15437,23.1,21838,238800,704,142839
"Danville, IL Metro Area",58760,10.8,60826,,3495,12.8,43655,63.8,45.5,10789,33062,18046,35.6,9518,2.34,1007,68.4,9973,9973,10675,38.3,23995,129000,675,74166
"Danville, VA Micro Area",80960,12.7,83223,,3771,10.3,39512,35.7,47.1,16600,43980,20634,36.7,14232,2.4,963,67.1,12438,12438,16590,26.7,22457,85000,705,99181
"Daphne-Fairhope-Foley, AL Metro Area",170866,12.5,176222,,4003,4.3,56813,37,40,27394,105280,47143,31.4,20491,2.57,2743,75.5,36924,36924,26086,10.2,32704,107100,1057,214983
"Davenport-Moline-Rock Island, IA-IL Metro Area",292683,10.1,302639,,20956,12.5,55635,32.4,35.8,40959,194322,87251,31.2,45674,2.23,2223,70.3,66017,66017,42174,24,31084,193800,777,375059
"Dayton, OH Metro Area",629327,10.2,650644,,47849,13.8,54942,47.7,37.1,98732,405457,176966,35.5,126278,2.19,5461,61.9,131539,131539,73609,22.9,31368,138500,786,793295
"Decatur, AL Metro Area",117833,10.2,121962,,3144,5.1,49133,20.6,42.7,23930,69800,34190,42.8,16484,2.63,2437,71.5,20207,20207,21172,23.1,26548,143600,705,150347
"Decatur, IL Metro Area",81615,11.2,84164,,5747,13.2,50066,47.1,38.6,10902,51700,23073,33.7,14604,2.18,693,67.2,16213,16213,13745,32.2,29539,132500,719,102467
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",544084,14.3,559164,,19302,7.7,51364,29,47.6,102772,292914,115213,36.1,71985,2.53,3240,72.3,102307,102307,85405,7.7,29355,102100,1048,654216
"Detroit-Warren-Dearborn, MI Metro Area",3371991,9.6,3486955,,245352,12.9,60513,50.8,37.4,590419,2180205,953296,35.2,528058,2.26,23383,69.1,708953,708953,473675,13.2,33733,199400,927,4297161
"Denver-Aurora-Lakewood, CO Metro Area",2273326,8.1,2349994,,161006,10.7,79478,36.4,28.1,286786,1687020,658097,30.1,417459,2.3,7666,63.1,530209,530209,183742,1.1,42116,180300,1388,2907940
"Des Moines-West Des Moines, IA Metro Area",489434,7.8,508393,,32430,10,71352,51.9,27.9,56295,366089,165617,30.7,77495,2.25,3185,69.6,125858,125858,51702,10,35601,420600,898,649190
"Dothan, AL Metro Area",114811,11.2,118751,,4069,7.4,45152,17.7,44.8,25294,65282,33313,36.7,16923,2.77,2162,69.5,20726,20726,17782,26.6,25106,195300,691,146692
"Dover, DE Metro Area",137905,9.7,141800,,13386,18,54419,74,39.1,25159,83964,40500,30.6,21718,2.55,906,68,28148,28148,17975,4.9,27508,125500,1017,175018
"DuBois, PA Micro Area",64707,11.3,66451,,5202,16.4,46205,42.7,45.7,10045,36069,14665,35.9,7473,1.86,700,76.6,12116,12116,12403,33.3,24968,228500,579,73881
"Dubuque, IA Metro Area",75327,9.8,77985,,5262,12,60225,58.3,34.4,10154,51120,21453,31.7,10620,2.18,762,72.4,16768,16768,11113,11,30732,99300,739,95638
"Duluth, MN-WI Metro Area",224510,10.9,230568,,16246,13.1,53767,53.5,38.1,34902,142104,54046,30.6,34689,1.99,2554,70.4,48642,48642,33895,18.2,29653,167100,763,273059
"Dunn, NC Micro Area",99284,7.6,103270,,5009,10.4,51022,20.3,42.3,23531,55395,34910,36.5,16056,2.84,755,65.1,18365,18365,11594,16.4,23571,161200,875,128542
"Durham-Chapel Hill, NC Metro Area",458396,9.4,471051,,15838,5.8,62114,13.2,35,74837,306162,116937,30.2,85856,2.28,3676,62,94123,94123,45720,7.1,37751,155400,1047,568778
"East Stroudsburg, PA Metro Area",136021,10,140323,,10451,14.6,64170,34.3,39.8,26811,84490,33462,33.4,12394,2.78,-999999999,77.5,26936,26936,15779,10.8,28188,250200,1019,168513
"Eau Claire, WI Metro Area",133636,9.9,137803,,6778,8.6,60081,38.7,34.7,18755,89952,34955,35.9,21539,2.18,1169,67.8,29519,29519,15738,9.5,29721,173500,793,165428
"El Centro, CA Metro Area",130996,7.3,136416,,16262,28.1,48984,71,47.8,27788,70917,50786,48.2,14294,4.16,617,65.8,16952,16952,10518,4.6,16920,171900,775,172029
"Elmira, NY Metro Area",66656,11.3,68809,,5777,16.7,53005,58.9,43,10690,39210,17542,39.2,11498,2.06,313,66.5,11713,11713,11114,36.7,30185,214400,794,81620
"El Paso, TX Metro Area",615954,6.9,642514,,23003,6.8,43862,15.2,37.7,118070,385524,228661,44.9,105469,2.78,5954,61.1,91134,91134,74519,27,21640,105300,800,822650
"Enid, OK Metro Area",45111,8.9,46697,,1978,8.2,53946,16.9,35.8,6995,28877,15699,52.2,8292,2.81,-999999999,63.9,7397,7397,7309,30.7,26596,123600,864,58638
"Erie, PA Metro Area",213954,10.3,221307,,19594,16.7,48007,53,38.8,33670,135069,57857,35.4,37828,2.09,2042,65.5,41167,41167,30802,20.2,26606,116800,761,265285
"Eugene, OR Metro Area",309710,11.9,317579,,29235,17.9,53172,43.1,40.5,55616,188439,69720,35.1,63589,2.31,2148,59.3,57350,57350,35133,2.1,29762,143700,998,377678
"Eureka-Arcata-Fortuna, CA Micro Area",110238,11.2,112359,,15427,26.6,50294,57.6,36.9,19459,70898,26073,35.9,26015,2.32,1212,53.4,15815,15815,13943,2.2,27406,281200,975,135418
"Evansville, IN-KY Metro Area",244582,9.9,253268,,11930,8.7,55412,25,37.4,40152,158606,70039,35.7,41340,2.04,1769,67.9,55406,55406,31934,19,31421,326400,767,309878
"Fairbanks, AK Metro Area",75113,7.4,77416,,5963,14.3,75448,36,28.5,12373,48699,23794,38,14768,2.37,-999999999,59.4,-999999999,-999999999,-999999999,5.5,36834,146400,1232,91940
"Elizabeth City, NC Micro Area",51394,12.1,52647,,2472,9.8,50391,28.1,42,8975,29624,15412,39.7,8302,2.23,-999999999,68.6,-999999999,-999999999,-999999999,13.5,24429,259500,783,64922
"Elizabethtown-Fort Knox, KY Metro Area",115208,8.7,119304,,12803,21.4,51147,60.6,40.2,23700,68631,37096,45.2,19371,2.55,2009,66.1,22276,22276,15451,17.4,28380,177700,817,147328
"Elkhart-Goshen, IN Metro Area",148938,8.2,155311,,8844,9.8,58350,42.6,32.2,21103,105272,56402,34,21444,2.53,1323,70.9,35518,35518,16698,17.5,25694,157800,804,202850
"Fargo, ND-MN Metro Area",189019,6.9,193867,,10466,8.1,65073,40.6,25.9,21172,143444,56375,29.9,42098,2.07,644,57.6,39000,39000,18208,3.3,36926,152800,831,243654
"Faribault-Northfield, MN Micro Area",51639,8.8,53662,,2829,9.8,65839,44.2,36.1,6364,34233,14876,26.2,5431,2.25,-999999999,76.7,11299,11299,6628,1.8,29771,221400,853,64002
"Farmington, MO Micro Area",52576,9.9,54740,,2307,9.2,46796,28.7,48.3,9518,28319,14039,43.1,8928,2.2,-999999999,65.2,-999999999,-999999999,-999999999,24.8,23478,218100,642,60045
"Farmington, NM Metro Area",92105,9,96348,,10207,23.4,44841,73.3,47.3,23356,50807,32820,43.8,12405,3.13,1955,71.6,13155,13155,18147,13.1,22067,126200,852,123698
"Fayetteville, NC Metro Area",290323,7,300733,,24485,17.6,46679,31.9,36.7,57610,159735,96527,44.2,68578,2.41,3964,53.3,53481,53481,24701,25,24514,149600,926,352949
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",414062,7.3,429714,,20151,8,57911,26.9,35.1,73978,278412,139621,36.9,78973,2.38,3883,61.5,77731,77731,48574,11.5,31222,138700,827,549900
"Findlay, OH Micro Area",59160,9.5,61500,,5357,14.8,60788,33.6,31.1,6909,42358,16770,34.1,9509,2.03,-999999999,69.9,13606,13606,8491,15.8,32438,173600,714,75072
"Flagstaff, AZ Metro Area",113399,7.8,116671,,7203,11.7,61843,27.3,38.4,23798,71793,29432,33.2,17576,2.42,1306,62.8,14639,14639,15060,9.3,27143,152900,1234,142140
"Flint, MI Metro Area",315339,10.1,325944,,32634,20,48127,57.4,40.7,60961,193304,91416,35.9,54063,2.23,3799,68.1,65927,65927,49479,18.7,28039,293800,747,404792
"Florence, SC Metro Area",157340,10.8,163126,,7941,10.1,42612,23.1,43.8,32362,91619,47599,30.4,25128,2.72,4947,66.9,26125,26125,24573,26.2,24914,118700,699,202846
"Florence-Muscle Shoals, AL Metro Area",118755,11.3,121777,,1962,3.2,49407,21.1,44.9,24115,66911,28366,37.9,19347,2.14,2067,67.7,19798,19798,20787,18.2,28081,124800,656,145745
