CITY,Total Population 65-74 %,Total Population 65-74 %,Total Population 65-74 %,16+ Yrs Not in Labor Force %,Percetage of Labor Force with Public Health Insurance,Percent of Population Employed Health Insurance Coverage Ages 19-64,of Owner Occupied Housing Units %,"Homes Using Oil, Kerosene for Heat Energy %",Homes Using Coal for Heat Energy %,Homes with No Heat %,Homes Using Wood for Heat Energy %,Homes Using Solar Energy %,Workers Carpooling %,Homes Heating with Coal %,Foriegn Born %,Foriegn Born %,Homes Heating with Wood %,Workers Taking Taxi to Work %,Workers Taking Taxi to Work %.

NAME,DP05_0015PE,DP05_0015PE,DP05_0015PE,DP03_0007PE,DP03_0112PE,DP03_0107PE,DP04_0049E,DP04_0046PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP02_0095PE,DP02_0095PE,DP04_0068PE,DP03_0021PE,DP03_0021PE
CATEGORY,Social,Political,Economic,Economic,Economic,Economic,Social,Social,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Political,Social,Environmental,Environmental,Social
"Burlington, NC Metro Area",10,10,10,33.1,32.8,9.8,2.07,70.1,5,47,0.8,2418,48,7.8,0.1,55.6,55.6,3.6,0.2,0.2
"Burlington-South Burlington, VT Metro Area",7.3,7.3,7.3,49.1,57.9,32,3.48,55.5,,,,,,11.8,,51,51,,1,1
"California-Lexington Park, MD Metro Area",9.5,9.5,9.5,41.9,42.6,17.7,2.42,64.6,0.3,112,0.7,1283,88,7.6,0.2,69.5,69.5,2.2,0.3,0.3
"Canton-Massillon, OH Metro Area",8.7,8.7,8.7,34.2,15.5,6.2,2.7,72.9,0.1,97,0,1914,0,14.9,0.1,39.5,39.5,2.8,0.5,0.5
"Cape Coral-Fort Myers, FL Metro Area",10.7,10.7,10.7,41.3,43,18.4,2.41,71.9,5.3,352,0.3,1178,0,6.3,1.1,58.7,58.7,3.5,1.6,1.6
"Chico, CA Metro Area",7.2,7.2,7.2,37.7,15.8,8.5,2.88,60.5,0,0,0.4,150,517,9.9,0,51.7,51.7,0.1,1,1
"Chillicothe, OH Micro Area",8.4,8.4,8.4,35.6,12.1,5,2.28,67.3,,,,,,,,17.2,17.2,,,
"Cincinnati, OH-KY-IN Metro Area",10.6,10.6,10.6,39.6,52.8,15.7,2.19,66.4,3.3,229,0.2,1805,51,9.9,0.2,57,57,1.6,1.4,1.4
"Claremont-Lebanon, NH-VT Micro Area",12.3,12.3,12.3,38.8,35.1,17.9,2.23,58,0.6,68,0.4,11386,0,11.3,0,40.8,40.8,7.3,2.9,2.9
"Clarksburg, WV Micro Area",11.5,11.5,11.5,39.2,35.3,23.6,2.26,55,0.6,0,1.6,10742,801,13.8,0,49.7,49.7,19.3,0.7,0.7
"Clarksville, TN-KY Metro Area",10.5,10.5,10.5,35.3,33,10.6,2.24,67.4,,,,,,8.2,,39.7,39.7,,0.6,0.6
"Clearlake, CA Micro Area",8,8,8,31.2,33.6,11.5,2.39,61.9,76,450,0.8,1466,0,17.7,1.3,64.5,64.5,4.1,1.1,1.1
"Cleveland, TN Metro Area",9.9,9.9,9.9,38.9,0.4,4.3,2.72,71.5,,,,,,12.7,,4.7,4.7,,1,1
"Cleveland-Elyria, OH Metro Area",10,10,10,43.1,37.3,12.2,2.32,62.2,0,0,0.5,3505,0,9.8,0,32.6,32.6,3.6,0,0
"Coeur d'Alene, ID Metro Area",7.4,7.4,7.4,24.2,13.6,7.7,1.89,52.5,0.9,128,0.8,682,0,8.1,0.1,42,42,0.7,1.1,1.1
"College Station-Bryan, TX Metro Area",9.3,9.3,9.3,33.3,30.9,10.2,1.79,75.6,0.3,0,0.5,607,0,8.4,0,45.5,45.5,2.7,0.5,0.5
"Colorado Springs, CO Metro Area",9.5,9.5,9.5,47.7,15.5,6.5,2.82,69.2,,,,,,13.1,,,,,0,0
"Columbia, MO Metro Area",8.8,8.8,8.8,47.4,57.2,24.9,2.82,66.7,0,231,0.4,6517,129,6.1,0.5,41.5,41.5,15.3,0.3,0.3
"Columbia, SC Metro Area",7.2,7.2,7.2,37.1,33.8,14.6,2.6,55.2,0.7,0,0.5,630,33,8.6,0,49.7,49.7,0.3,0.5,0.5
"Columbus, GA-AL Metro Area",7.8,7.8,7.8,35.4,23.4,9.4,2.47,61.3,0.1,0,0.1,6838,203,11.2,0,33.1,33.1,3.5,0.4,0.4
"Columbus, IN Metro Area",9.7,9.7,9.7,34.5,41.6,7.4,1.94,67.3,0.5,0,0.2,1076,0,9.2,0,22.1,22.1,3.3,0,0
"Columbus, OH Metro Area",8.3,8.3,8.3,37,39.3,12.1,2.35,61.5,0.8,16,0.9,8228,0,11,0,47.9,47.9,16.8,2.2,2.2
"Concord, NH Micro Area",10.5,10.5,10.5,41.8,71.8,19.1,2.25,70,0.4,0,0.5,1444,50,9.3,0,62.1,62.1,0.9,1.5,1.5
"Cookeville, TN Micro Area",11,11,11,43.3,8.6,7.7,2.55,66.5,0.7,0,0.8,504,0,6,0,39.4,39.4,0.6,0,0
"Coos Bay, OR Micro Area",11.8,11.8,11.8,45.4,21,4,2.13,65.9,,,,,,7.3,,34.5,34.5,,0.3,0.3
"Corning, NY Micro Area",10.9,10.9,10.9,31.7,30.8,6.5,1.89,67.6,3,0,1.1,945,0,7.4,0,30.5,30.5,2.2,0,0
"Corpus Christi, TX Metro Area",12.6,12.6,12.6,49.8,16.3,12.4,2.43,75.4,5.9,0,1,790,0,7.8,0,56,56,2.8,0,0
"Corvallis, OR Metro Area",10,10,10,32.8,28.8,8.9,2.14,65.7,0.1,0,0.5,2091,390,5.8,0,50.7,50.7,1.4,1.5,1.5
"Crestview-Fort Walton Beach-Destin, FL Metro Area",9.2,9.2,9.2,32.3,36.3,10,2.16,70.8,0.5,271,0.5,1415,37,9.8,0.2,43.6,43.6,0.9,0.9,0.9
"Cullman, AL Micro Area",11,11,11,41.3,45,11.4,2.16,67.1,,,,,,10.7,,19.1,19.1,,0.5,0.5
"Cumberland, MD-WV Metro Area",7.4,7.4,7.4,39.9,53.1,23.1,3.06,53.6,0.1,0,0.9,3564,7056,12.7,0,43.7,43.7,1.1,1,1
"Dallas-Fort Worth-Arlington, TX Metro Area",11.1,11.1,11.1,43.8,13.7,7.5,2.4,72.8,,,,,,4.4,,69.4,69.4,,0.1,0.1
"Dalton, GA Metro Area",9.9,9.9,9.9,42.3,16,7.9,2.19,58.4,0,0,1.2,839,57,9.7,0,43.9,43.9,0.7,2.2,2.2
"Danville, IL Metro Area",9,9,9,38.5,11.9,4.4,3.26,73.6,0,0,0.4,566,0,12.6,0,31.7,31.7,0.9,0.5,0.5
"Danville, VA Micro Area",7.9,7.9,7.9,53.2,64.3,30.9,3.22,74.1,0,38,1.3,10413,0,,0.2,44.6,44.6,47.9,,
"Daphne-Fairhope-Foley, AL Metro Area",12.3,12.3,12.3,37.6,12.3,7.7,2.41,78.4,15.3,155,1.2,2556,86,8.3,0.4,55.3,55.3,6.6,0.8,0.8
"Davenport-Moline-Rock Island, IA-IL Metro Area",13.1,13.1,13.1,40.5,63.4,14.2,2.09,73.1,29.3,633,0.4,3513,250,8,1.2,59,59,6.5,0.5,0.5
"Dayton, OH Metro Area",10.4,10.4,10.4,28.6,34,10.3,2.28,65.3,,,,,,11.2,,30,30,,10.6,10.6
"Decatur, AL Metro Area",9.9,9.9,9.9,42.4,17.8,13.7,2.38,60.9,,,,,,10.3,,26.8,26.8,,1,1
"Decatur, IL Metro Area",8.5,8.5,8.5,28.9,65.8,10.2,1.77,55.5,2.7,60,1.8,457,0,9.2,0.1,33.3,33.3,1,1.4,1.4
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",9.4,9.4,9.4,29.9,13.9,5.7,2.13,65,0.1,0,0.8,589,0,11.9,0,43.2,43.2,1.9,0.1,0.1
"Detroit-Warren-Dearborn, MI Metro Area",12.2,12.2,12.2,37,45,16,2.19,71.2,0.1,0,0.3,1546,258,6.1,0,34.5,34.5,2.4,0.3,0.3
"Denver-Aurora-Lakewood, CO Metro Area",8.9,8.9,8.9,32,40.3,9.9,2.31,72.3,0.9,0,0.5,8604,75,8.5,0,45.3,45.3,2.2,1.4,1.4
"Des Moines-West Des Moines, IA Metro Area",15.2,15.2,15.2,49.4,80.6,30.5,2.61,66.3,4.3,0,0.3,5952,75,12.7,0,51.9,51.9,16.9,0.5,0.5
"Dothan, AL Metro Area",10.4,10.4,10.4,38.9,41.1,19.1,2.38,66,0.4,0,0.2,410,0,10.8,0,74,74,1.2,1.7,1.7
"Dover, DE Metro Area",7.8,7.8,7.8,30.6,29.2,8.9,2.74,73.6,0.2,0,0.1,622,463,9.6,0,38.5,38.5,0.6,0.6,0.6
"DuBois, PA Micro Area",9.9,9.9,9.9,31.7,44,8,2.12,65.2,1.1,0,0.8,3274,0,8.1,0,49.1,49.1,2.5,0.7,0.7
"Dubuque, IA Metro Area",12.8,12.8,12.8,47.7,39.3,9.1,2.39,69.9,,,,,,4.8,,41.3,41.3,,0.1,0.1
"Duluth, MN-WI Metro Area",9.7,9.7,9.7,38.9,23.9,7.7,2.4,61.8,2,83,0.6,3475,58,9.4,0,48,48,1.2,1.6,1.6
"Dunn, NC Micro Area",8.3,8.3,8.3,36.8,14.6,8.8,2.39,50.3,0.8,0,0.6,203,0,10.1,0,45,45,0.3,2.2,2.2
"Durham-Chapel Hill, NC Metro Area",10,10,10,37.4,19.6,6.9,2.39,70.9,0.9,0,0.6,3926,734,9.9,0,41,41,1.1,0.5,0.5
"East Stroudsburg, PA Metro Area",11.6,11.6,11.6,41.7,35.7,12.3,2.49,63.7,,,,,,,,61.5,61.5,,,
"Eau Claire, WI Metro Area",12.2,12.2,12.2,66.7,80.8,30.7,2.51,77.5,,,,,,7,,null,null,,0.7,0.7
"El Centro, CA Metro Area",9.8,9.8,9.8,39.4,23.6,7.6,2.61,65.5,0,0,0.4,501,0,8.3,0,50.2,50.2,0.3,0.1,0.1
"Elmira, NY Metro Area",10.4,10.4,10.4,37.2,49.2,13.7,2.44,69.3,13.4,8,0.5,6970,70,9,0,48.4,48.4,6.3,0.7,0.7
"El Paso, TX Metro Area",9.2,9.2,9.2,40.2,27.4,12.3,2.81,72.2,,,,,,7.6,,39.7,39.7,,0.1,0.1
"Enid, OK Metro Area",6.2,6.2,6.2,44.2,62.5,21.6,3.11,53.3,0,0,1,438,308,13.4,0,39.4,39.4,1,0.1,0.1
"Erie, PA Metro Area",10.5,10.5,10.5,34.5,37.1,8.4,2.1,67.5,19,2459,0.6,7182,207,9.3,1,50.7,50.7,3.1,1,1
"Eugene, OR Metro Area",8.6,8.6,8.6,36.9,45.6,8.2,2.68,61.4,8.5,0,0.7,2169,103,10.3,0,32.6,32.6,4.6,0.6,0.6
"Eureka-Arcata-Fortuna, CA Micro Area",9.9,9.9,9.9,33.7,46.1,13.3,2.11,65.9,36.9,268,0.2,7479,442,6.2,0.1,59.4,59.4,1.6,2.4,2.4
"Evansville, IN-KY Metro Area",8.4,8.4,8.4,39.3,28.7,6.7,2.64,61.6,0.6,0,0.4,486,0,6.1,0,33,33,0.8,0.5,0.5
"Fairbanks, AK Metro Area",8.9,8.9,8.9,31.5,0,4.3,3.46,80.9,,,,,,8.5,,42.6,42.6,,1.2,1.2
"Elizabeth City, NC Micro Area",12.8,12.8,12.8,36.5,6.7,15.9,2.05,73.4,0,0,0.5,2577,134,11.8,0,54.2,54.2,8.1,0.3,0.3
"Elizabethtown-Fort Knox, KY Metro Area",10.1,10.1,10.1,43.1,51.9,12.4,2.65,64.4,1.4,0,1,2019,0,10.7,0,38.7,38.7,6.4,1.8,1.8
"Elkhart-Goshen, IN Metro Area",11.3,11.3,11.3,39.6,28,6.9,2.59,74.2,5.9,0,0.8,3663,0,9.7,0,42.4,42.4,2.5,0.5,0.5
"Fargo, ND-MN Metro Area",13.9,13.9,13.9,40.8,60.8,14.4,2.73,69.8,0,0,73.6,788,1857,17.6,0,48.2,48.2,1.1,1.4,1.4
"Faribault-Northfield, MN Micro Area",15.9,15.9,15.9,45.1,24.5,6.4,2.86,76.6,0.3,0,0.9,0,41,9.2,0,46.9,46.9,0,0.6,0.6
"Farmington, MO Micro Area",7,7,7,39.7,46.8,17.2,2.58,55.8,,,,,,7.7,,54.1,54.1,,0.3,0.3
"Farmington, NM Metro Area",6.1,6.1,6.1,40.2,78.6,12.1,2.71,64.2,,,,,,14.2,,30,30,,0,0
"Fayetteville, NC Metro Area",10.4,10.4,10.4,38.1,42.6,6.2,2.44,80.2,2.6,0,0.4,2041,0,8.4,0,24.4,24.4,4.7,0.1,0.1
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",19.3,19.3,19.3,62.2,30.4,9.4,2.42,83,0.1,0,1.1,213,82,9.6,0,75.4,75.4,0.3,0.1,0.1
"Findlay, OH Micro Area",13.4,13.4,13.4,46.1,32.9,18.1,2.39,69.7,,,,,,8.8,,36.7,36.7,,0.3,0.3
"Flagstaff, AZ Metro Area",8.9,8.9,8.9,40.9,59,16.6,2.37,72,0,0,0.3,99,72,8.7,0,25.1,25.1,0.1,0.9,0.9
"Flint, MI Metro Area",7.3,7.3,7.3,33.5,13,5,2.61,60.1,0.1,521,0.4,1776,1215,9.3,0,42.6,42.6,0.1,2,2
"Florence, SC Metro Area",11.3,11.3,11.3,47.7,45.8,15.3,2.26,71.1,0.5,89,0.4,3993,40,8.5,0.1,67.3,67.3,2.9,0.5,0.5
"Florence-Muscle Shoals, AL Metro Area",9.2,9.2,9.2,37.5,26.4,6.8,2.12,68.7,0.1,359,0.4,579,0,6.8,0.2,57.8,57.8,0.3,0.3,0.3
"Fond du Lac, WI Metro Area",8,8,8,51.2,11.4,6.5,2.56,57.1,,,,,,,,10,10,,,
"Forest City, NC Micro Area",11,11,11,39.8,46.9,7.8,1.9,73.1,0,0,0,993,0,5.6,0,40,40,4,0.3,0.3
"Fort Collins, CO Metro Area",7.7,7.7,7.7,34.5,13.6,7.6,2.49,72.1,0.9,0,0.2,1781,0,12,0,39.8,39.8,3.5,2.8,2.8
"Fort Payne, AL Micro Area",11.3,11.3,11.3,45,40.4,11.2,2.25,71.6,23.3,285,0.3,821,0,9.8,0.9,49.2,49.2,2.7,0.3,0.3
"Fort Smith, AR-OK Metro Area",8.5,8.5,8.5,32.9,31.2,8.6,2.23,65.2,0.5,173,0.3,4756,264,9.5,0,42.9,42.9,0.6,0.7,0.7
"Frankfort, KY Micro Area",7.8,7.8,7.8,29.3,27.3,9.7,2.13,59.1,0,0,0.2,767,38,11.7,0,32.4,32.4,1.1,6.2,6.2
"Fresno, CA Metro Area",9,9,9,42,16.1,9.4,1.89,50.1,8.1,520,0.7,2137,272,8.1,1.3,48.3,48.3,5.3,7.2,7.2
"Gadsden, AL Metro Area",10.9,10.9,10.9,43.2,38.2,14,1.9,74.2,1,0,0.4,2024,0,7.2,0,57.8,57.8,3.3,0.5,0.5
"Gainesville, FL Metro Area",9,9,9,39.4,22.6,6,2.38,66.4,0.2,0,0.3,563,0,11.9,0,52,52,0.3,0.2,0.2
"Gainesville, GA Metro Area",10.4,10.4,10.4,41.3,24.6,10.4,2.42,65,0.6,0,0.5,200,0,9.2,0,39.2,39.2,0.3,0.4,0.4
"Gallup, NM Micro Area",9.8,9.8,9.8,35.9,15.2,7.8,2.42,66,0.2,155,0.8,1128,775,7.5,0,59.1,59.1,0.2,1.2,1.2
"Gettysburg, PA Metro Area",5.7,5.7,5.7,31.3,25.7,13.9,2.63,54.4,0.3,0,1.1,540,0,15.7,0,62.2,62.2,0.8,0.1,0.1
"Fort Wayne, IN Metro Area",11.6,11.6,11.6,44.5,59.7,17.5,1.87,69.5,2.9,104,0.4,2053,0,9.2,0.2,55.6,55.6,3.7,0.5,0.5
"Glens Falls, NY Metro Area",9.8,9.8,9.8,35,52.5,9,2.18,68.6,1.3,0,0.5,932,0,12,0,41.6,41.6,1.4,0.4,0.4
"Glenwood Springs, CO Micro Area",9.4,9.4,9.4,39.6,25.1,6,2.99,80.6,0,0,1.8,417,0,6.7,0,46.7,46.7,1.7,0.9,0.9
"Goldsboro, NC Metro Area",10.5,10.5,10.5,40.5,14.3,4.9,2.13,69.7,0.4,0,0.5,3600,44,10.5,0,38.8,38.8,6,0.3,0.3
"Grand Forks, ND-MN Metro Area",11.4,11.4,11.4,41.5,29.4,9.1,2.01,68.7,1.9,73,0.3,2533,0,6.2,0.1,52.8,52.8,2.8,0.1,0.1
"Grand Island, NE Metro Area",13.1,13.1,13.1,44.7,57.6,13,1.87,74.9,30.6,2971,0.2,1361,0,8.8,5.3,58.4,58.4,2.4,1.7,1.7
"Grand Junction, CO Metro Area",7.9,7.9,7.9,39.4,44.6,15.2,2.34,59.2,,,,,,11,,48.4,48.4,,0.1,0.1
"Grand Rapids-Wyoming, MI Metro Area",9.6,9.6,9.6,40.5,20.1,8.8,2.46,65.4,0.1,0,0.2,2311,0,10.2,0,30,30,3.4,0.2,0.2
"Grants Pass, OR Metro Area",11.9,11.9,11.9,33.6,30.3,11.1,2.74,60.8,0.1,0,53.2,224,2539,12.6,0,55.3,55.3,0.4,1,1
"Great Falls, MT Metro Area",6.4,6.4,6.4,41.2,5.2,4.7,3.18,68.2,,,,,,8.8,,30.5,30.5,,0.6,0.6
"Greeley, CO Metro Area",12.8,12.8,12.8,43.6,26.8,11.6,2.01,71.5,9.8,273,0.6,3262,0,9.4,0.8,64.9,64.9,9.2,0.3,0.3
"Green Bay, WI Metro Area",13.8,13.8,13.8,44.3,54.3,17.6,2.33,63,0.6,0,0.3,6525,302,7.9,0,52,52,7.4,1.7,1.7
"Greeneville, TN Micro Area",8.8,8.8,8.8,36,27,8.4,2.47,58.8,0,409,0.3,2233,94,9,0.1,44.8,44.8,0.4,0.3,0.3
"Greenfield Town, MA Micro Area",6.8,6.8,6.8,39.1,58.1,23.5,3.53,52.2,0,0,0.5,1234,908,9.4,0,40.2,40.2,1.5,0.7,0.7
"Greensboro-High Point, NC Metro Area",9.1,9.1,9.1,44.8,50.6,6.6,2.35,64.6,,,,,,8,,44,44,,0.1,0.1
"Greenville, NC Metro Area",10.4,10.4,10.4,43.7,57.6,17.2,2.02,65,1.7,0,0.2,486,0,13.8,0,75.2,75.2,1.9,1.3,1.3
"Greenville-Anderson-Mauldin, SC Metro Area",11.7,11.7,11.7,40.3,35.5,15,1.86,72,2.6,0,0.1,1009,13,12.2,0,62.8,62.8,3.6,0.5,0.5
"Greenwood, SC Micro Area",13.7,13.7,13.7,48.6,51.3,9.5,2.24,68.5,9,0,0.4,394,0,15.5,0,74.4,74.4,1.6,0.7,0.7
"Gulfport-Biloxi-Pascagoula, MS Metro Area",12,12,12,57,86.2,35.6,2.39,57.2,,,,,,8.9,,null,null,,0.5,0.5
"Hagerstown-Martinsburg, MD-WV Metro Area",9.8,9.8,9.8,36.4,16.6,5.7,2.75,59.2,0.1,146,3.4,552,1419,8.9,0,59.3,59.3,0,2.9,2.9
"Hammond, LA Metro Area",10.6,10.6,10.6,41.5,24,9.3,2.18,72.5,,,,,,9.3,,57.3,57.3,,1.9,1.9
"Hanford-Corcoran, CA Metro Area",10.2,10.2,10.2,41.1,38.6,9,2.01,81.2,1,0,0.3,1777,0,5.3,0,48.4,48.4,5.2,0.3,0.3
"Harrisburg-Carlisle, PA Metro Area",5.6,5.6,5.6,28.8,45.7,3.7,2.64,69.6,,,,,,11.2,,41.5,41.5,,0.1,0.1
"Harrisonburg, VA Metro Area",9.4,9.4,9.4,34,36.7,8.9,2.19,59.9,1.1,142,0.5,1985,77,7.8,0,43.2,43.2,0.3,3,3
"Hartford-West Hartford-East Hartford, CT Metro Area",8.6,8.6,8.6,28.4,39,9.8,2.17,70.2,0.4,184,0.7,7723,317,7.7,0,57.7,57.7,0.6,4.5,4.5
"Hattiesburg, MS Metro Area",7.8,7.8,7.8,23.7,26.7,8.8,1.72,61.6,0.9,0,0.4,90,0,7.7,0,24.3,24.3,0.3,0.1,0.1
"Helena, MT Micro Area",10.3,10.3,10.3,30.7,57,15.6,2.06,62.3,1,0,0.3,1736,0,9.9,0,57.8,57.8,3.4,3.6,3.6
"Hermiston-Pendleton, OR Micro Area",9.8,9.8,9.8,42.7,27.4,5.8,2.38,64.1,0.1,0,0.5,1082,0,7.6,0,57.8,57.8,0.7,0.5,0.5
"Hickory-Lenoir-Morganton, NC Metro Area",7.8,7.8,7.8,39.2,51.2,20.2,3.19,57.4,0,0,0.3,2408,1224,10.3,0,48.5,48.5,1.4,0.4,0.4
"Hilo, HI Micro Area",9.8,9.8,9.8,44.8,49.2,24.3,2.35,60.8,0,0,0.7,238,26,8,0,56.5,56.5,0.3,1.6,1.6
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",11.3,11.3,11.3,39.8,52.3,9.4,2.12,78.1,0.5,0,0.6,528,0,7.5,0,63.4,63.4,0.9,0.3,0.3
"Hinesville, GA Metro Area",9.5,9.5,9.5,38.8,20.6,8.1,2.4,63.9,0.1,0,0.2,362,0,8.3,0,36,36,0.2,0.5,0.5
"Guayama, PR Metro Area",15.6,15.6,15.6,42.6,34.1,6.9,2.31,72.6,1.1,0,0.3,290,0,8.7,0,56.2,56.2,1,0.4,0.4
"Iowa City, IA Metro Area",12.9,12.9,12.9,41.6,48.1,13.2,2.71,69.9,0.9,0,0.3,3431,34,11.5,0,40.3,40.3,7,0.8,0.8
"Hobbs, NM Micro Area",9.7,9.7,9.7,42.9,42,11.2,2.43,61.6,2.1,0,0.4,417,0,11.4,0,71.5,71.5,0.9,2.1,2.1
"Holland, MI Micro Area",10.4,10.4,10.4,41.3,64.3,14.6,2.27,74.2,0.7,0,0.5,1852,0,10.3,0,57.5,57.5,2.8,0.5,0.5
"Homosassa Springs, FL Metro Area",10.2,10.2,10.2,47.7,42.5,12.8,2.24,64.6,0.4,0,0.8,467,0,7,0,48.7,48.7,1.7,0.9,0.9
"Hot Springs, AR Metro Area",18,18,18,45.6,21.7,9.9,2.69,75.8,0.4,0,0.4,505,407,10,0,35.5,35.5,0.3,0.4,0.4
"Houma-Thibodaux, LA Metro Area",8.7,8.7,8.7,37.8,20.6,5.7,2.25,56.5,,,,,,15.7,,41.1,41.1,,0.9,0.9
"Meadville, PA Micro Area",11.6,11.6,11.6,36.6,18.7,10.7,2.74,66.1,0.2,0,0.3,522,268,10,0,52.7,52.7,1.1,1.6,1.6
"Merced, CA Metro Area",15.7,15.7,15.7,49.3,4.2,5.6,2.81,74.2,0.1,0,7.7,0,176,10.6,0,53,53,0,1.1,1.1
"Medford, OR Metro Area",8.4,8.4,8.4,30.7,25.8,7,2.34,65.8,0.1,37,0.3,4265,78,9.3,0,41.4,41.4,0.6,1.1,1.1
"Memphis, TN-MS-AR Metro Area",9.4,9.4,9.4,39.4,37.6,11.6,2.22,65,5.1,753,0.2,2563,0,10.5,1.4,31.9,31.9,4.8,2.1,2.1
"Meridian, MS Micro Area",11.3,11.3,11.3,43.5,11.5,10.5,2.56,75.4,,,,,,9.2,,25.4,25.4,,0.2,0.2
"Marion, OH Micro Area",7.9,7.9,7.9,37.8,45.9,15,3.29,64.8,,,,,,11.5,,26.2,26.2,,0.3,0.3
"Marquette, MI Micro Area",12.5,12.5,12.5,40.4,18.3,4.7,2.24,72.9,11,0,1.4,1125,34,9.7,0,18.3,18.3,4,0,0
"Marshall, TX Micro Area",7.9,7.9,7.9,38.1,52.6,11.3,2.53,64.3,1.2,22,0.7,1718,0,8.6,0.1,47.1,47.1,7,0.5,0.5
"Martinsville, VA Micro Area",13.1,13.1,13.1,41,35.3,9.6,2.31,70.7,,,,,,10.9,,48,48,,0.4,0.4
"Mayag\u00FCez, PR Metro Area",12.3,12.3,12.3,39.3,54.7,14.8,1.92,74.2,12.8,209,0.1,886,0,13.1,0.6,69.5,69.5,2.4,1.1,1.1
"McAllen-Edinburg-Mission, TX Metro Area",10,10,10,35.2,51.9,15.6,2.27,60.5,34.3,0,0.3,1992,96,8.7,0,52.8,52.8,0.6,3.3,3.3
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",10.2,10.2,10.2,36.8,47.4,15,2.37,63.4,0,0,0.3,470,700,10.2,0,46.8,46.8,0.1,2.2,2.2
"Michigan City-La Porte, IN Metro Area",11.4,11.4,11.4,38.4,36.2,10.5,2.17,71.8,3.3,167,0,1249,121,7.5,0.5,58.7,58.7,3.4,0,0
"Midland, MI Metro Area",9.1,9.1,9.1,34.8,40.1,12.9,2.45,50.8,16.1,3589,1.2,13645,8095,6,0.1,59.5,59.5,0.2,31.6,31.6
"Midland, TX Metro Area",11.7,11.7,11.7,40.7,48.8,12.2,2.31,73.9,3.6,0,0.2,1226,44,7.9,0,43.5,43.5,2,0.7,0.7
"Milwaukee-Waukesha-West Allis, WI Metro Area",17.2,17.2,17.2,49,22,6.5,2.66,76.6,0.1,0,1.3,477,1308,10,0,54.2,54.2,0.1,1,1
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",12.6,12.6,12.6,44.6,14.2,6.6,2.57,72.8,7.5,234,1.2,1313,0,10.7,0.8,64.4,64.4,4.6,0.5,0.5
"Minot, ND Micro Area",11,11,11,32,44.2,16.6,2.05,65,52.7,86,0.3,3396,104,8.8,0.1,52.6,52.6,3.1,1.1,1.1
"Missoula, MT Metro Area",9.7,9.7,9.7,47.1,72.9,19.5,2.92,67.7,,,,,,4.8,,48.2,48.2,,0.2,0.2
"Mobile, AL Metro Area",12,12,12,47,16.7,11.4,2.56,63.8,,,,,,7.5,,55,55,,0.2,0.2
"Modesto, CA Metro Area",8.8,8.8,8.8,35,19.7,7.2,2.85,61.9,0.1,0,1.1,836,4240,10.8,0,51.6,51.6,0.1,1.4,1.4
"Monroe, LA Metro Area",9.6,9.6,9.6,34.8,60.1,9.6,2.02,63.4,0.5,20,1.1,549,0,7.9,0,53.6,53.6,0.8,1.1,1.1
"Monroe, MI Metro Area",11.4,11.4,11.4,38.7,47.7,12.7,2.11,72.8,0.4,0,0.3,395,0,8.3,0,52,52,0.6,0.2,0.2
"Montgomery, AL Metro Area",10,10,10,40.2,49.5,12.3,2.37,70.1,0.4,0,0.2,639,0,9.9,0,38.6,38.6,1.3,0.4,0.4
"Morehead City, NC Micro Area",14.6,14.6,14.6,39.3,24.9,10.1,2.32,73,2.6,0,0.4,2578,79,12.1,0,68.4,68.4,7.2,2,2
"Morgantown, WV Metro Area",15.7,15.7,15.7,52.6,24.7,7,2.49,71.5,0.2,0,1.5,255,185,10,0,72.5,72.5,0.2,0.1,0.1
"Morristown, TN Metro Area",15.5,15.5,15.5,41.5,28.7,12.9,2.08,74.6,5.7,32,0.5,89,266,9.7,0.1,29.2,29.2,0.2,0.5,0.5
"Moses Lake, WA Micro Area",5.6,5.6,5.6,33,5.4,3.1,2.76,61.4,,,,,,10.7,,32.7,32.7,,0.4,0.4
"Mount Airy, NC Micro Area",6.7,6.7,6.7,29.8,19.2,5.4,2.6,76.1,0,0,0.1,1204,497,9,0,55.1,55.1,0.6,1.6,1.6
"Mount Pleasant, MI Micro Area",10.6,10.6,10.6,47.1,62,18.1,1.8,73.2,22.4,285,0.5,5146,39,11,0.7,61.7,61.7,12,0,0
"Mount Vernon-Anacortes, WA Metro Area",8.6,8.6,8.6,35.7,18.1,5.8,2.49,63.3,0.1,80,0.3,2962,232,8.5,0,43,43,0.6,0.5,0.5
"Muncie, IN Metro Area",12.1,12.1,12.1,42.3,63.7,17.6,2,73.5,7.6,532,0.6,2801,0,9.2,1.6,65.6,65.6,8.5,0.4,0.4
"Muskegon, MI Metro Area",10.9,10.9,10.9,37.2,57.4,13.6,2.31,68.7,0.8,0,0.1,5297,63,10.7,0,55.6,55.6,4.7,3.7,3.7
