CITY,TOTAL POPULATION under 18,TOTAL POPULATION under 18,Total Population of 18+,Total Population of 18+,Total Population of 18+,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Renter Occupied Housing Units,Median Rent for Occupied Housing Units,Estimate of Owner Occupied Housing Units without a Mortgage,Median Housing Cost,Total Population Estimate,Total Male Population Estimate,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,%workers taking taxi to work,Estimate of population >25 with a graduate degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of voting age population,Estimate of Homes using Electric Heat,Estimate of homes using Gas,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Warsaw, IN Micro Area",18892,18892,60452,60452,60452,29026,55253,43397,1769,8130,808,9683,140600,79344,39626,39626,,,18741,18741,18741,0.4,4624,4624,57864,57864,7047,19771,28216,30798
"Wichita Falls, TX Metro Area",33748,33748,117558,117558,117558,25326,50309,68547,4991,19483,750,17278,145500,151306,76815,76815,,,31058,31058,31058,0.6,8344,8344,112553,112553,28954,21570,57793,54429
"Williamsport, PA Metro Area",23317,23317,90347,90347,90347,27306,55045,54575,6347,13722,776,13366,101500,113664,54669,54669,,,30323,30323,30323,0.4,6298,6298,89401,89401,8976,16061,43107,44585
"Wilmington, NC Metro Area",55766,55766,238670,238670,238670,31517,52756,146562,10530,47436,1056,25190,161200,294436,143403,143403,,,43703,43703,43703,0.4,24632,24632,233506,233506,105650,8855,111392,120886
"Wilson, NC Micro Area",18683,18683,62772,62772,62772,24629,42769,40337,3217,12677,736,8335,239600,81455,37267,37267,,,15656,15656,15656,0.5,4259,4259,60546,60546,,,27398,31817
"Watertown-Fort Atkinson, WI Micro Area",18054,18054,67075,67075,67075,33545,65651,49177,2599,8854,881,8692,121800,85129,42442,42442,,,20907,20907,20907,0.1,5026,5026,65228,65228,4271,23131,32367,33180
"Watertown-Fort Drum, NY Metro Area",26799,26799,84956,84956,84956,26769,53146,45206,8121,20244,958,9978,198600,111755,58729,58729,,,23750,23750,23750,0.6,6521,6521,82821,82821,9042,17944,44161,44657
"Wausau, WI Metro Area",30847,30847,104581,104581,104581,34986,62890,72924,4318,15745,756,16532,145600,135428,67784,67784,,,30777,30777,30777,0.5,8460,8460,103030,103030,6891,33566,51421,56245
"Weirton-Steubenville, WV-OH Metro Area",22615,22615,97613,97613,97613,27359,43747,53099,7747,14531,628,19162,164800,120228,58980,58980,,,39145,39145,39145,0.5,5995,5995,97352,97352,13952,27867,46887,51680
"Wenatchee, WA Metro Area",29116,29116,90827,90827,90827,33831,61714,60984,8130,16817,932,12545,89800,119943,60938,60938,,,22022,22022,22022,0.3,7977,7977,80860,80860,,,39963,47855
"Wheeling, WV-OH Metro Area",27014,27014,113031,113031,113031,26199,49749,63452,7270,13270,640,22432,304800,140045,69876,69876,,,41491,41491,41491,0.5,7794,7794,112644,112644,14183,29891,56017,52435
"Whitewater-Elkhorn, WI Micro Area",21242,21242,82476,82476,82476,32933,63800,56941,5849,13585,887,10838,109400,103718,52101,52101,,,22704,22704,22704,0.3,6445,6445,78660,78660,5714,30495,38684,40864
"Wichita, KS Metro Area",163832,163832,481199,481199,481199,29180,56909,325303,18663,83628,785,63828,205000,645031,320973,320973,,,110689,110689,110689,0.4,49035,49035,456220,456220,71999,160884,224083,248799
"Winchester, VA-WV Metro Area",32338,32338,109510,109510,109510,32934,65170,71523,5047,16538,1013,13621,144500,141848,72192,72192,,,31752,31752,31752,1,11290,11290,104060,104060,26246,15578,50862,53715
"Winston-Salem, NC Metro Area",148319,148319,523137,523137,523137,28572,48699,322503,17539,96578,754,67573,243400,671456,322566,322566,,,134871,134871,134871,0.8,42332,42332,491360,491360,183547,57419,229487,270772
"Wisconsin Rapids-Marshfield, WI Micro Area",15666,15666,57389,57389,57389,31272,55273,36840,3744,9560,743,11071,157900,73055,36342,36342,,,20148,20148,20148,0,4168,4168,57336,57336,4430,20473,28507,32274
"Wooster, OH Micro Area",28092,28092,87875,87875,87875,27481,59111,57450,4889,11847,723,14387,129400,115967,57444,57444,,,30648,30648,30648,0,6964,6964,86998,86998,8684,27622,42651,43908
"Worcester, MA-CT Metro Area",197161,197161,750705,750705,750705,36369,70869,510306,67941,119144,1053,70467,155800,947866,466642,466642,113761,113761,184187,184187,184187,1.7,92504,92504,702058,702058,60176,108728,341386,353402
"Yakima, WA Metro Area",74450,74450,176996,176996,176996,22091,51555,111600,16847,30382,797,21460,281000,251446,125234,125234,,,42310,42310,42310,0.2,10130,10130,145479,145479,56337,19217,71026,83320
"York-Hanover, PA Metro Area",98940,98940,349333,349333,349333,33004,65239,234528,17788,43236,930,46086,186500,448273,221982,221982,,,122067,122067,122067,0.7,27506,27506,339946,339946,40286,88181,166355,173958
"Youngstown-Warren-Boardman, OH-PA Metro Area",108068,108068,430884,430884,430884,27587,47476,257768,36293,68788,660,73913,183000,538952,264915,264915,,,155544,155544,155544,0.9,30702,30702,428472,428472,29912,174962,207580,227477
"Yuba City, CA Metro Area",46244,46244,128604,128604,128604,25576,54745,76860,13455,23342,942,12443,114700,174848,87449,87449,,,24733,24733,24733,0.4,6939,6939,114409,114409,15097,33969,56442,58180
"Yuma, AZ Metro Area",53632,53632,158496,158496,158496,21484,43403,82755,17276,25582,884,21339,295000,212128,109526,109526,,,36638,36638,36638,0.7,7169,7169,130675,130675,54591,13561,68637,74532
"Zanesville, OH Micro Area",19683,19683,66500,66500,66500,26994,49602,41631,5278,9854,710,9816,140600,86183,42143,42143,,,25238,25238,25238,0.5,3563,3563,66409,66409,9415,19718,32043,34471
"Charleston-North Charleston, SC Metro Area",171931,171931,615712,615712,615712,35374,64283,405879,29638,96956,1201,66128,120000,787643,385557,385557,42247,42247,139000,139000,139000,0.8,70215,70215,594034,594034,235855,50765,284841,294424
"Champaign-Urbana, IL Metro Area",44988,44988,192368,192368,192368,30462,52912,121806,10758,41411,809,19991,252900,237356,119051,119051,25754,25754,32378,32378,32378,6,29577,29577,175475,175475,32888,56127,86545,96449
"Charleston, WV Metro Area",42534,42534,168751,168751,168751,27785,40806,90314,11334,27413,764,38072,160600,211285,102175,102175,,,56642,56642,56642,2.4,15201,15201,167137,167137,41664,45816,79254,90728
"Charlotte-Concord-Gastonia, NC-SC Metro Area",610760,610760,1958453,1958453,1958453,34639,62068,1363607,69075,329130,1042,189077,113100,2569213,1246886,1246886,260727,260727,402812,402812,402812,1.5,207184,207184,1814494,1814494,495824,420190,856354,960297
"Charlottesville, VA Metro Area",42849,42849,188716,188716,188716,44099,71052,116527,4237,33003,1186,20770,215500,231565,112242,112242,,,33724,33724,33724,4.2,38129,38129,179565,179565,58969,15556,84813,88765
"Chattanooga, TN-GA Metro Area",115686,115686,443017,443017,443017,30057,54732,280468,18694,70248,834,61847,299000,558703,271648,271648,,,111166,111166,111166,0.7,37582,37582,431056,431056,154335,52922,204178,221133
"Cheyenne, WY Metro Area",23122,23122,75854,75854,75854,34448,64306,47023,3389,11186,893,9051,162200,98976,49623,49623,,,19457,19457,19457,0,5948,5948,74863,74863,7333,28675,38084,39678
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2159045,2159045,7338745,7338745,7338745,38105,70760,5080038,396388,1246171,1110,782037,246500,9497790,4652999,4652999,1680196,1680196,1568191,1568191,1568191,12.1,1002628,1002628,6589474,6589474,465169,2972614,3163153,3538101
"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",228155,228155,901997,901997,901997,32691,56195,574761,75421,166746,809,126962,247800,1130152,547590,547590,81120,81120,222263,222263,222263,3.1,118864,118864,874033,874033,37351,415204,418754,480106
"Burlington, NC Metro Area",36955,36955,129481,129481,129481,27589,49979,81671,4310,21578,819,16339,155500,166436,78955,78955,,,31861,31861,31861,0.3,7709,7709,121751,121751,31544,26637,55706,64700
"Burlington-South Burlington, VT Metro Area",41102,41102,179510,179510,179510,35740,71452,126595,12934,29246,1159,17767,151900,220612,108058,108058,,,34221,34221,34221,1.5,25488,25488,174288,174288,7726,43035,85208,87329
"California-Lexington Park, MD Metro Area",27201,27201,85463,85463,85463,39459,92250,56956,5568,11935,1266,6594,279300,112664,55523,55523,,,24037,24037,24037,1.2,10306,10306,81824,81824,23300,5062,39978,41239
"Canton-Massillon, OH Metro Area",85377,85377,313278,313278,313278,28135,51624,198155,19619,51879,715,41870,309800,398655,193830,193830,,,108134,108134,108134,0.9,20547,20547,308444,308444,23032,125961,147758,163626
"Cape Coral-Fort Myers, FL Metro Area",132674,132674,621936,621936,621936,33010,56129,337304,17591,76370,1190,99203,137300,754610,369892,369892,133829,133829,176117,176117,176117,0.4,62227,62227,563297,563297,269407,5539,268571,281222
"Chico, CA Metro Area",46212,46212,185044,185044,185044,28915,51652,109346,19361,36695,1066,21321,235000,231256,113736,113736,,,34495,34495,34495,1.2,13631,13631,177145,177145,26588,42998,86297,88636
"Chillicothe, OH Micro Area",16140,16140,60791,60791,60791,23377,46769,31292,4517,10065,667,9615,274200,76931,40171,40171,,,21875,21875,21875,1.6,3632,3632,60507,60507,15047,8899,31982,29779
"Cincinnati, OH-KY-IN Metro Area",510494,510494,1678948,1678948,1678948,34173,62743,1146468,100044,298002,850,182077,142100,2189442,1073504,1073504,113366,113366,435876,435876,435876,1.7,194611,194611,1623532,1623532,332296,452279,783932,862535
"Claremont-Lebanon, NH-VT Micro Area",37395,37395,179820,179820,179820,33982,61558,116137,13227,23895,1017,29031,173500,217215,107406,107406,,,47717,47717,47717,0.8,26951,26951,175882,175882,3907,2075,86075,90652
"Clarksburg, WV Micro Area",17443,17443,72275,72275,72275,26229,45315,40708,4975,10142,818,14892,216800,89718,44394,44394,,,29173,29173,29173,1.1,4975,4975,72147,72147,7970,25171,35323,35992
"Clarksville, TN-KY Metro Area",76735,76735,214010,214010,214010,26283,51280,122613,19949,44635,927,19710,116400,290745,146372,146372,,,50542,50542,50542,0.8,16325,16325,210129,210129,72291,25798,106011,104502
"Clearlake, CA Micro Area",13510,13510,50872,50872,50872,29537,48554,27414,7330,9361,1173,7929,168600,64382,31318,31318,,,13020,13020,13020,0.1,3357,3357,47311,47311,10194,1473,22687,26774
"Cleveland, TN Metro Area",26013,26013,98735,98735,98735,25798,48101,61513,5438,15235,770,14530,245700,124748,61247,61247,,,28636,28636,28636,0,6615,6615,95258,95258,37730,4757,45826,46778
"Cleveland-Elyria, OH Metro Area",433874,433874,1623135,1623135,1623135,34355,56203,1064845,109946,308240,804,209182,161400,2057009,994750,994750,122573,122573,406997,406997,406997,2.7,185318,185318,1580592,1580592,140342,684783,749074,866039
"Coeur d'Alene, ID Metro Area",36630,36630,124875,124875,124875,30304,55236,78864,5952,18241,1001,17864,158000,161505,79091,79091,,,32721,32721,32721,0.1,10173,10173,123479,123479,22920,33376,60587,64955
"College Station-Bryan, TX Metro Area",57124,57124,207900,207900,207900,27166,50512,124494,6070,47545,937,23656,276500,265024,133361,133361,,,31763,31763,31763,0.9,27433,27433,188023,188023,58345,30266,92345,94615
"Colorado Springs, CO Metro Area",176140,176140,562799,562799,562799,33471,67430,369520,47415,91756,1188,50915,213100,738939,373525,373525,52276,52276,95173,95173,95173,0.6,75311,75311,539790,539790,59820,195409,273026,271694
"Columbia, MO Metro Area",36539,36539,143466,143466,143466,29965,54356,99127,4649,33107,878,13084,290100,180005,87634,87634,,,20358,20358,20358,1,24033,24033,135016,135016,31044,36241,64423,72217
"Columbia, SC Metro Area",182635,182635,650530,650530,650530,28339,53765,415289,30811,103613,946,77864,192200,833165,405253,405253,38314,38314,153844,153844,153844,0.8,66891,66891,631939,631939,230597,68569,301886,315092
"Columbus, GA-AL Metro Area",74619,74619,232530,232530,232530,24808,49731,130856,15053,50782,855,24910,156800,307149,151976,151976,,,57420,57420,57420,0.8,20376,20376,228556,228556,,,111099,114607
"Columbus, IN Metro Area",19690,19690,63063,63063,63063,30152,62047,41384,3490,9277,912,8503,147200,82753,41162,41162,,,17467,17467,17467,0.2,7608,7608,56083,56083,,,27724,31891
"Columbus, OH Metro Area",494992,494992,1611549,1611549,1611549,33830,64052,1114965,104596,305707,947,151069,155700,2106541,1036528,1036528,186750,186750,388102,388102,388102,1.7,197029,197029,1527585,1527585,212070,531712,740203,801805
"Concord, NH Micro Area",28595,28595,122537,122537,122537,37119,75088,84382,6235,14219,1012,16254,196700,151132,74012,74012,,,32581,32581,32581,0.3,18023,18023,119353,119353,4728,15901,58810,58521
"Cookeville, TN Micro Area",23455,23455,88370,88370,88370,24315,45179,53860,6174,16050,703,14448,239100,111825,54305,54305,,,30837,30837,30837,0,7518,7518,86732,86732,33841,8126,42277,46184
"Coos Bay, OR Micro Area",11192,11192,53197,53197,53197,29009,50323,28148,6224,9849,846,,152500,64389,33417,33417,,,13333,13333,13333,0,2603,2603,52558,52558,18249,1348,26782,27889
"Corning, NY Micro Area",20389,20389,75407,75407,75407,29880,55569,45897,7841,10854,658,15926,205200,95796,48423,48423,,,25462,25462,25462,0,8644,8644,73894,73894,5057,21407,36990,40578
"Corpus Christi, TX Metro Area",110793,110793,342134,342134,342134,27347,54264,216027,14664,61902,1006,48347,102600,452927,224607,224607,,,86878,86878,86878,1.1,21897,21897,320729,320729,,,156477,161693
"Corvallis, OR Metro Area",14770,14770,77331,77331,77331,32374,63773,47980,4509,14620,1072,7847,141200,92101,46488,46488,,,8297,8297,8297,2.8,14064,14064,71349,71349,17837,14423,35646,35520
"Crestview-Fort Walton Beach-Destin, FL Metro Area",60774,60774,217870,217870,217870,33738,63710,128251,11294,34862,1105,29002,356600,278644,138948,138948,20860,20860,51942,51942,51942,0.7,22860,22860,211223,211223,83992,21128,105999,108340
"Cullman, AL Micro Area",18892,18892,64550,64550,64550,25874,44612,37492,1830,7563,710,12141,238600,83442,40794,40794,,,18149,18149,18149,0,2143,2143,63436,63436,22474,3485,30942,30323
"Cumberland, MD-WV Metro Area",17226,17226,80689,80689,80689,24073,44607,45577,8209,10560,650,12879,127700,97915,51358,51358,,,29708,29708,29708,1.1,5196,5196,80205,80205,12942,15319,41730,37893
"Dallas-Fort Worth-Arlington, TX Metro Area",1954835,1954835,5585536,5585536,5585536,34971,69445,3991824,171648,1071873,1152,552020,119600,7540371,3709694,3709694,1414578,1414578,1114254,1114254,1114254,1.3,609292,609292,4771844,4771844,1634349,926016,2295142,2623878
"Dalton, GA Metro Area",37278,37278,106705,106705,106705,21838,45326,68975,1850,17348,704,15437,238800,143983,72030,72030,,,30028,30028,30028,0,4460,4460,92726,92726,43864,3506,44692,51023
"Danville, IL Metro Area",18046,18046,58760,58760,58760,23995,43655,33062,3495,9518,675,10675,129000,76806,38315,38315,,,22892,22892,22892,0.5,3165,3165,57728,57728,7267,19606,28439,30166
"Danville, VA Micro Area",20682,20682,80960,80960,80960,22457,39512,43980,3771,14232,705,16590,85000,101642,48745,48745,,,26380,26380,26380,2.1,3581,3581,80159,80159,26376,9285,37908,43260
"Daphne-Fairhope-Foley, AL Metro Area",47156,47156,170866,170866,170866,32704,56813,105280,4003,20491,1057,26086,107100,218022,105437,105437,,,44013,44013,44013,0,16613,16613,168104,168104,72713,8603,79962,83501
"Davenport-Moline-Rock Island, IA-IL Metro Area",87423,87423,292683,292683,292683,31084,55635,194322,20956,45674,777,42174,193800,380106,185742,185742,,,78778,78778,78778,0.5,23665,23665,283194,283194,24711,119233,136499,153865
"Dayton, OH Metro Area",177221,177221,629327,629327,629327,31368,54942,405457,47849,126278,786,73609,138500,806548,392775,392775,34940,34940,155902,155902,155902,2.3,72660,72660,614892,614892,94602,216022,293915,331426
"Decatur, AL Metro Area",34213,34213,117833,117833,117833,26548,49133,69800,3144,16484,705,21172,143600,152046,74066,74066,,,32749,32749,32749,0.3,7869,7869,113741,113741,42421,10968,54655,57863
"Decatur, IL Metro Area",23097,23097,81615,81615,81615,29539,50066,51700,5747,14604,719,13745,132500,104712,50279,50279,,,25345,25345,25345,0.6,5309,5309,80791,80791,9240,33065,38079,44562
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",115521,115521,544084,544084,544084,29355,51364,292914,19302,71985,1048,85405,102100,659605,320777,320777,54501,54501,154447,154447,154447,0.6,41272,41272,527047,527047,246656,8340,252476,259697
"Detroit-Warren-Dearborn, MI Metro Area",954451,954451,3371991,3371991,3371991,33733,60513,2180205,245352,528058,927,473675,199400,4326442,2107786,2107786,446559,446559,794421,794421,794421,1.3,382972,382972,3202202,3202202,167419,1471693,1533879,1710686
"Denver-Aurora-Lakewood, CO Metro Area",659089,659089,2273326,2273326,2273326,42116,79478,1687020,161006,417459,1388,183742,180300,2932415,1465425,1465425,349839,349839,398790,398790,398790,3.8,336630,336630,2097794,2097794,294528,788985,1039219,1131410
"Des Moines-West Des Moines, IA Metro Area",165975,165975,489434,489434,489434,35601,71352,366089,32430,77495,898,51702,420600,655409,323137,323137,57748,57748,106623,106623,106623,1.2,51599,51599,460015,460015,69381,164787,223505,255055
"Dothan, AL Metro Area",33434,33434,114811,114811,114811,25106,45152,65282,4069,16923,691,17782,195300,148245,71506,71506,,,33711,33711,33711,0,7189,7189,113361,113361,51024,2581,53216,55431
"Dover, DE Metro Area",40645,40645,137905,137905,137905,27508,54419,83964,13386,21718,1017,17975,125500,178550,85805,85805,,,39124,39124,39124,0.8,11732,11732,133448,133448,19181,27278,63439,67841
"DuBois, PA Micro Area",14681,14681,64707,64707,64707,24968,46205,36069,5202,7473,579,12403,228500,79388,41645,41645,,,28496,28496,28496,0.4,3686,3686,62779,62779,3591,8483,32040,31992
"Dubuque, IA Metro Area",21527,21527,75327,75327,75327,30732,60225,51120,5262,10620,739,11113,99300,96854,47876,47876,,,22731,22731,22731,0.5,7372,7372,74080,74080,6738,26029,36769,38501
"Duluth, MN-WI Metro Area",54289,54289,224510,224510,224510,29653,53767,142104,16246,34689,763,33895,167100,278799,140251,140251,,,53018,53018,53018,2.1,18702,18702,222156,222156,21628,55466,111690,117226
"Dunn, NC Micro Area",34930,34930,99284,99284,99284,23571,51022,55395,5009,16056,875,11594,161200,134214,66838,66838,,,26279,26279,26279,0,6156,6156,93184,93184,36289,3800,45765,46015
"Durham-Chapel Hill, NC Metro Area",117016,117016,458396,458396,458396,37751,62114,306162,15838,85856,1047,45720,155400,575412,273114,273114,72866,72866,75270,75270,75270,3.4,92912,92912,416987,416987,128205,75200,194705,225699
"East Stroudsburg, PA Metro Area",33486,33486,136021,136021,136021,28188,64170,84490,10451,12394,1019,15779,250200,169507,83749,83749,,,42638,42638,42638,5.6,10717,10717,132009,132009,25341,5756,64669,55109
"Eau Claire, WI Metro Area",35033,35033,133636,133636,133636,29721,60081,89952,6778,21539,793,15738,173500,168669,85164,85164,,,33399,33399,33399,0.8,9805,9805,132402,132402,14070,34217,66356,66796
"El Centro, CA Metro Area",50831,50831,130996,130996,130996,16920,48984,70917,16262,14294,775,10518,171900,181827,93655,93655,,,28537,28537,28537,1.3,5101,5101,109102,109102,,,57653,41764
"Elmira, NY Metro Area",17598,17598,66656,66656,66656,30185,53005,39210,5777,11498,794,11114,214400,84254,40747,40747,,,22183,22183,22183,1.8,5250,5250,65471,65471,4461,24183,30943,34325
"El Paso, TX Metro Area",228769,228769,615954,615954,615954,21640,43862,385524,23003,105469,800,74519,105300,844723,417362,417362,,,120158,120158,120158,1.2,41761,41761,516698,516698,68374,192338,256646,271122
"Enid, OK Metro Area",15802,15802,45111,45111,45111,26596,53946,28877,1978,8292,864,7309,123600,60913,30910,30910,,,14060,14060,14060,0.1,3084,3084,43120,43120,8561,13079,21342,22998
"Erie, PA Metro Area",58107,58107,213954,213954,213954,26606,48007,135069,19594,37828,761,30802,116800,272061,133664,133664,,,71415,71415,71415,2.3,20295,20295,208315,208315,11566,86416,101711,109797
"Eugene, OR Metro Area",69901,69901,309710,309710,309710,29762,53172,188439,29235,63589,998,35133,143700,379611,186890,186890,,,59382,59382,59382,2.9,30250,30250,297202,297202,115126,27982,145166,156072
"Eureka-Arcata-Fortuna, CA Micro Area",26135,26135,110238,110238,110238,27406,50294,70898,15427,26015,975,13943,281200,136373,68722,68722,,,22045,22045,22045,2.3,8904,8904,105981,105981,10279,29293,52573,55773
"Evansville, IN-KY Metro Area",70090,70090,244582,244582,244582,31421,55412,158606,11930,41340,767,31934,326400,314672,153267,153267,,,72001,72001,72001,0.9,18654,18654,240666,240666,,,115213,128680
"Fairbanks, AK Metro Area",23858,23858,75113,75113,75113,36834,75448,48699,5963,14768,1232,,146400,98971,53397,53397,,,15935,15935,15935,1.4,7749,7749,72738,72738,4230,2526,40154,36378
"Elizabeth City, NC Micro Area",15421,15421,51394,51394,51394,24429,50391,29624,2472,8302,783,,259500,66815,33450,33450,,,13942,13942,13942,0.4,3963,3963,51080,51080,,,23790,26417
"Elizabethtown-Fort Knox, KY Metro Area",37251,37251,115208,115208,115208,28380,51147,68631,12803,19371,817,15451,177700,152459,76518,76518,,,33535,33535,33535,0.5,8927,8927,112867,112867,40302,10872,55243,57098
"Elkhart-Goshen, IN Metro Area",56622,56622,148938,148938,148938,25694,58350,105272,8844,21444,804,16698,157800,205560,101432,101432,,,45415,45415,45415,0.1,8939,8939,139160,139160,8962,60143,67431,73660
"Fargo, ND-MN Metro Area",56452,56452,189019,189019,189019,36926,65073,143444,10466,42098,831,18208,152800,245471,124704,124704,,,31950,31950,31950,0.7,15786,15786,179523,179523,47994,41898,89882,99306
"Faribault-Northfield, MN Micro Area",14884,14884,51639,51639,51639,29771,65839,34233,2829,5431,853,6628,221400,66523,34196,34196,,,13264,13264,13264,0.6,3551,3551,48081,48081,3901,14961,24575,23358
"Farmington, MO Micro Area",14116,14116,52576,52576,52576,23478,46796,28319,2307,8928,642,,218100,66692,34634,34634,,,17989,17989,17989,0,3933,3933,52261,52261,,,27834,25670
"Farmington, NM Metro Area",32938,32938,92105,92105,92105,22067,44841,50807,10207,12405,852,18147,126200,125043,61679,61679,,,22134,22134,22134,0.1,5671,5671,90856,90856,5579,25368,44948,43707
"Fayetteville, NC Metro Area",96771,96771,290323,290323,290323,24514,46679,159735,24485,68578,926,24701,149600,387094,191172,191172,,,62159,62159,62159,0.4,21687,21687,278937,278937,116661,21233,137263,146760
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",139733,139733,414062,414062,414062,31222,57911,278412,20151,78973,827,48574,138700,553795,275907,275907,,,101894,101894,101894,0.4,44092,44092,378350,378350,88315,92027,185167,205278
"Findlay, OH Micro Area",16770,16770,59160,59160,59160,32438,60788,42358,5357,9509,714,8491,173600,75930,37308,37308,,,19042,19042,19042,1.8,5107,5107,58499,58499,6314,20404,28615,31606
"Flagstaff, AZ Metro Area",29455,29455,113399,113399,113399,27143,61843,71793,7203,17576,1234,15060,152900,142854,70521,70521,,,17666,17666,17666,2.3,12366,12366,108648,108648,10829,23195,52332,47275
"Flint, MI Metro Area",91553,91553,315339,315339,315339,28039,48127,193304,32634,54063,747,49479,293800,406892,195968,195968,,,89613,89613,89613,2.4,22521,22521,312989,312989,18763,141573,148213,169469
"Florence, SC Metro Area",47621,47621,157340,157340,157340,24914,42612,91619,7941,25128,699,24573,118700,204961,96705,96705,,,48940,48940,48940,0.7,11837,11837,156123,156123,61261,7859,70903,75826
"Florence-Muscle Shoals, AL Metro Area",28394,28394,118755,118755,118755,28081,49407,66911,1962,19347,656,20787,124800,147149,72913,72913,,,41580,41580,41580,0,7983,7983,117204,117204,,,56399,59932
"Fond du Lac, WI Metro Area",22030,22030,81036,81036,81036,29145,57415,54976,3925,12509,725,11054,145800,103066,50550,50550,,,25528,25528,25528,0.7,4401,4401,79998,79998,5619,26954,38849,41009
"Forest City, NC Micro Area",13782,13782,53044,53044,53044,23719,43111,30895,2602,8436,717,10184,162700,66826,31983,31983,,,14174,14174,14174,0,2796,2796,52228,52228,19688,2277,24570,26305
"Fort Collins, CO Metro Area",68998,68998,281520,281520,281520,37073,71091,194050,16036,51584,1345,29850,123100,350518,174084,174084,,,38385,38385,38385,1.1,45002,45002,268903,268903,29052,100404,132768,139382
"Fort Payne, AL Micro Area",17145,17145,54240,54240,54240,21822,36998,30604,646,7291,670,11087,398300,71385,35048,35048,,,14333,14333,14333,,3229,3229,49877,49877,,,24126,26462
"Fort Smith, AR-OK Metro Area",67423,67423,214895,214895,214895,25211,44317,125794,15413,36172,679,36226,112000,282318,139569,139569,,,64503,64503,64503,0.1,12533,12533,206664,206664,55383,42298,99557,108790
"Frankfort, KY Micro Area",16742,16742,56736,56736,56736,27798,52134,36804,2419,10306,736,7413,120000,73478,35845,35845,,,15713,15713,15713,0.3,4980,4980,55797,55797,15794,12405,27035,29980
"Fresno, CA Metro Area",281820,281820,712580,712580,712580,23834,52629,451036,101077,151080,996,47960,148500,994400,495950,495950,212754,212754,138951,138951,138951,1.1,45443,45443,599562,599562,108648,169581,290788,309519
"Gadsden, AL Metro Area",22032,22032,80469,80469,80469,26192,45868,46578,2553,11242,685,13771,274400,102501,48830,48830,,,23717,23717,23717,0,5513,5513,79350,79350,22707,13616,37529,38625
"Gainesville, FL Metro Area",52275,52275,236436,236436,236436,28891,50495,146275,6798,40416,1015,30124,127800,288711,140486,140486,,,38788,38788,38788,2.7,33384,33384,222366,222366,83026,18150,106528,105161
"Gainesville, GA Metro Area",51279,51279,150869,150869,150869,30008,61699,99473,4675,19498,984,17429,184100,202148,100325,100325,,,37306,37306,37306,0.4,11526,11526,128785,128785,43057,18499,63175,64990
"Gallup, NM Micro Area",20836,20836,51454,51454,51454,15469,34080,26069,7485,5953,644,10859,217900,72290,34525,34525,,,15120,15120,15120,1.4,2579,2579,50293,50293,2065,7628,23665,21449
"Gettysburg, PA Metro Area",21167,21167,81644,81644,81644,30366,62284,52137,3377,9913,950,12025,76500,102811,50601,50601,,,28054,28054,28054,0.4,7484,7484,78880,78880,11421,11733,38429,39570
"Fort Wayne, IN Metro Area",111368,111368,326263,326263,326263,29998,55491,227387,20162,48183,767,41760,206800,437631,215044,215044,,,84180,84180,84180,0.5,27834,27834,314477,314477,39778,118983,151684,172311
"Glens Falls, NY Metro Area",22780,22780,102682,102682,102682,30899,57058,61105,6945,16164,886,15739,135700,125462,63689,63689,,,30544,30544,30544,0.9,11719,11719,101146,101146,7252,17235,50660,51996
"Glenwood Springs, CO Micro Area",19040,19040,59130,59130,59130,34058,76184,45493,3288,8417,1374,,178000,78170,40401,40401,,,12815,12815,12815,7.9,5665,5665,52885,52885,6202,16310,26687,26357
"Goldsboro, NC Metro Area",29155,29155,94093,94093,94093,25460,40791,57565,6357,18840,773,12909,383300,123248,60885,60885,,,24424,24424,24424,0.5,4039,4039,86571,86571,39741,2949,41470,49019
"Grand Forks, ND-MN Metro Area",22592,22592,79707,79707,79707,29719,54659,55792,4509,19254,811,9150,132700,102299,53629,53629,,,16822,16822,16822,1.6,5346,5346,75586,75586,18402,17155,38567,43081
