CITY,TOTAL POPULATION under 18,TOTAL POPULATION under 18,Total Population of 18+,Total Population of 18+,Total Population of 18+,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,Employed health insurance coverage ages 19-64,Renter Occupied Housing Units,Median Rent for Occupied Housing Units,Estimate of Owner Occupied Housing Units without a Mortgage,Median Housing Cost,Total Population Estimate,Total Male Population Estimate,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,Estimate of ages above 25yrs with a high school degree,%workers taking taxi to work,Estimate of population >25 with a graduate degree,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of voting age population,Estimate of Homes using Electric Heat,Estimate of homes using Gas,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet
NAME,"
DP05_0019E","
DP05_0019E",DP05_0025E,DP05_0025E,DP05_0025E,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0107E,DP04_0047E,DP04_0134E,DP04_0092E,DP04_0089E,DP05_0001E,DP05_0002E,DP05_0002E,DP02_0103E,DP02_0103E,DP02_0061E,DP02_0061E,DP02_0061E,DP03_0021PE,DP02_0065E,DP02_0065E,DP05_0087E,DP05_0087E,DP04_0065E,DP04_0063E,DP05_0088E,DP02_0150PE
CATEGORY,Social,Economic,Political,Social,Economic,Economic,Economic,Economic,Economic,Social,Social,Economic,Social,Social,Political,Social,Political,Social,Political,Social,Economic,Environmental,Political,Social,Political,Social,Environmental,Environmental,Political,Political
"Aberdeen, WA Micro Area",15099,15099,58802,58802,58802,24965,48255,27376,4609,8832,730,8194,94600,73901,37073,37073,,,17367,17367,17367,0.5,2449,2449,57457,57457,18827,3306,29392,27674
"Abilene, TX Metro Area",41347,41347,132659,132659,132659,24853,48021,78253,5244,23049,939,21191,193300,174006,88705,88705,,,33914,33914,33914,0.1,8609,8609,127219,127219,34204,24509,65262,61527
"Adrian, MI Micro Area",20655,20655,77611,77611,77611,27702,55378,46330,6659,9196,783,11142,119500,98266,49510,49510,,,25418,25418,25418,0,4641,4641,75560,75560,2377,28465,37493,38388
"Aguadilla-Isabela, PR Metro Area",52266,52266,240653,240653,240653,10911,17064,95378,34284,40810,422,49197,141800,292919,143745,143745,null,null,null,null,null,0.2,null,null,239577,239577,,,115338,null
"Akron, OH Metro Area",142730,142730,562115,562115,562115,33386,60019,381800,40325,92008,807,67763,95000,704845,342696,342696,33664,33664,144629,144629,144629,1.6,62921,62921,549297,549297,40176,231503,263041,287044
"Alamogordo, NM Micro Area",15459,15459,51322,51322,51322,21688,42591,24507,6582,7966,866,,155500,66781,34882,34882,,,12836,12836,12836,1,3368,3368,47849,47849,,,24660,23747
"Albany, GA Metro Area",36012,36012,115146,115146,115146,23139,44896,68166,3968,26535,770,12514,113100,151158,71862,71862,,,30894,30894,30894,0.1,7503,7503,112880,112880,46244,7061,51475,56348
"Albany, OR Metro Area",27940,27940,99395,99395,99395,26684,54113,59557,8232,17603,998,11508,111900,127335,62661,62661,,,25054,25054,25054,0.1,6496,6496,95154,95154,25239,15669,46606,48464
"Albany-Schenectady-Troy, NY Metro Area",172542,172542,710627,710627,710627,37087,71301,472378,47139,129566,998,80833,254300,883169,433439,433439,72355,72355,156874,156874,156874,3.5,108281,108281,686003,686003,58422,207067,332213,353746
"Albertville, AL Micro Area",23959,23959,72150,72150,72150,24988,47528,42425,1891,10478,645,11483,217200,96109,47238,47238,,,19795,19795,19795,1,5238,5238,68232,68232,,,32924,36022
"Albuquerque, NM Metro Area",202410,202410,714381,714381,714381,29118,51134,441846,67983,127338,886,87704,136200,916791,452504,452504,81168,81168,154685,154685,154685,1.4,91823,91823,673889,673889,48478,273335,325703,358493
"Alexandria, LA Metro Area",36786,36786,116258,116258,116258,24033,47391,65480,9696,20332,803,17594,201400,153044,76267,76267,,,43060,43060,43060,1.2,6633,6633,114908,114908,,,56569,55127
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",177160,177160,665753,665753,665753,33773,65929,437141,38916,98674,1063,78732,143300,842913,413826,413826,83165,83165,204774,204774,204774,1.7,65521,65521,637387,637387,102069,109597,310072,320501
"Altoona, PA Metro Area",24260,24260,98232,98232,98232,27847,49942,61429,9413,14279,722,16785,218900,122492,59228,59228,,,40316,40316,40316,2.4,7322,7322,97867,97867,6462,30155,46581,51096
"Amarillo, TX Metro Area",68671,68671,199685,199685,199685,28354,53087,135034,6342,35528,833,26822,128500,268356,134077,134077,,,47345,47345,47345,0.2,12824,12824,182931,182931,,,91024,98518
"Ames, IA Metro Area",16321,16321,81784,81784,81784,27266,54586,55114,3413,16706,871,8795,148200,98105,50223,50223,,,8240,8240,8240,7.7,11220,11220,74090,74090,,,37311,37290
"Anchorage, AK Metro Area",100199,100199,298949,298949,298949,36952,81037,199595,26685,44722,1210,29692,191300,399148,204149,204149,37763,37763,67510,67510,67510,1.3,34192,34192,288381,288381,17818,105791,148203,137483
"Ann Arbor, MI Metro Area",68935,68935,302028,302028,302028,41297,71860,200008,14764,55839,1116,30013,299500,370963,184270,184270,47333,47333,33556,33556,33556,5.5,68024,68024,279014,279014,26334,108405,135671,143072
"Anniston-Oxford-Jacksonville, AL Metro Area",24484,24484,89793,89793,89793,24493,45818,53745,3572,13228,743,13730,280500,114277,55054,55054,,,25761,25761,25761,0.7,6337,6337,88763,88763,,,42180,44264
"Appleton, WI Metro Area",55810,55810,181714,181714,181714,32810,65826,130036,7370,24606,786,24740,121800,237524,118247,118247,,,51326,51326,51326,0.4,15058,15058,178829,178829,13322,68010,88142,94810
"Arecibo, PR Metro Area",32008,32008,142263,142263,142263,10792,17347,57980,20547,19867,451,29493,181500,174271,82595,82595,null,null,null,null,null,0.2,null,null,141860,141860,,,66577,null
"Asheville, NC Metro Area",84500,84500,375085,375085,375085,32748,52410,232701,12317,60974,871,57700,94800,459585,221160,221160,,,82568,82568,82568,0.5,47029,47029,362112,362112,117620,34544,168367,191889
"Ashtabula, OH Micro Area",21423,21423,76070,76070,76070,23817,46349,44575,4846,9046,682,12125,234700,97493,49312,49312,,,28498,28498,28498,0.3,4561,4561,75862,75862,6831,21267,37851,35445
"Athens, OH Micro Area",9575,9575,56243,56243,56243,19920,36944,31761,2402,9768,769,6942,112700,65818,33319,33319,,,14342,14342,14342,2.1,5703,5703,54785,54785,10028,8474,26948,22533
"Athens, TX Micro Area",17675,17675,64624,64624,64624,25342,42020,31763,1935,7443,750,14874,118400,82299,38865,38865,,,19278,19278,19278,0,2647,2647,61176,61176,,,29272,30843
"Athens-Clarke County, GA Metro Area",42800,42800,169002,169002,169002,27802,51503,106229,5586,34836,840,17777,106300,211802,102272,102272,,,30951,30951,30951,2.4,25399,25399,159217,159217,55491,19841,75287,79945
"Atlanta-Sandy Springs-Roswell, GA Metro Area",1450740,1450740,4500088,4500088,4500088,35539,69464,3134908,144236,769417,1169,379452,200500,5950828,2877423,2877423,824050,824050,949194,949194,949194,3,591317,591317,4111190,4111190,860536,1186817,1937251,2137280
"Auburn, NY Micro Area",15264,15264,61881,61881,61881,29116,52376,35566,3713,8969,767,9489,233700,77145,39764,39764,,,19783,19783,19783,0.6,4817,4817,60688,60688,3724,13833,30978,30083
"Atlantic City-Hammonton, NJ Metro Area",56422,56422,209007,209007,209007,32590,61212,140106,14224,30122,1063,22609,137500,265429,129633,129633,,,55122,55122,55122,4.7,19226,19226,192177,192177,14553,70310,91129,96981
"Auburn-Opelika, AL Metro Area",34795,34795,129146,129146,129146,27874,46456,78040,5451,22838,805,13479,219300,163941,80832,80832,,,22215,22215,22215,1.2,13765,13765,124781,124781,,,60796,59336
"Augusta-Richmond County, GA-SC Metro Area",139778,139778,466125,466125,466125,27531,52696,283739,27222,69757,859,58029,182700,605903,294599,294599,,,128167,128167,128167,0.6,40967,40967,454755,454755,136753,66007,218035,214107
"Augusta-Waterville, ME Micro Area",23001,23001,99082,99082,99082,30540,51653,63633,6317,15414,728,15206,154000,122083,59257,59257,,,30197,30197,30197,0,8967,8967,97204,97204,2521,2637,46859,54299
"Austin-Round Rock, TX Metro Area",498418,498418,1669898,1669898,1669898,40087,76925,1217720,50844,329998,1307,146822,156300,2168316,1086822,1086822,326395,326395,273410,273410,273410,1.9,247055,247055,1479708,1479708,428743,323384,728154,786341
"Bakersfield, CA Metro Area",258952,258952,637812,637812,637812,22778,51579,382716,82556,116315,974,48282,304500,896764,459769,459769,179856,179856,146820,146820,146820,0.9,31627,31627,528722,528722,73609,176850,272019,273167
"Baltimore-Columbia-Towson, MD Metro Area",612036,612036,2190753,2190753,2190753,40878,80469,1483337,143169,350747,1265,198661,226400,2802789,1350529,1350529,290528,290528,480196,480196,480196,6,360595,360595,2073993,2073993,417442,495419,983670,1054226
"Bangor, ME Metro Area",26744,26744,124352,124352,124352,27857,47217,75526,8065,21094,739,17128,308500,151096,75100,75100,,,36743,36743,36743,0.2,10892,10892,122370,122370,6431,6884,60551,61765
"Barnstable Town, MA Metro Area",32580,32580,180833,180833,180833,40790,68902,110181,17294,15683,1232,28670,149500,213413,101183,101183,,,40015,40015,40015,1.2,31911,31911,172435,172435,9156,53454,80977,86671
"Baton Rouge, LA Metro Area",194731,194731,636579,636579,636579,31873,57843,411428,43997,94150,915,85590,408000,831310,406983,406983,,,173114,173114,173114,0.9,55090,55090,615041,615041,193300,103497,295165,301509
