CITY,Total Population,TOTAL POPULATION under 18,Total Population of 18+,%Total population 65-74,Total Civilian Non-institulionized Population,Renter Occupied Housing Units,Total Population Estimate,Average Household Size Renters,Median Rent for Occupied Housing Units,% of Owner Occupied Housing Units,Median Housing Cost,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,TOTAL POPULATION,%foriegn born,%workers taking taxi to work,Estimate of population >25 with a graduate degree,Estimate of voting age population,TOTAL POPULATION under 18,Total Population of 18+,%Total population 65-74,Estimate of ages above 25yrs with a high school degree,Total Civilian Non-institulionized Population,Per Capita Income ,Median Household Income,TOTAL CIVILIAN labor Force,% 16+ Yrs not in labor force,Percetage of Labor force with Public Health Insurance,Employed health insurance coverage ages 19-64,Percent of population Employed health insurance coverage ages 19-64,Estimate of Owner Occupied Housing Units with a Mortgage,Estimate of Owner Occupied Housing Units without a Mortgage,Total Population of 18+,%Total population 65-74,Total Population,Total Male Population Estimate,Estimate of Foriegn -born Population,Estimate of ages above 25yrs with a high school degree,%foriegn born,Estimate of population >25 with a graduate degree,Estimate of voting age population,Estimate of Male Citizen voting population ,Estimate of Total Households with comuters and Internet,"%homes using oil, Kerosene for heat energy",%homes using coal for heat energy,%homes with no heat,%homes using wood for heat energy,%homes using solar energy,%workers carpooling,% homes heating with coal,%homes heating with wood,%workers taking taxi to work,Estimate of Homes using Electric Heat,Estimate of homes using Gas
NAME,,DP05_0019E,DP05_0025E,DP05_0015PE,DP02_0070PE,DP04_0047E,DP05_0001E,DP04_0049E,DP04_0134E,DP04_0046PE,DP04_0089E,DP05_0002E,DP02_0103E,DP02_0061E,,DP02_0095PE,DP03_0021PE,DP02_0065E,DP05_0087E,DP05_0019E,DP05_0025E,DP05_0015PE,DP02_0061E,DP02_0070PE,DP03_0088E,DP03_0062E,DP03_0008PE,DP03_0007PE,DP03_0112PE,DP03_0107E,DP03_0107PE,DP04_0091E,DP04_0092E,DP05_0025E,DP05_0015PE,DP05_0001E,DP05_0002E,DP02_0103E,DP02_0061E,DP02_0095PE,DP02_0065E,DP05_0087E,DP05_0088E,DP02_0150PE,DP04_0066PE,DP04_0067E,DP04_0071PE,DP04_0068E,DP04_0069E,DP03_0020PE,DP04_0067PE,DP04_0068PE,DP03_0021PE,DP04_0065E,DP04_0063E
CATEGORY,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Social,Political,Social,Social,Social,Social,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Economic,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Political,Envronmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental,Environmental
"Joplin, MO Metro Area",80974,23287,80974,11.3,9.4,14060,104261,2.5,840,64.1,146400,52398,1857,8057,11.3,4599,,8444,77698,23287,80974,11.3,8057,9.4,26710,49287,49736,41.1,7,2529,5.7,14803,10327,80974,11.3,104261,52398,1857,8057,4599,8444,77698,36184,,0,0,0.9,688,0,,0,0,,29053,6412
"Kahului-Wailuku-Lahaina, HI Metro Area",157401,51279,157401,9.9,7.6,17890,208680,2.82,988,75.4,207500,101204,,9825,9.9,8604,0,24288,151593,51279,157401,9.9,9825,7.6,30000,58736,96863,40.2,60.6,14110,16.6,29925,24931,157401,9.9,208680,101204,,9825,8604,24288,151593,74002,,,,,,,8.3,,,0,,
"Ithaca, NY Metro Area",55214.2,15171,55214,11.2,10.3,7928,70385,2.22,742,71.2,173800,37418,,2864,11.2,2995,0.2,6362,54149,15171,55214,11.2,2864,10.3,28104,54077,30958,45.6,25.6,2978,11.4,,,55214,11.2,70385,37418,,2864,2995,6362,54149,28654,0.1,0.2,0,1.9,317,90,9.1,0,0,0.2,24285,1192
"Jackson, MI Metro Area",181915.3,35777,181915,18.3,11.4,26980,217692,2.24,885,73.7,250300,110490,1747,15617,18.3,17206,0.4,15766,176185,35777,181915,18.3,15617,11.4,30459,46616,84886,54.4,51.6,9904,14.3,38040,37378,181915,18.3,217692,110490,1747,15617,17206,15766,176185,88975,1,0.3,0,1.4,2167,933,11.7,0,0,0.4,62506,30690
"Jackson, MS Metro Area",586744,166776,586744,11.3,7,84838,753520,2.84,1110,69.3,212500,371364,21635,33433,11.3,78550,0,77997,548210,166776,586744,11.3,33433,7,28195,56379,338901,44.1,20.9,24298,8.3,107861,83770,586744,11.3,753520,371364,21635,33433,78550,77997,548210,266378,0.3,0,0,1.1,296,1475,7.5,0,0,0,262932,6101
"Jackson, TN Metro Area",424398.2,129270,424382,10.8,5.8,64619,553652,2.37,1139,69.2,256500,273397,13109,23206,3208.8,32431,0.6,68926,413921,129270,424382,10.8,23206,5.8,36425,75688,288213,34.2,37,23538,9.5,86724,58720,424382,10.8,553652,273397,13109,23206,32431,68926,413921,201603,0.7,16.2,3198,0.5,5438,368,9.5,1.5,1.5,0.6,74648,71079
"Jacksonville, FL Metro Area",430741.9,109541,430740,10.3,5.9,70841,540281,1.95,917,67.8,179200,266794,14101,17079,23.3,33674,1.3,75666,416630,109541,430740,10.3,17079,5.9,33799,61980,273483,38.1,41.7,27998,11.9,94404,54822,430740,10.3,540281,266794,14101,17079,33674,75666,416630,202615,0.5,1.9,13,0.8,4805,76,6.8,0,0,1.3,36382,144400
"Jacksonville, NC Metro Area",182970.6,84975,182970,5.9,3.3,28534,267945,3.03,860,63.8,154500,132561,17633,19980,5.9,69229,1.1,21906,140757,84975,182970,5.9,19980,3.3,21427,51867,114343,40.5,12.2,8666,8.7,27390,22806,182970,5.9,267945,132561,17633,19980,69229,21906,140757,72242,,0.6,0,0.4,0,608,11.9,0,0,1.1,66740,9688
"Jamestown-Dunkirk-Fredonia, NY Micro Area",169400.1,52108,169400,9.7,6.6,31337,221508,2.21,751,63.1,186400,109184,6192,13809,9.7,33240,0.1,24028,153475,52108,169400,9.7,13809,6.6,26044,45178,99896,42.6,50.2,20720,24,28675,25009,169400,9.7,221508,109184,6192,13809,33240,24028,153475,76817,0.5,0.1,0,0.3,904,503,12.6,0,0,0.1,29026,47906
"Janesville-Beloit, WI Metro Area",1772135.1,520341,1772135,9.6,7.5,370204,2292476,2.54,1325,56.7,365800,1147700,95838,112942,194.6,488561,1.8,288651,1561485,520341,1772135,9.6,112942,7.5,33387,63677,1152841,36.5,39.6,115174,12.1,334797,149288,1772135,9.6,2292476,1147700,95838,112942,488561,288651,1561485,776146,0.3,0.1,185,0.9,1068,6185,10.3,0,0,1.8,323126,500861
