CITY,Year,%homes heating with wood,% 16+ Yrs not in labor force,%workers taking taxi to work,%Total population 65-74,% of Owner Occupied Housing Units,%homes using solar energy,%homes with no heat,% homes heating with coal,%foriegn born,%workers carpooling,%homes using coal for heat energy,Percent of population Employed health insurance coverage ages 19-64,%homes using wood for heat energy,"%homes using oil, Kerosene for heat energy",Percetage of Labor force with Public Health Insurance
"New Philadelphia-Dover, OH Micro Area",2024,1.02,33.41,0.00,9.97,67.03,0.00,1.35,0.01,100.00,7.59,0.00,6.90,89.67,0.00,23.56
"Cleveland-Elyria, OH Metro Area",2024,0.00,33.39,0.00,8.12,67.88,100.00,1.88,0.00,100.00,7.96,0.00,4.62,0.00,0.00,47.11
"Mansfield, OH Metro Area",2024,0.95,50.98,0.00,11.35,65.71,100.00,2.79,0.13,100.00,12.51,100.00,33.39,100.00,0.62,66.54
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",2024,0.34,35.01,0.92,8.12,65.87,100.00,0.00,0.98,100.00,6.15,100.00,11.52,100.00,10.95,33.75
"South Bend-Mishawaka, IN-MI Metro Area",2024,0.00,52.02,1.16,10.36,58.48,100.00,57.71,0.00,100.00,7.16,0.00,35.13,0.00,0.00,55.20
"El Paso, TX Metro Area",2024,1.03,38.24,0.59,11.18,66.31,100.00,1.64,0.00,100.00,13.33,26.70,22.51,100.00,4.42,57.19
"Coeur d'Alene, ID Metro Area",2024,11.35,44.00,0.00,10.12,73.98,100.00,1.08,0.07,100.00,9.29,0.00,18.96,100.00,3.86,62.53
"Memphis, TN-MS-AR Metro Area",2024,1.24,32.37,0.36,11.18,70.70,0.00,1.80,0.08,100.00,8.82,28.20,13.08,100.00,31.15,53.77
"Bloomsburg-Berwick, PA Metro Area",2024,0.00,40.13,0.00,14.23,82.98,0.00,1.01,0.00,100.00,6.09,0.00,13.95,100.00,0.00,21.79
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2024,4.19,45.09,0.00,8.51,74.90,0.00,0.37,0.71,100.00,8.78,0.00,11.96,0.00,3.09,35.15
"Cookeville, TN Micro Area",2024,0.00,40.96,0.00,11.21,67.04,100.00,1.29,0.02,100.00,8.31,0.00,11.63,100.00,0.00,41.46
"Valdosta, GA Metro Area",2024,0.00,36.32,0.52,11.29,67.93,100.00,1.41,0.00,100.00,7.66,0.00,17.72,0.00,0.00,30.84
"Indianapolis-Carmel-Anderson, IN Metro Area",2024,5.25,41.29,0.00,12.25,65.55,100.00,0.64,0.00,100.00,10.55,0.00,24.82,100.00,0.00,55.90
"Daphne-Fairhope-Foley, AL Metro Area",2024,4.09,30.47,1.03,11.28,71.84,100.00,0.81,0.32,100.00,10.96,100.00,17.61,100.00,17.94,62.05
"Show Low, AZ Micro Area",2024,0.00,27.20,1.83,7.81,58.86,100.00,3.66,0.10,100.00,6.72,100.00,2.74,100.00,3.99,24.49
"Jackson, TN Metro Area",2024,1.21,39.05,0.84,13.45,70.22,100.00,0.91,1.13,100.00,11.34,100.00,11.39,100.00,28.25,32.58
"Beckley, WV Metro Area",2024,0.00,42.38,0.39,12.83,60.79,100.00,0.91,0.31,100.00,9.90,100.00,15.58,100.00,0.00,45.02
"Auburn, NY Micro Area",2024,0.00,38.64,0.10,12.19,73.58,0.00,1.10,0.00,100.00,6.31,0.00,11.39,0.00,0.00,60.31
"Champaign-Urbana, IL Metro Area",2024,0.00,41.33,0.00,12.70,75.55,100.00,1.56,0.04,100.00,7.99,100.00,15.34,100.00,3.37,26.47
"Boulder, CO Metro Area",2024,0.00,47.10,0.00,12.84,68.50,100.00,0.70,0.00,100.00,7.58,0.00,14.42,0.00,0.00,53.76
"New Haven-Milford, CT Metro Area",2024,0.00,25.20,1.48,7.64,64.30,100.00,1.35,0.00,100.00,5.47,37.40,8.14,100.00,0.00,33.48
"Provo-Orem, UT Metro Area",2024,0.00,41.62,0.03,13.01,76.77,100.00,2.33,0.05,100.00,6.48,22.70,13.58,0.00,0.26,16.45
"Zanesville, OH Micro Area",2024,0.00,25.00,2.13,10.09,71.84,100.00,0.00,0.02,100.00,4.47,100.00,6.21,100.00,1.30,37.22
"Wausau, WI Metro Area",2024,0.00,43.09,0.77,11.67,64.31,100.00,0.19,1.13,100.00,7.41,100.00,15.97,100.00,0.00,20.27
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2024,0.32,45.80,0.00,13.55,71.16,0.00,1.70,0.00,100.00,7.45,0.00,9.50,0.00,0.00,24.16
"Bloomington, IN Metro Area",2024,0.46,36.50,0.22,13.55,73.42,0.00,1.21,0.01,100.00,8.32,19.38,8.85,100.00,0.73,17.31
"Elmira, NY Metro Area",2024,0.00,38.13,0.32,13.14,70.79,100.00,1.28,0.00,100.00,11.24,56.70,13.36,100.00,2.74,30.00
"Lumberton, NC Micro Area",2024,3.13,33.42,0.28,13.54,82.09,100.00,0.70,0.06,100.00,2.76,18.43,16.69,100.00,3.43,44.40
"Rochester, MN Metro Area",2024,0.70,34.42,0.35,12.06,72.06,100.00,1.51,0.04,100.00,5.55,100.00,11.82,100.00,20.50,31.01
"Findlay, OH Micro Area",2024,0.00,58.93,0.00,18.38,87.33,100.00,1.29,0.00,100.00,8.36,0.00,19.88,0.00,0.00,58.78
"Traverse City, MI Micro Area",2024,0.68,44.92,0.22,10.01,63.78,100.00,0.00,5.28,100.00,9.00,100.00,17.75,100.00,7.77,60.65
"Tupelo, MS Micro Area",2024,2.33,36.74,1.79,11.77,59.79,100.00,1.52,0.04,100.00,8.62,100.00,19.49,100.00,14.32,26.07
"Athens, OH Micro Area",2024,0.15,29.73,1.33,11.87,68.39,100.00,0.69,0.77,100.00,11.77,100.00,19.19,100.00,1.11,53.41
"College Station-Bryan, TX Metro Area",2024,4.44,46.00,0.00,11.25,73.40,89.58,1.12,0.14,100.00,10.88,0.00,25.33,100.00,4.71,66.99
"Punta Gorda, FL Metro Area",2024,0.00,36.02,0.09,11.61,69.27,100.00,2.14,0.05,100.00,6.46,62.00,9.73,100.00,0.96,25.13
"San Francisco-Oakland-Hayward, CA Metro Area",2024,10.63,44.17,0.00,11.74,65.90,0.00,0.00,0.00,100.00,11.10,0.00,18.75,100.00,3.28,69.25
"Niles-Benton Harbor, MI Metro Area",2024,0.00,45.17,0.00,10.22,64.73,0.00,0.86,0.00,100.00,9.24,0.00,21.32,0.00,0.00,55.67
"Olean, NY Micro Area",2024,0.00,39.60,0.46,15.75,76.87,100.00,1.28,0.00,100.00,7.15,0.00,7.12,0.00,0.00,31.94
"Alamogordo, NM Micro Area",2024,4.13,29.51,1.54,10.72,68.44,100.00,0.38,0.85,100.00,10.90,100.00,-2.94,100.00,10.28,27.27
"Shreveport-Bossier City, LA Metro Area",2024,0.00,29.63,1.79,9.93,63.77,100.00,3.65,0.22,100.00,6.18,100.00,11.76,100.00,6.59,26.87
"Spokane-Spokane Valley, WA Metro Area",2024,0.00,44.44,0.00,13.16,73.07,100.00,0.02,0.00,100.00,10.81,0.00,7.75,100.00,0.00,12.10
"Hot Springs, AR Metro Area",2024,4.81,22.81,2.15,6.88,51.81,100.00,0.35,0.09,100.00,9.44,100.00,9.85,100.00,18.11,17.13
"Lafayette-West Lafayette, IN Metro Area",2024,7.47,41.86,1.50,12.70,67.24,100.00,18.78,0.04,100.00,13.99,35.07,16.30,100.00,2.59,46.11
"Little Rock-North Little Rock-Conway, AR Metro Area",2024,3.13,44.97,0.65,14.10,78.06,27.07,1.11,0.35,100.00,8.35,100.00,12.24,100.00,4.24,35.39
"Pine Bluff, AR Metro Area",2024,3.86,28.65,1.38,10.46,66.88,0.00,0.00,0.60,100.00,8.88,100.00,17.89,100.00,7.61,39.94
"Urban Honolulu, HI Metro Area",2024,3.57,37.82,0.00,10.36,67.15,0.00,0.00,0.00,100.00,8.43,0.00,21.39,100.00,0.99,44.75
"Watertown-Fort Atkinson, WI Micro Area",2024,6.95,44.79,0.00,12.45,75.78,100.00,0.83,1.92,100.00,6.67,100.00,17.00,100.00,29.24,42.36
"Cincinnati, OH-KY-IN Metro Area",2024,0.32,37.34,0.19,13.45,69.00,100.00,1.02,0.14,100.00,11.42,100.00,14.89,100.00,3.98,40.13
"Prescott, AZ Metro Area",2024,0.00,35.07,1.23,10.29,69.58,100.00,4.91,0.00,100.00,6.87,0.00,14.24,100.00,0.00,27.46
"Canton-Massillon, OH Metro Area",2024,0.00,49.24,0.42,12.64,71.02,100.00,1.20,2.11,100.00,12.71,100.00,20.85,0.00,0.68,44.06
"Jackson, MI Metro Area",2024,0.00,43.53,0.00,12.78,77.44,100.00,0.00,0.00,100.00,8.19,100.00,20.51,100.00,6.64,49.31
"Cleveland, TN Metro Area",2024,0.00,27.08,0.90,8.12,66.49,100.00,1.33,0.13,100.00,7.45,62.15,5.85,0.00,36.53,51.56
"Napa, CA Metro Area",2024,0.15,40.14,1.33,10.06,68.06,100.00,2.17,0.16,100.00,6.17,100.00,17.17,100.00,4.88,46.64
"Aguadilla-Isabela, PR Metro Area",2024,0.00,26.67,3.13,9.57,62.40,100.00,0.83,0.05,100.00,7.07,100.00,-0.20,100.00,14.74,13.66
"Palatka, FL Micro Area",2024,0.00,36.69,10.25,14.21,66.62,100.00,0.00,0.00,100.00,5.71,100.00,9.72,100.00,6.21,52.33
"Springfield, OH Metro Area",2024,0.00,36.69,0.99,14.12,59.01,100.00,2.42,0.08,100.00,9.00,0.00,19.42,100.00,4.91,39.71
"Kapaa, HI Micro Area",2024,2.18,69.22,0.00,20.59,84.53,0.00,0.00,0.00,100.00,6.02,0.00,19.01,100.00,1.43,53.87
"Huntington-Ashland, WV-KY-OH Metro Area",2024,8.71,46.46,0.08,12.77,68.07,0.00,0.56,0.01,100.00,6.01,0.00,13.10,100.00,0.42,39.49
"Madera, CA Metro Area",2024,0.68,39.38,0.12,12.46,69.59,100.00,12.09,0.06,100.00,7.71,100.00,31.57,100.00,33.73,61.37
"Plattsburgh, NY Micro Area",2024,0.00,41.50,0.00,10.96,68.01,100.00,1.89,0.07,100.00,9.33,0.00,18.92,0.00,0.00,32.83
"Columbus, OH Metro Area",2024,0.00,42.58,0.00,13.60,71.84,29.47,1.03,0.03,100.00,7.26,0.00,17.88,0.00,1.95,55.85
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2024,3.91,34.29,1.32,12.04,69.09,100.00,1.40,0.00,100.00,6.06,0.00,11.38,100.00,14.14,35.38
"Walla Walla, WA Metro Area",2024,0.00,35.31,1.63,10.13,62.74,100.00,0.36,0.00,100.00,6.72,0.00,10.84,100.00,5.73,17.18
"Wheeling, WV-OH Metro Area",2024,0.25,42.75,0.11,10.55,71.12,100.00,1.60,0.26,100.00,13.63,100.00,13.34,100.00,0.41,19.60
"Fond du Lac, WI Metro Area",2024,2.53,39.17,0.97,9.34,69.66,100.00,0.59,1.91,100.00,7.10,100.00,14.45,100.00,5.77,24.44
"Corvallis, OR Metro Area",2024,0.00,38.01,0.17,11.26,73.39,100.00,0.78,0.00,100.00,10.82,100.00,17.00,100.00,0.00,61.94
"Nacogdoches, TX Micro Area",2024,0.85,37.97,1.37,8.74,62.49,100.00,2.58,0.00,100.00,10.46,34.20,19.68,100.00,0.00,46.00
"Spartanburg, SC Metro Area",2024,0.00,41.17,1.56,10.82,53.94,100.00,39.07,0.00,100.00,8.15,0.00,19.96,100.00,0.00,50.69
"Killeen-Temple, TX Metro Area",2024,6.22,42.87,2.71,13.80,74.81,100.00,1.13,0.02,100.00,8.29,100.00,13.38,100.00,9.66,52.97
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2024,4.81,31.73,0.00,9.54,63.07,0.00,0.00,0.12,100.00,14.50,0.00,12.73,100.00,13.98,33.50
"Jacksonville, FL Metro Area",2024,2.95,35.89,1.42,11.17,67.57,100.00,0.43,0.97,100.00,9.84,100.00,11.09,100.00,27.18,22.76
"Amarillo, TX Metro Area",2024,0.59,38.45,0.00,14.59,75.08,0.00,0.14,0.00,100.00,9.23,0.00,16.06,0.00,0.00,50.72
"Parkersburg-Vienna, WV Metro Area",2024,4.46,36.97,2.20,13.87,71.27,0.00,0.23,0.29,100.00,5.57,100.00,12.53,100.00,28.20,23.31
"Gainesville, FL Metro Area",2024,0.00,36.11,0.00,11.76,71.99,0.00,0.61,0.18,100.00,8.49,96.33,8.28,100.00,5.40,32.64
"Somerset, PA Micro Area",2024,0.00,45.11,4.22,9.38,55.18,100.00,2.77,0.00,100.00,7.77,0.00,25.55,100.00,0.00,45.21
"Medford, OR Metro Area",2024,0.00,30.37,0.00,11.55,68.16,0.00,0.23,0.00,100.00,5.97,0.00,8.66,100.00,28.90,43.57
"Kingsport-Bristol-Bristol, TN-VA Metro Area",2024,6.30,44.39,0.75,13.98,79.06,100.00,0.45,0.00,100.00,9.41,0.00,14.06,100.00,0.00,51.84
"Laurel, MS Micro Area",2024,0.00,33.38,0.00,11.13,72.79,0.00,0.00,0.22,100.00,8.82,35.03,12.42,0.00,4.63,60.73
"Gallup, NM Micro Area",2024,0.00,32.97,0.00,11.16,64.11,100.00,0.39,0.39,100.00,8.15,100.00,17.82,0.00,11.13,44.87
"Winston-Salem, NC Metro Area",2024,0.00,46.41,0.13,12.42,67.73,88.97,0.67,0.02,100.00,8.22,10.80,22.06,0.00,0.00,43.09
"Baltimore-Columbia-Towson, MD Metro Area",2024,0.51,38.89,1.90,12.79,65.62,100.00,0.40,0.26,100.00,8.11,100.00,15.12,100.00,8.81,42.54
"Oklahoma City, OK Metro Area",2024,0.00,39.86,0.21,16.60,70.33,100.00,1.44,0.01,100.00,8.49,0.00,9.30,100.00,6.87,28.96
"Wilmington, NC Metro Area",2024,2.09,33.16,1.40,9.34,73.09,100.00,0.33,0.00,100.00,9.92,0.00,10.78,100.00,23.46,33.01
"Roswell, NM Micro Area",2024,0.00,34.71,1.35,12.00,72.66,100.00,0.41,0.23,100.00,6.63,100.00,11.32,100.00,9.94,26.15
"Cape Girardeau, MO-IL Metro Area",2024,0.38,40.77,0.64,12.67,72.94,100.00,1.16,0.07,100.00,6.41,0.00,21.44,100.00,6.07,59.25
"Grand Rapids-Wyoming, MI Metro Area",2024,0.51,38.61,0.35,12.40,61.87,100.00,21.45,0.00,100.00,9.57,0.00,9.66,0.00,0.00,20.42
"Glens Falls, NY Metro Area",2024,0.00,35.25,0.21,8.82,70.28,100.00,1.12,0.00,100.00,7.18,0.00,8.39,100.00,0.00,16.67
"Austin-Round Rock, TX Metro Area",2024,0.00,46.75,2.96,11.92,73.08,100.00,1.26,0.28,100.00,6.42,100.00,18.09,100.00,0.00,46.52
"Elizabethtown-Fort Knox, KY Metro Area",2024,1.67,48.03,0.00,16.85,79.01,100.00,0.00,0.00,100.00,9.21,0.00,8.31,100.00,0.00,33.78
"Farmington, MO Micro Area",2024,0.00,40.62,0.00,11.17,70.91,100.00,11.65,0.00,100.00,12.40,0.00,17.26,100.00,1.40,26.21
"Marinette, WI-MI Micro Area",2024,0.69,42.27,0.00,11.41,59.83,100.00,0.82,0.14,100.00,11.45,25.22,25.39,100.00,3.73,48.77
"Jackson, MS Metro Area",2024,0.00,44.60,0.00,14.44,74.52,100.00,1.51,0.00,100.00,8.63,100.00,17.11,100.00,13.54,47.00
"Pottsville, PA Micro Area",2024,0.00,32.89,0.81,10.01,66.63,100.00,2.75,0.00,100.00,7.50,0.00,12.83,100.00,0.00,29.68
"Watertown-Fort Drum, NY Metro Area",2024,0.00,44.22,0.27,11.61,71.03,100.00,0.37,1.80,100.00,6.63,100.00,13.58,100.00,0.00,16.99
"Bowling Green, KY Metro Area",2024,0.45,44.40,0.00,12.54,74.85,100.00,0.50,0.00,100.00,7.93,0.00,11.86,0.00,0.00,45.17
"Cheyenne, WY Metro Area",2024,0.71,40.24,0.56,11.98,72.15,100.00,0.59,0.00,100.00,3.99,0.00,21.64,100.00,12.15,37.49
"Lynchburg, VA Metro Area",2024,2.87,28.51,0.38,12.44,77.18,100.00,0.47,0.11,100.00,3.43,100.00,17.58,100.00,15.27,41.96
"McAllen-Edinburg-Mission, TX Metro Area",2024,0.00,27.95,1.44,10.12,63.68,100.00,2.73,0.51,100.00,8.39,100.00,10.46,100.00,0.00,29.10
"Michigan City-La Porte, IN Metro Area",2024,0.89,32.42,0.63,10.93,52.73,100.00,1.27,0.73,100.00,9.43,100.00,16.40,100.00,5.42,53.59
"Fort Smith, AR-OK Metro Area",2024,0.00,34.14,4.03,9.23,62.46,100.00,0.76,0.71,100.00,10.58,100.00,14.40,100.00,3.20,46.76
"Albany-Schenectady-Troy, NY Metro Area",2024,0.67,35.08,0.05,9.54,72.63,100.00,0.44,0.07,100.00,4.67,0.00,12.53,22.02,23.03,28.57
"New Orleans-Metairie, LA Metro Area",2024,0.74,27.29,0.00,8.86,67.14,66.37,1.35,0.00,100.00,7.08,0.00,10.17,100.00,0.00,23.16
"Wichita, KS Metro Area",2024,0.98,39.45,0.52,9.07,63.75,100.00,0.71,0.30,100.00,9.85,100.00,11.16,100.00,2.70,38.02
"Janesville-Beloit, WI Metro Area",2024,0.00,41.64,2.25,9.89,66.83,100.00,0.72,0.03,100.00,8.20,69.18,10.46,100.00,2.24,41.83
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",2024,0.00,42.43,0.00,12.28,61.15,100.00,2.19,0.00,100.00,6.76,0.00,6.08,100.00,0.00,31.96
"Manitowoc, WI Micro Area",2024,0.00,47.81,0.00,13.94,66.71,100.00,6.69,0.00,100.00,11.45,0.00,25.53,0.00,0.00,59.86
"Winchester, VA-WV Metro Area",2024,0.00,39.92,0.27,9.61,64.61,100.00,0.58,0.00,100.00,8.39,0.00,12.05,100.00,0.00,37.38
"Forest City, NC Micro Area",2024,3.26,44.97,1.17,10.48,71.32,100.00,1.49,3.15,100.00,6.82,100.00,19.62,100.00,14.65,38.58
"Baton Rouge, LA Metro Area",2024,2.80,36.86,1.43,10.06,64.52,100.00,1.88,0.00,100.00,9.61,0.00,17.42,100.00,0.00,30.00
"Oshkosh-Neenah, WI Metro Area",2024,1.43,42.07,1.77,10.41,69.88,55.87,1.03,1.77,100.00,11.04,100.00,14.38,100.00,5.78,46.39
"Meridian, MS Micro Area",2024,0.00,31.53,0.42,10.81,66.09,100.00,1.92,0.00,100.00,7.81,0.00,15.50,0.00,2.17,59.07
"Bozeman, MT Micro Area",2024,0.00,41.82,0.02,11.65,72.69,100.00,0.98,0.00,100.00,7.86,30.03,9.88,100.00,1.59,35.35
"Chico, CA Metro Area",2024,0.74,41.52,1.33,10.67,69.73,100.00,0.26,2.25,100.00,11.86,100.00,17.52,0.00,18.59,31.48
"Wichita Falls, TX Metro Area",2024,0.00,43.40,1.83,12.17,70.57,100.00,1.67,0.00,100.00,8.67,0.12,13.73,100.00,1.00,21.36
"Sebastian-Vero Beach, FL Metro Area",2024,0.13,31.60,0.00,10.01,72.49,100.00,0.66,0.00,100.00,8.56,0.00,10.67,0.00,0.00,33.57
"Ann Arbor, MI Metro Area",2024,1.24,48.39,0.00,13.29,78.62,23.68,0.58,0.00,100.00,8.57,0.00,13.98,100.00,0.00,28.34
"Los Angeles-Long Beach-Anaheim, CA Metro Area",2024,3.14,39.10,0.00,13.17,73.51,0.00,0.00,3.42,100.00,6.64,100.00,11.24,0.00,22.73,20.67
"Bluefield, WV-VA Micro Area",2024,1.49,35.52,0.00,11.43,78.12,0.00,0.86,0.00,100.00,6.83,0.00,16.54,100.00,4.31,30.07
"Dover, DE Metro Area",2024,1.00,30.88,0.68,9.21,70.88,100.00,0.53,0.02,100.00,11.32,13.07,9.94,100.00,0.00,22.48
"Augusta-Waterville, ME Micro Area",2024,0.00,50.43,0.17,12.33,71.24,100.00,1.51,1.39,100.00,6.79,100.00,20.90,100.00,0.00,43.29
"Huntsville, TX Micro Area",2024,1.50,42.72,0.00,13.09,72.31,97.30,0.90,0.06,100.00,9.51,38.40,27.81,100.00,10.48,61.90
"Kansas City, MO-KS Metro Area",2024,0.00,38.93,0.53,12.44,70.71,100.00,1.04,0.53,100.00,10.38,100.00,16.46,100.00,30.24,33.81
"Boston-Cambridge-Newton, MA-NH Metro Area",2024,1.09,42.09,0.00,11.80,66.46,0.00,0.46,0.00,100.00,5.85,0.00,14.59,0.00,3.00,46.04
"Altoona, PA Metro Area",2024,4.24,35.61,0.32,14.87,71.98,100.00,1.06,0.00,100.00,7.70,0.00,12.50,100.00,13.56,28.80
"Wilson, NC Micro Area",2024,0.69,35.44,0.31,9.93,71.38,100.00,0.25,0.00,100.00,6.51,0.00,10.35,100.00,15.48,35.82
"Fresno, CA Metro Area",2024,0.26,43.91,2.22,12.04,71.08,0.00,0.50,0.72,100.00,8.82,100.00,8.78,100.00,11.19,35.36
"Tampa-St. Petersburg-Clearwater, FL Metro Area",2024,5.56,41.51,0.00,13.98,79.51,0.00,0.40,0.00,100.00,9.68,0.00,11.07,100.00,0.00,48.24
"Farmington, NM Metro Area",2024,0.00,32.23,0.11,10.04,74.39,0.00,0.12,0.00,100.00,12.54,0.00,13.65,100.00,4.47,28.24
"Cedar Rapids, IA Metro Area",2024,2.51,47.64,4.31,13.43,69.30,100.00,1.20,0.00,100.00,7.87,100.00,22.37,100.00,7.36,64.61
"Shelton, WA Micro Area",2024,0.00,29.65,1.40,10.03,69.67,100.00,0.94,0.00,100.00,7.82,0.00,7.34,100.00,3.89,33.79
"Ithaca, NY Metro Area",2024,0.00,45.62,0.00,11.50,78.49,100.00,0.00,0.00,100.00,6.36,0.00,19.19,100.00,0.00,44.33
"Eureka-Arcata-Fortuna, CA Micro Area",2024,0.00,36.36,0.00,8.94,69.90,100.00,0.66,1.28,100.00,7.87,100.00,5.65,100.00,33.13,23.31
"Naples-Immokalee-Marco Island, FL Metro Area",2024,2.17,37.73,1.00,10.31,74.46,100.00,1.90,0.28,100.00,3.29,100.00,17.89,100.00,9.38,59.30
"Asheville, NC Metro Area",2024,2.59,33.15,0.83,11.99,62.53,100.00,0.65,0.22,100.00,10.63,100.00,7.42,100.00,2.29,40.25
"Victoria, TX Metro Area",2024,1.69,49.80,0.00,14.33,69.16,0.00,1.54,2.08,100.00,5.49,100.00,14.40,0.00,14.22,54.10
"Ogden-Clearfield, UT Metro Area",2024,0.79,45.87,0.00,14.91,60.91,100.00,0.99,0.00,100.00,7.85,0.00,21.08,100.00,8.32,55.54
"Utica-Rome, NY Metro Area",2024,0.00,40.18,0.00,8.51,65.34,0.00,0.00,0.00,100.00,7.75,0.00,15.72,100.00,0.00,43.12
"Dallas-Fort Worth-Arlington, TX Metro Area",2024,0.00,44.46,0.97,12.66,65.67,0.00,0.63,0.00,100.00,11.92,0.00,6.66,100.00,0.00,36.68
"Las Cruces, NM Metro Area",2024,0.00,44.02,0.00,10.91,64.03,100.00,0.19,0.41,100.00,11.92,100.00,19.47,0.00,5.11,48.39
"Brainerd, MN Micro Area",2024,0.00,42.78,1.11,12.51,70.10,100.00,0.86,0.00,100.00,6.27,26.97,5.74,100.00,0.69,26.44
"Ukiah, CA Micro Area",2024,0.00,39.51,1.38,9.34,62.93,100.00,1.74,0.48,100.00,7.82,100.00,11.62,100.00,9.13,35.76
"Lexington-Fayette, KY Metro Area",2024,1.78,40.20,0.23,11.50,69.17,100.00,0.86,0.04,100.00,6.98,40.07,18.57,100.00,0.00,41.30
"Colorado Springs, CO Metro Area",2024,3.10,42.24,0.24,10.88,68.67,100.00,0.98,0.16,100.00,7.51,100.00,27.19,100.00,5.18,67.64
"Columbia, SC Metro Area",2024,7.53,36.45,0.73,10.45,62.20,100.00,0.52,0.13,100.00,7.92,15.48,14.23,100.00,1.73,44.62
"Barnstable Town, MA Metro Area",2024,1.92,38.39,0.00,8.57,60.95,0.00,0.88,0.00,100.00,10.66,0.00,19.89,0.00,0.00,32.74
"Clarksburg, WV Micro Area",2024,2.64,41.77,0.43,13.49,61.99,100.00,0.82,0.00,100.00,9.38,0.00,20.65,100.00,0.00,53.81
