CITY,Year,%homes heating with wood,% 16+ Yrs not in labor force,%workers taking taxi to work,%Total population 65-74,% of Owner Occupied Housing Units,%homes using solar energy,%homes with no heat,% homes heating with coal,%foriegn born,%workers carpooling,%homes using coal for heat energy,Percent of population Employed health insurance coverage ages 19-64,%homes using wood for heat energy,"%homes using oil, Kerosene for heat energy",Percetage of Labor force with Public Health Insurance
"Peoria, IL Metro Area",2024,1.98,44.94,1.27,17.34,75.91,100.00,1.11,0.05,100.00,6.43,29.80,10.21,100.00,2.92,7.00
"Aberdeen, WA Micro Area",2024,0.07,35.12,0.30,12.72,72.07,100.00,0.66,0.00,100.00,12.66,0.00,6.51,100.00,14.87,41.76
"Birmingham-Hoover, AL Metro Area",2024,1.54,29.74,0.80,10.33,63.94,100.00,0.48,0.00,100.00,6.22,0.00,12.20,100.00,4.85,36.28
"Keene, NH Micro Area",2024,0.00,40.21,0.51,13.96,77.74,100.00,0.79,0.35,100.00,9.53,100.00,14.38,100.00,4.27,30.28
"Williamsport, PA Metro Area",2024,0.00,36.69,2.21,9.30,64.31,100.00,0.73,0.00,100.00,7.88,0.00,13.03,100.00,0.00,14.86
"Elkhart-Goshen, IN Metro Area",2024,1.62,48.24,0.28,16.01,77.21,100.00,29.65,0.00,100.00,11.83,4.33,10.55,100.00,1.51,33.74
"Cullman, AL Micro Area",2024,0.00,39.12,0.00,11.01,65.58,100.00,0.66,0.00,100.00,11.70,100.00,22.81,100.00,0.98,69.30
"Las Vegas-Henderson-Paradise, NV Metro Area",2024,0.00,37.72,0.00,12.03,72.24,0.00,0.00,0.28,100.00,7.86,67.27,12.05,100.00,4.27,34.96
"Santa Cruz-Watsonville, CA Metro Area",2024,0.00,41.89,0.00,12.36,74.77,0.00,0.00,0.10,100.00,4.46,100.00,13.07,100.00,2.41,49.38
"Springfield, MO Metro Area",2024,1.40,40.21,1.71,14.63,57.87,100.00,2.29,0.00,100.00,9.81,0.00,22.14,100.00,0.00,46.40
"Bremerton-Silverdale, WA Metro Area",2024,0.00,34.78,1.16,11.25,67.21,100.00,1.21,0.00,100.00,7.40,100.00,5.45,100.00,0.00,28.44
"Minot, ND Micro Area",2024,5.13,49.88,0.00,12.23,72.58,100.00,0.28,0.00,100.00,9.45,0.00,20.31,100.00,10.89,51.25
"Columbia, MO Metro Area",2024,1.14,37.65,0.17,12.26,69.04,100.00,0.83,0.17,100.00,5.55,80.92,18.07,100.00,1.90,51.37
"Seneca, SC Micro Area",2024,1.43,28.37,0.16,7.15,62.56,100.00,0.00,0.00,100.00,6.47,0.00,10.58,100.00,0.42,49.98
"Santa Fe, NM Metro Area",2024,0.00,43.75,0.00,10.68,69.83,0.00,0.00,0.00,100.00,4.73,0.00,10.46,0.00,0.70,33.25
"Pittsburgh, PA Metro Area",2024,0.99,30.51,0.00,9.02,63.43,100.00,0.38,0.01,100.00,7.99,0.00,20.31,48.58,0.00,32.85
"Madison, WI Metro Area",2024,0.36,44.05,0.00,13.07,77.48,100.00,11.89,0.25,100.00,8.55,100.00,32.09,100.00,17.97,69.84
"Centralia, WA Micro Area",2024,0.00,41.57,4.31,13.49,66.20,100.00,1.73,0.01,100.00,7.98,100.00,13.18,100.00,3.72,32.12
"Vallejo-Fairfield, CA Metro Area",2024,0.00,36.51,0.02,11.19,68.92,0.00,0.46,0.00,100.00,5.76,0.00,14.90,100.00,3.05,37.88
"Fairbanks, AK Metro Area",2024,0.00,40.23,0.00,13.13,80.93,100.00,0.00,0.00,100.00,7.70,0.00,3.54,100.00,0.00,28.27
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2024,0.00,44.11,0.88,15.17,78.10,0.00,0.67,0.10,100.00,8.36,0.00,9.90,0.00,1.72,37.05
"St. Louis, MO-IL Metro Area",2024,0.73,39.28,0.00,8.99,66.58,100.00,1.61,0.00,100.00,12.85,69.12,19.66,100.00,2.88,65.97
